UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1511,2023-03-18,南投縣,仁愛鄉,1,4994,0.57
2564,2023-03-15,南投縣,仁愛鄉,1,4993,1.00
3625,2023-03-12,南投縣,仁愛鄉,2,4992,1.43
3982,2023-03-11,南投縣,仁愛鄉,2,4990,1.14
4687,2023-03-09,南投縣,仁愛鄉,2,4988,1.00
5046,2023-03-08,南投縣,仁愛鄉,1,4986,1.14
5401,2023-03-07,南投縣,仁愛鄉,3,4985,1.14
6817,2023-03-03,南投縣,仁愛鄉,1,4982,1.00
7182,2023-03-02,南投縣,仁愛鄉,3,4981,1.00
7547,2023-03-01,南投縣,仁愛鄉,1,4978,1.00
8988,2023-02-25,南投縣,仁愛鄉,2,4977,3.00
9351,2023-02-24,南投縣,仁愛鄉,1,4975,3.14
9718,2023-02-23,南投縣,仁愛鄉,3,4974,3.29
10093,2023-02-22,南投縣,仁愛鄉,2,4971,3.29
10464,2023-02-21,南投縣,仁愛鄉,3,4969,3.14
10837,2023-02-20,南投縣,仁愛鄉,7,4966,3.14
11199,2023-02-19,南投縣,仁愛鄉,3,4959,3.29
11567,2023-02-18,南投縣,仁愛鄉,3,4956,3.29
11939,2023-02-17,南投縣,仁愛鄉,2,4953,3.57
12313,2023-02-16,南投縣,仁愛鄉,3,4951,3.43
12685,2023-02-15,南投縣,仁愛鄉,1,4948,3.57
13060,2023-02-14,南投縣,仁愛鄉,3,4947,4.57
13436,2023-02-13,南投縣,仁愛鄉,8,4944,5.00
13802,2023-02-12,南投縣,仁愛鄉,3,4936,4.00
14171,2023-02-11,南投縣,仁愛鄉,5,4933,3.57
14538,2023-02-10,南投縣,仁愛鄉,1,4928,3.43
14913,2023-02-09,南投縣,仁愛鄉,4,4927,3.71
15292,2023-02-08,南投縣,仁愛鄉,8,4923,3.71
15673,2023-02-07,南投縣,仁愛鄉,6,4915,2.86
16052,2023-02-06,南投縣,仁愛鄉,1,4909,2.29
16802,2023-02-04,南投縣,仁愛鄉,4,4908,3.29
17182,2023-02-03,南投縣,仁愛鄉,3,4904,3.57
17568,2023-02-02,南投縣,仁愛鄉,4,4901,3.43
17948,2023-02-01,南投縣,仁愛鄉,2,4897,3.43
18331,2023-01-31,南投縣,仁愛鄉,2,4895,4.14
18716,2023-01-30,南投縣,仁愛鄉,4,4893,4.00
19100,2023-01-29,南投縣,仁愛鄉,4,4889,3.57
19478,2023-01-28,南投縣,仁愛鄉,6,4885,3.00
19854,2023-01-27,南投縣,仁愛鄉,2,4879,2.14
20231,2023-01-26,南投縣,仁愛鄉,4,4877,2.43
20603,2023-01-25,南投縣,仁愛鄉,7,4873,2.43
20972,2023-01-24,南投縣,仁愛鄉,1,4866,1.71
21340,2023-01-23,南投縣,仁愛鄉,1,4865,2.43
22446,2023-01-20,南投縣,仁愛鄉,4,4864,4.57
22814,2023-01-19,南投縣,仁愛鄉,4,4860,5.14
23186,2023-01-18,南投縣,仁愛鄉,2,4856,5.71
23552,2023-01-17,南投縣,仁愛鄉,6,4854,6.29
23925,2023-01-16,南投縣,仁愛鄉,5,4848,6.29
24297,2023-01-15,南投縣,仁愛鄉,6,4843,6.43
24663,2023-01-14,南投縣,仁愛鄉,5,4837,6.29
25031,2023-01-13,南投縣,仁愛鄉,8,4832,7.00
25405,2023-01-12,南投縣,仁愛鄉,8,4824,7.71
25778,2023-01-11,南投縣,仁愛鄉,6,4816,8.57
26152,2023-01-10,南投縣,仁愛鄉,6,4810,10.29
26529,2023-01-09,南投縣,仁愛鄉,6,4804,11.29
26895,2023-01-08,南投縣,仁愛鄉,5,4798,11.00
27260,2023-01-07,南投縣,仁愛鄉,10,4793,10.71
27632,2023-01-06,南投縣,仁愛鄉,13,4783,9.71
28013,2023-01-05,南投縣,仁愛鄉,14,4770,8.86
28393,2023-01-04,南投縣,仁愛鄉,18,4756,9.29
28774,2023-01-03,南投縣,仁愛鄉,13,4738,8.71
29149,2023-01-02,南投縣,仁愛鄉,4,4725,8.00
29515,2023-01-01,南投縣,仁愛鄉,3,4721,8.00
29882,2022-12-31,南投縣,仁愛鄉,3,4718,8.57
30249,2022-12-30,南投縣,仁愛鄉,7,4715,8.57
30621,2022-12-29,南投縣,仁愛鄉,17,4708,9.00
30993,2022-12-28,南投縣,仁愛鄉,14,4691,7.14
31368,2022-12-27,南投縣,仁愛鄉,8,4677,5.86
31742,2022-12-26,南投縣,仁愛鄉,4,4669,5.43
32100,2022-12-25,南投縣,仁愛鄉,7,4665,5.00
32460,2022-12-24,南投縣,仁愛鄉,3,4658,4.00
32820,2022-12-23,南投縣,仁愛鄉,10,4655,4.00
33187,2022-12-22,南投縣,仁愛鄉,4,4645,3.00
33558,2022-12-21,南投縣,仁愛鄉,5,4641,3.00
33923,2022-12-20,南投縣,仁愛鄉,5,4636,3.29
34290,2022-12-19,南投縣,仁愛鄉,1,4631,3.29
35005,2022-12-17,南投縣,仁愛鄉,3,4630,3.71
35368,2022-12-16,南投縣,仁愛鄉,3,4627,3.57
35734,2022-12-15,南投縣,仁愛鄉,4,4624,4.14
36094,2022-12-14,南投縣,仁愛鄉,7,4620,4.29
36465,2022-12-13,南投縣,仁愛鄉,5,4613,3.71
36842,2022-12-12,南投縣,仁愛鄉,1,4608,3.86
37194,2022-12-11,南投縣,仁愛鄉,3,4607,4.71
37561,2022-12-10,南投縣,仁愛鄉,2,4604,5.00
37927,2022-12-09,南投縣,仁愛鄉,7,4602,5.86
38298,2022-12-08,南投縣,仁愛鄉,5,4595,6.00
38671,2022-12-07,南投縣,仁愛鄉,3,4590,6.29
39038,2022-12-06,南投縣,仁愛鄉,6,4587,6.43
39415,2022-12-05,南投縣,仁愛鄉,7,4581,6.43
39786,2022-12-04,南投縣,仁愛鄉,5,4574,6.00
40156,2022-12-03,南投縣,仁愛鄉,8,4569,6.00
40524,2022-12-02,南投縣,仁愛鄉,8,4561,6.43
40891,2022-12-01,南投縣,仁愛鄉,7,4553,5.86
41264,2022-11-30,南投縣,仁愛鄉,4,4546,5.86
41640,2022-11-29,南投縣,仁愛鄉,6,4542,6.14
42019,2022-11-28,南投縣,仁愛鄉,4,4536,5.71
42388,2022-11-27,南投縣,仁愛鄉,5,4532,6.00
42741,2022-11-26,南投縣,仁愛鄉,11,4527,5.29
43111,2022-11-25,南投縣,仁愛鄉,4,4516,5.14
43481,2022-11-24,南投縣,仁愛鄉,7,4512,5.14
43849,2022-11-23,南投縣,仁愛鄉,6,4505,4.57
44224,2022-11-22,南投縣,仁愛鄉,3,4499,4.00
44602,2022-11-21,南投縣,仁愛鄉,6,4496,3.86
45343,2022-11-19,南投縣,仁愛鄉,10,4490,3.43
45713,2022-11-18,南投縣,仁愛鄉,4,4480,2.86
46086,2022-11-17,南投縣,仁愛鄉,3,4476,2.86
46464,2022-11-16,南投縣,仁愛鄉,2,4473,3.00
46845,2022-11-15,南投縣,仁愛鄉,2,4471,3.43
47224,2022-11-14,南投縣,仁愛鄉,2,4469,4.57
47600,2022-11-13,南投縣,仁愛鄉,1,4467,5.71
47973,2022-11-12,南投縣,仁愛鄉,6,4466,5.57
48353,2022-11-11,南投縣,仁愛鄉,4,4460,5.71
48734,2022-11-10,南投縣,仁愛鄉,4,4456,6.86
49117,2022-11-09,南投縣,仁愛鄉,5,4452,7.29
49503,2022-11-08,南投縣,仁愛鄉,10,4447,7.00
49887,2022-11-07,南投縣,仁愛鄉,10,4437,6.43
50634,2022-11-05,南投縣,仁愛鄉,7,4427,7.57
51016,2022-11-04,南投縣,仁愛鄉,12,4420,7.57
51401,2022-11-03,南投縣,仁愛鄉,7,4408,7.43
51782,2022-11-02,南投縣,仁愛鄉,3,4401,8.57
52170,2022-11-01,南投縣,仁愛鄉,6,4398,10.43
52551,2022-10-31,南投縣,仁愛鄉,9,4392,10.86
52933,2022-10-30,南投縣,仁愛鄉,9,4383,11.57
53312,2022-10-29,南投縣,仁愛鄉,7,4374,12.43
53696,2022-10-28,南投縣,仁愛鄉,11,4367,14.14
54082,2022-10-27,南投縣,仁愛鄉,15,4356,15.86
54466,2022-10-26,南投縣,仁愛鄉,16,4341,16.14
54854,2022-10-25,南投縣,仁愛鄉,9,4325,17.14
55244,2022-10-24,南投縣,仁愛鄉,14,4316,18.29
55626,2022-10-23,南投縣,仁愛鄉,15,4302,18.71
56009,2022-10-22,南投縣,仁愛鄉,19,4287,17.86
56397,2022-10-21,南投縣,仁愛鄉,23,4268,16.29
56783,2022-10-20,南投縣,仁愛鄉,17,4245,15.57
57170,2022-10-19,南投縣,仁愛鄉,23,4228,15.43
57558,2022-10-18,南投縣,仁愛鄉,17,4205,15.71
57948,2022-10-17,南投縣,仁愛鄉,17,4188,14.14
58336,2022-10-16,南投縣,仁愛鄉,9,4171,13.29
58722,2022-10-15,南投縣,仁愛鄉,8,4162,12.57
59108,2022-10-14,南投縣,仁愛鄉,18,4154,13.43
59497,2022-10-13,南投縣,仁愛鄉,16,4136,12.86
59888,2022-10-12,南投縣,仁愛鄉,25,4120,13.00
60278,2022-10-11,南投縣,仁愛鄉,6,4095,10.71
60668,2022-10-10,南投縣,仁愛鄉,11,4089,11.29
61049,2022-10-09,南投縣,仁愛鄉,4,4078,12.71
61439,2022-10-08,南投縣,仁愛鄉,14,4074,12.71
61829,2022-10-07,南投縣,仁愛鄉,14,4060,11.71
62216,2022-10-06,南投縣,仁愛鄉,17,4046,11.57
62606,2022-10-05,南投縣,仁愛鄉,9,4029,11.00
62993,2022-10-04,南投縣,仁愛鄉,10,4020,12.00
63382,2022-10-03,南投縣,仁愛鄉,21,4010,13.29
63771,2022-10-02,南投縣,仁愛鄉,4,3989,13.29
64154,2022-10-01,南投縣,仁愛鄉,7,3985,15.00
64539,2022-09-30,南投縣,仁愛鄉,13,3978,17.14
64925,2022-09-29,南投縣,仁愛鄉,13,3965,18.29
65313,2022-09-28,南投縣,仁愛鄉,16,3952,19.86
65701,2022-09-27,南投縣,仁愛鄉,19,3936,20.14
66087,2022-09-26,南投縣,仁愛鄉,21,3917,20.29
66474,2022-09-25,南投縣,仁愛鄉,16,3896,19.86
66857,2022-09-24,南投縣,仁愛鄉,22,3880,20.14
67244,2022-09-23,南投縣,仁愛鄉,21,3858,19.86
67631,2022-09-22,南投縣,仁愛鄉,24,3837,19.43
68020,2022-09-21,南投縣,仁愛鄉,18,3813,17.86
68408,2022-09-20,南投縣,仁愛鄉,20,3795,17.29
68799,2022-09-19,南投縣,仁愛鄉,18,3775,17.43
69186,2022-09-18,南投縣,仁愛鄉,18,3757,17.14
69571,2022-09-17,南投縣,仁愛鄉,20,3739,15.86
69958,2022-09-16,南投縣,仁愛鄉,18,3719,14.57
70343,2022-09-15,南投縣,仁愛鄉,13,3701,13.57
70728,2022-09-14,南投縣,仁愛鄉,14,3688,13.00
71116,2022-09-13,南投縣,仁愛鄉,21,3674,12.00
71506,2022-09-12,南投縣,仁愛鄉,16,3653,11.29
71892,2022-09-11,南投縣,仁愛鄉,9,3637,10.86
72274,2022-09-10,南投縣,仁愛鄉,11,3628,10.14
72655,2022-09-09,南投縣,仁愛鄉,11,3617,10.29
73040,2022-09-08,南投縣,仁愛鄉,9,3606,10.43
73426,2022-09-07,南投縣,仁愛鄉,7,3597,11.57
73810,2022-09-06,南投縣,仁愛鄉,16,3590,12.43
74197,2022-09-05,南投縣,仁愛鄉,13,3574,11.71
74582,2022-09-04,南投縣,仁愛鄉,4,3561,11.29
74966,2022-09-03,南投縣,仁愛鄉,12,3557,12.57
75352,2022-09-02,南投縣,仁愛鄉,12,3545,13.29
75740,2022-09-01,南投縣,仁愛鄉,17,3533,12.57
76127,2022-08-31,南投縣,仁愛鄉,13,3516,11.43
76516,2022-08-30,南投縣,仁愛鄉,11,3503,10.43
76904,2022-08-29,南投縣,仁愛鄉,10,3492,10.43
77289,2022-08-28,南投縣,仁愛鄉,13,3482,9.86
77676,2022-08-27,南投縣,仁愛鄉,17,3469,8.86
78061,2022-08-26,南投縣,仁愛鄉,7,3452,8.57
78446,2022-08-25,南投縣,仁愛鄉,9,3445,9.71
78831,2022-08-24,南投縣,仁愛鄉,6,3436,9.71
79218,2022-08-23,南投縣,仁愛鄉,11,3430,11.29
79603,2022-08-22,南投縣,仁愛鄉,6,3419,12.29
79984,2022-08-21,南投縣,仁愛鄉,6,3413,12.29
80365,2022-08-20,南投縣,仁愛鄉,15,3407,12.57
80750,2022-08-19,南投縣,仁愛鄉,15,3392,11.71
81137,2022-08-18,南投縣,仁愛鄉,9,3377,11.43
81525,2022-08-17,南投縣,仁愛鄉,17,3368,12.29
