UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
579,2023-03-21,南投縣,信義鄉,2,5242,2.00
1150,2023-03-19,南投縣,信義鄉,1,5240,2.71
1483,2023-03-18,南投縣,信義鄉,1,5239,2.57
1836,2023-03-17,南投縣,信義鄉,3,5238,2.57
2183,2023-03-16,南投縣,信義鄉,3,5235,2.57
2536,2023-03-15,南投縣,信義鄉,4,5232,2.71
2889,2023-03-14,南投縣,信義鄉,5,5228,2.57
3247,2023-03-13,南投縣,信義鄉,2,5223,2.14
3952,2023-03-11,南投縣,信義鄉,1,5221,2.43
4302,2023-03-10,南投縣,信義鄉,3,5220,2.43
4658,2023-03-09,南投縣,信義鄉,4,5217,3.86
5016,2023-03-08,南投縣,信義鄉,3,5213,4.00
5370,2023-03-07,南投縣,信義鄉,2,5210,4.43
5735,2023-03-06,南投縣,信義鄉,4,5208,4.57
6432,2023-03-04,南投縣,信義鄉,1,5204,4.57
6788,2023-03-03,南投縣,信義鄉,13,5203,4.86
7150,2023-03-02,南投縣,信義鄉,5,5190,3.57
7515,2023-03-01,南投縣,信義鄉,6,5185,3.29
7885,2023-02-28,南投縣,信義鄉,3,5179,3.00
8246,2023-02-27,南投縣,信義鄉,2,5176,3.57
8592,2023-02-26,南投縣,信義鄉,2,5174,4.00
8955,2023-02-25,南投縣,信義鄉,3,5172,3.71
9319,2023-02-24,南投縣,信義鄉,4,5169,4.14
9685,2023-02-23,南投縣,信義鄉,3,5165,4.43
10057,2023-02-22,南投縣,信義鄉,4,5162,5.00
10430,2023-02-21,南投縣,信義鄉,7,5158,5.14
10803,2023-02-20,南投縣,信義鄉,5,5151,4.86
11535,2023-02-18,南投縣,信義鄉,6,5146,6.71
11905,2023-02-17,南投縣,信義鄉,6,5140,6.14
12278,2023-02-16,南投縣,信義鄉,7,5134,6.00
12653,2023-02-15,南投縣,信義鄉,5,5127,6.14
13028,2023-02-14,南投縣,信義鄉,5,5122,6.14
13400,2023-02-13,南投縣,信義鄉,7,5117,6.57
13771,2023-02-12,南投縣,信義鄉,11,5110,7.00
14136,2023-02-11,南投縣,信義鄉,2,5099,5.86
14505,2023-02-10,南投縣,信義鄉,5,5097,6.29
14877,2023-02-09,南投縣,信義鄉,8,5092,7.00
15259,2023-02-08,南投縣,信義鄉,5,5084,6.00
15638,2023-02-07,南投縣,信義鄉,8,5079,6.00
16018,2023-02-06,南投縣,信義鄉,10,5071,5.71
16392,2023-02-05,南投縣,信義鄉,3,5061,7.14
16766,2023-02-04,南投縣,信義鄉,5,5058,7.29
17146,2023-02-03,南投縣,信義鄉,10,5053,7.57
17533,2023-02-02,南投縣,信義鄉,1,5043,6.86
17913,2023-02-01,南投縣,信義鄉,5,5042,7.71
