UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
7124,2023-03-21,南投縣,南投市,25-29,3475
7125,2023-03-20,南投縣,南投市,5-9,2217
7126,2023-03-20,南投縣,南投市,2,369
7127,2023-03-19,南投縣,南投市,35-39,3548
7128,2023-03-19,南投縣,南投市,50-54,2565
7129,2023-03-19,南投縣,南投市,30-34,3472
7130,2023-03-19,南投縣,南投市,3,361
7131,2023-03-19,南投縣,南投市,10-14,2186
7132,2023-03-19,南投縣,南投市,1,387
7133,2023-03-19,南投縣,南投市,45-49,2720
7134,2023-03-19,南投縣,南投市,55-59,2447
7135,2023-03-19,南投縣,南投市,70+,3596
7136,2023-03-19,南投縣,南投市,20-24,2731
7137,2023-03-19,南投縣,南投市,15-19,2260
7138,2023-03-19,南投縣,南投市,65-69,1841
7139,2023-03-19,南投縣,南投市,60-64,2273
7140,2023-03-18,南投縣,南投市,40-44,3305
7141,2023-03-18,南投縣,南投市,4,394
7142,2023-03-09,南投縣,南投市,0,245
