UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
173,2023-04-04,南投縣,南投市,1,144,0.14
290,2023-03-27,南投縣,南投市,1,143,0.14
516,2023-03-19,南投縣,南投市,1,142,0.43
557,2023-03-18,南投縣,南投市,1,141,0.43
597,2023-03-17,南投縣,南投市,1,140,0.57
805,2023-03-12,南投縣,南投市,1,139,0.86
850,2023-03-11,南投縣,南投市,2,138,0.71
993,2023-03-08,南投縣,南投市,1,136,0.43
1088,2023-03-06,南投縣,南投市,2,135,0.43
1411,2023-02-28,南投縣,南投市,1,133,0.43
1467,2023-02-27,南投縣,南投市,1,132,0.29
1532,2023-02-26,南投縣,南投市,1,131,0.14
2050,2023-02-17,南投縣,南投市,1,130,0.29
2429,2023-02-11,南投縣,南投市,1,129,0.29
2830,2023-02-05,南投縣,南投市,1,128,0.57
2880,2023-02-04,南投縣,南投市,1,127,0.43
3139,2023-01-31,南投縣,南投市,2,126,0.71
3305,2023-01-28,南投縣,南投市,1,124,0.71
3408,2023-01-26,南投縣,南投市,1,123,0.57
3470,2023-01-25,南投縣,南投市,1,122,0.43
3521,2023-01-24,南投縣,南投市,1,121,0.29
3572,2023-01-23,南投縣,南投市,1,120,0.14
4211,2023-01-10,南投縣,南投市,1,119,0.29
4405,2023-01-06,南投縣,南投市,1,118,0.29
4620,2023-01-02,南投縣,南投市,1,117,0.29
4842,2022-12-28,南投縣,南投市,1,116,0.29
5079,2022-12-22,南投縣,南投市,1,115,0.29
5304,2022-12-16,南投縣,南投市,1,114,0.14
5566,2022-12-09,南投縣,南投市,1,113,0.57
5608,2022-12-08,南投縣,南投市,2,112,0.43
5790,2022-12-03,南投縣,南投市,1,110,0.29
6020,2022-11-27,南投縣,南投市,1,109,0.43
6156,2022-11-24,南投縣,南投市,1,108,0.43
6202,2022-11-23,南投縣,南投市,1,107,0.29
6338,2022-11-20,南投縣,南投市,1,106,0.29
6537,2022-11-16,南投縣,南投市,1,105,0.43
6692,2022-11-13,南投縣,南投市,1,104,0.71
6812,2022-11-11,南投縣,南投市,1,103,0.86
6996,2022-11-08,南投縣,南投市,1,102,0.86
7054,2022-11-07,南投縣,南投市,2,101,0.86
7110,2022-11-06,南投縣,南投市,2,99,0.57
7284,2022-11-03,南投縣,南投市,1,97,0.57
7410,2022-11-01,南投縣,南投市,1,96,0.71
7532,2022-10-30,南投縣,南投市,2,95,1.00
7739,2022-10-27,南投縣,南投市,1,93,1.14
7812,2022-10-26,南投縣,南投市,1,92,1.00
7879,2022-10-25,南投縣,南投市,1,91,0.86
7951,2022-10-24,南投縣,南投市,2,90,0.71
8021,2022-10-23,南投縣,南投市,1,88,0.43
8158,2022-10-21,南投縣,南投市,2,87,0.43
8518,2022-10-16,南投縣,南投市,1,85,0.29
8871,2022-10-11,南投縣,南投市,1,84,0.71
9009,2022-10-09,南投縣,南投市,1,83,1.00
9058,2022-10-08,南投縣,南投市,1,82,1.00
9255,2022-10-05,南投縣,南投市,2,81,1.14
9340,2022-10-04,南投縣,南投市,2,79,1.00
9408,2022-10-03,南投縣,南投市,1,77,0.71
9476,2022-10-02,南投縣,南投市,1,76,0.71
9593,2022-09-30,南投縣,南投市,2,75,0.71
9718,2022-09-28,南投縣,南投市,1,73,0.43
9837,2022-09-26,南投縣,南投市,1,72,0.57
9946,2022-09-24,南投縣,南投市,1,71,0.43
10182,2022-09-20,南投縣,南投市,2,70,0.57
10451,2022-09-15,南投縣,南投市,1,68,0.29
