UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
454,2023-03-21,南投縣,南投市,1,40392,26.57
591,2023-03-20,南投縣,南投市,4,40391,34.86
875,2023-03-19,南投縣,南投市,30,40387,45.29
1203,2023-03-18,南投縣,南投市,24,40357,45.57
1543,2023-03-17,南投縣,南投市,34,40333,49.14
1895,2023-03-16,南投縣,南投市,53,40299,51.00
2248,2023-03-15,南投縣,南投市,40,40246,49.43
2599,2023-03-14,南投縣,南投市,59,40206,49.86
2956,2023-03-13,南投縣,南投市,77,40147,49.29
3315,2023-03-12,南投縣,南投市,32,40070,46.00
3660,2023-03-11,南投縣,南投市,49,40038,47.00
4013,2023-03-10,南投縣,南投市,47,39989,46.14
4368,2023-03-09,南投縣,南投市,42,39942,47.29
4727,2023-03-08,南投縣,南投市,43,39900,48.57
5081,2023-03-07,南投縣,南投市,55,39857,51.00
5440,2023-03-06,南投縣,南投市,54,39802,49.71
5805,2023-03-05,南投縣,南投市,39,39748,48.29
6144,2023-03-04,南投縣,南投市,43,39709,48.86
6496,2023-03-03,南投縣,南投市,55,39666,49.14
6855,2023-03-02,南投縣,南投市,51,39611,48.43
7219,2023-03-01,南投縣,南投市,60,39560,49.71
7590,2023-02-28,南投縣,南投市,46,39500,48.86
7953,2023-02-27,南投縣,南投市,44,39454,50.00
8312,2023-02-26,南投縣,南投市,43,39410,54.43
8657,2023-02-25,南投縣,南投市,45,39367,58.43
9027,2023-02-24,南投縣,南投市,50,39322,63.29
9388,2023-02-23,南投縣,南投市,60,39272,67.43
9758,2023-02-22,南投縣,南投市,54,39212,67.71
10133,2023-02-21,南投縣,南投市,54,39158,71.86
10502,2023-02-20,南投縣,南投市,75,39104,76.14
10882,2023-02-19,南投縣,南投市,71,39029,78.57
11240,2023-02-18,南投縣,南投市,79,38958,74.71
11607,2023-02-17,南投縣,南投市,79,38879,70.86
11979,2023-02-16,南投縣,南投市,62,38800,67.71
12354,2023-02-15,南投縣,南投市,83,38738,71.57
12727,2023-02-14,南投縣,南投市,84,38655,70.71
13099,2023-02-13,南投縣,南投市,92,38571,72.14
13478,2023-02-12,南投縣,南投市,44,38479,71.57
13835,2023-02-11,南投縣,南投市,52,38435,75.00
14207,2023-02-10,南投縣,南投市,57,38383,77.71
14581,2023-02-09,南投縣,南投市,89,38326,81.71
14957,2023-02-08,南投縣,南投市,77,38237,84.00
15336,2023-02-07,南投縣,南投市,94,38160,88.71
15715,2023-02-06,南投縣,南投市,88,38066,91.43
16097,2023-02-05,南投縣,南投市,68,37978,97.43
16465,2023-02-04,南投縣,南投市,71,37910,104.00
16844,2023-02-03,南投縣,南投市,85,37839,109.71
17230,2023-02-02,南投縣,南投市,105,37754,112.71
17613,2023-02-01,南投縣,南投市,110,37649,113.86
17990,2023-01-31,南投縣,南投市,113,37539,109.14
18375,2023-01-30,南投縣,南投市,130,37426,102.29
18764,2023-01-29,南投縣,南投市,114,37296,94.57
19140,2023-01-28,南投縣,南投市,111,37182,84.14
19519,2023-01-27,南投縣,南投市,106,37071,78.86
19897,2023-01-26,南投縣,南投市,113,36965,74.14
20274,2023-01-25,南投縣,南投市,77,36852,67.14
20639,2023-01-24,南投縣,南投市,65,36775,64.00
21014,2023-01-23,南投縣,南投市,76,36710,64.86
21381,2023-01-22,南投縣,南投市,41,36634,64.57
21745,2023-01-21,南投縣,南投市,74,36593,67.71
22117,2023-01-20,南投縣,南投市,73,36519,67.29
22484,2023-01-19,南投縣,南投市,64,36446,65.71
22855,2023-01-18,南投縣,南投市,55,36382,65.00
23227,2023-01-17,南投縣,南投市,71,36327,65.43
23591,2023-01-16,南投縣,南投市,74,36256,65.57
23967,2023-01-15,南投縣,南投市,63,36182,69.29
24334,2023-01-14,南投縣,南投市,71,36119,71.43
24702,2023-01-13,南投縣,南投市,62,36048,70.57
25070,2023-01-12,南投縣,南投市,59,35986,73.43
25445,2023-01-11,南投縣,南投市,58,35927,77.57
25821,2023-01-10,南投縣,南投市,72,35869,81.57
26193,2023-01-09,南投縣,南投市,100,35797,86.57
26572,2023-01-08,南投縣,南投市,78,35697,86.29
26929,2023-01-07,南投縣,南投市,65,35619,82.57
27300,2023-01-06,南投縣,南投市,82,35554,86.29
27676,2023-01-05,南投縣,南投市,88,35472,85.86
28056,2023-01-04,南投縣,南投市,86,35384,85.43
28437,2023-01-03,南投縣,南投市,107,35298,89.71
28819,2023-01-02,南投縣,南投市,98,35191,86.00
29190,2023-01-01,南投縣,南投市,52,35093,87.71
29552,2022-12-31,南投縣,南投市,91,35041,89.43
29918,2022-12-30,南投縣,南投市,79,34950,83.71
30290,2022-12-29,南投縣,南投市,85,34871,82.29
30663,2022-12-28,南投縣,南投市,116,34786,80.43
31033,2022-12-27,南投縣,南投市,81,34670,77.00
31410,2022-12-26,南投縣,南投市,110,34589,72.14
31782,2022-12-25,南投縣,南投市,64,34479,66.71
32136,2022-12-24,南投縣,南投市,51,34415,63.57
32496,2022-12-23,南投縣,南投市,69,34364,62.57
32860,2022-12-22,南投縣,南投市,72,34295,58.86
33227,2022-12-21,南投縣,南投市,92,34223,56.57
33597,2022-12-20,南投縣,南投市,47,34131,50.14
33960,2022-12-19,南投縣,南投市,72,34084,52.43
34331,2022-12-18,南投縣,南投市,42,34012,52.43
34679,2022-12-17,南投縣,南投市,44,33970,53.86
35039,2022-12-16,南投縣,南投市,43,33926,53.00
35404,2022-12-15,南投縣,南投市,56,33883,55.71
35775,2022-12-14,南投縣,南投市,47,33827,54.14
36134,2022-12-13,南投縣,南投市,63,33780,55.71
36508,2022-12-12,南投縣,南投市,72,33717,55.57
36880,2022-12-11,南投縣,南投市,52,33645,54.00
37231,2022-12-10,南投縣,南投市,38,33593,50.86
