UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
63,2023-04-25,南投縣,名間鄉,1,44,0.14
1144,2023-03-05,南投縣,名間鄉,1,43,0.29
1407,2023-02-28,南投縣,名間鄉,1,42,0.14
1824,2023-02-21,南投縣,名間鄉,1,41,0.14
2630,2023-02-08,南投縣,名間鄉,1,40,0.14
3570,2023-01-23,南投縣,名間鄉,1,39,0.29
3806,2023-01-18,南投縣,名間鄉,1,38,0.29
3897,2023-01-16,南投縣,名間鄉,1,37,0.14
6753,2022-11-12,南投縣,名間鄉,2,36,0.57
6873,2022-11-10,南投縣,名間鄉,1,34,0.29
7106,2022-11-06,南投縣,名間鄉,1,33,0.14
7594,2022-10-29,南投縣,名間鄉,1,32,0.14
8373,2022-10-18,南投縣,名間鄉,1,31,0.29
8799,2022-10-12,南投縣,名間鄉,1,30,0.57
8933,2022-10-10,南投縣,名間鄉,1,29,0.43
9056,2022-10-08,南投縣,名間鄉,1,28,0.29
9187,2022-10-06,南投縣,名間鄉,1,27,0.14
9890,2022-09-25,南投縣,名間鄉,1,26,0.43
10076,2022-09-22,南投縣,名間鄉,1,25,0.43
10225,2022-09-19,南投縣,名間鄉,1,24,0.29
10390,2022-09-16,南投縣,名間鄉,1,23,0.29
10708,2022-09-10,南投縣,名間鄉,1,22,0.14
12100,2022-08-06,南投縣,名間鄉,1,21,0.14
12424,2022-07-30,南投縣,名間鄉,2,20,0.29
12926,2022-07-21,南投縣,名間鄉,1,18,0.29
13314,2022-07-15,南投縣,名間鄉,1,17,0.29
13673,2022-07-10,南投縣,名間鄉,1,16,0.14
14245,2022-07-03,南投縣,名間鄉,1,15,0.43
14417,2022-07-01,南投縣,名間鄉,1,14,0.43
14804,2022-06-27,南投縣,名間鄉,1,13,0.29
14914,2022-06-26,南投縣,名間鄉,1,12,0.14
15654,2022-06-19,南投縣,名間鄉,1,11,0.57
15905,2022-06-17,南投縣,名間鄉,1,10,0.57
16032,2022-06-16,南投縣,名間鄉,2,9,0.57
16534,2022-06-12,南投縣,名間鄉,1,7,0.29
16785,2022-06-10,南投縣,名間鄉,1,6,0.14
17872,2022-06-01,南投縣,名間鄉,1,5,0.43
18003,2022-05-31,南投縣,名間鄉,1,4,0.29
18546,2022-05-26,南投縣,名間鄉,1,3,0.43
18831,2022-05-23,南投縣,名間鄉,1,2,0.29
19085,2022-05-20,南投縣,名間鄉,1,1,0.14
