UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
709,2023-03-20,南投縣,名間鄉,2,11519,7.29
1001,2023-03-19,南投縣,名間鄉,7,11517,8.71
1330,2023-03-18,南投縣,名間鄉,7,11510,7.71
1669,2023-03-17,南投縣,名間鄉,9,11503,8.29
2022,2023-03-16,南投縣,名間鄉,4,11494,8.86
2374,2023-03-15,南投縣,名間鄉,10,11490,9.14
2725,2023-03-14,南投縣,名間鄉,12,11480,9.14
3082,2023-03-13,南投縣,名間鄉,12,11468,8.43
3787,2023-03-11,南投縣,名間鄉,11,11456,9.71
4139,2023-03-10,南投縣,名間鄉,13,11445,9.43
4495,2023-03-09,南投縣,名間鄉,6,11432,8.57
4854,2023-03-08,南投縣,名間鄉,10,11426,9.29
5207,2023-03-07,南投縣,名間鄉,7,11416,9.14
5567,2023-03-06,南投縣,名間鄉,9,11409,10.14
5931,2023-03-05,南投縣,名間鄉,12,11400,11.29
6270,2023-03-04,南投縣,名間鄉,9,11388,10.86
6623,2023-03-03,南投縣,名間鄉,7,11379,12.86
6982,2023-03-02,南投縣,名間鄉,11,11372,13.43
7346,2023-03-01,南投縣,名間鄉,9,11361,13.71
7717,2023-02-28,南投縣,名間鄉,14,11352,14.57
8080,2023-02-27,南投縣,名間鄉,17,11338,14.71
8439,2023-02-26,南投縣,名間鄉,9,11321,14.57
8783,2023-02-25,南投縣,名間鄉,23,11312,14.71
9153,2023-02-24,南投縣,名間鄉,11,11289,14.86
9514,2023-02-23,南投縣,名間鄉,13,11278,15.29
9885,2023-02-22,南投縣,名間鄉,15,11265,15.57
10259,2023-02-21,南投縣,名間鄉,15,11250,15.71
10629,2023-02-20,南投縣,名間鄉,16,11235,17.14
11008,2023-02-19,南投縣,名間鄉,10,11219,18.29
11367,2023-02-18,南投縣,名間鄉,24,11209,20.29
11733,2023-02-17,南投縣,名間鄉,14,11185,19.29
12106,2023-02-16,南投縣,名間鄉,15,11171,19.86
12481,2023-02-15,南投縣,名間鄉,16,11156,21.29
12854,2023-02-14,南投縣,名間鄉,25,11140,21.86
13226,2023-02-13,南投縣,名間鄉,24,11115,23.00
13604,2023-02-12,南投縣,名間鄉,24,11091,22.86
13962,2023-02-11,南投縣,名間鄉,17,11067,22.57
14334,2023-02-10,南投縣,名間鄉,18,11050,24.00
14707,2023-02-09,南投縣,名間鄉,25,11032,27.29
15084,2023-02-08,南投縣,名間鄉,20,11007,28.86
15463,2023-02-07,南投縣,名間鄉,33,10987,30.00
15842,2023-02-06,南投縣,名間鄉,23,10954,31.14
16223,2023-02-05,南投縣,名間鄉,22,10931,32.57
16592,2023-02-04,南投縣,名間鄉,27,10909,33.14
16971,2023-02-03,南投縣,名間鄉,41,10882,34.00
17357,2023-02-02,南投縣,名間鄉,36,10841,32.57
17740,2023-02-01,南投縣,名間鄉,28,10805,31.71
18117,2023-01-31,南投縣,名間鄉,41,10777,29.14
18502,2023-01-30,南投縣,名間鄉,33,10736,26.71
18891,2023-01-29,南投縣,名間鄉,26,10703,23.00
19267,2023-01-28,南投縣,名間鄉,33,10677,21.43
19646,2023-01-27,南投縣,名間鄉,31,10644,17.86
20024,2023-01-26,南投縣,名間鄉,30,10613,16.43
20401,2023-01-25,南投縣,名間鄉,10,10583,13.57
20766,2023-01-24,南投縣,名間鄉,24,10573,14.57
21141,2023-01-23,南投縣,名間鄉,7,10549,15.14
21508,2023-01-22,南投縣,名間鄉,15,10542,17.14
21872,2023-01-21,南投縣,名間鄉,8,10527,17.29
22244,2023-01-20,南投縣,名間鄉,21,10519,17.86
22611,2023-01-19,南投縣,名間鄉,10,10498,17.71
22982,2023-01-18,南投縣,名間鄉,17,10488,19.71
23352,2023-01-17,南投縣,名間鄉,28,10471,20.43
23718,2023-01-16,南投縣,名間鄉,21,10443,20.57
24094,2023-01-15,南投縣,名間鄉,16,10422,21.57
24460,2023-01-14,南投縣,名間鄉,12,10406,21.14
24829,2023-01-13,南投縣,名間鄉,20,10394,22.14
25197,2023-01-12,南投縣,名間鄉,24,10374,23.00
25572,2023-01-11,南投縣,名間鄉,22,10350,23.86
25948,2023-01-10,南投縣,名間鄉,29,10328,25.29
26320,2023-01-09,南投縣,名間鄉,28,10299,24.43
26697,2023-01-08,南投縣,名間鄉,13,10271,24.71
27055,2023-01-07,南投縣,名間鄉,19,10258,24.43
27427,2023-01-06,南投縣,名間鄉,26,10239,24.43
27803,2023-01-05,南投縣,名間鄉,30,10213,23.71
28183,2023-01-04,南投縣,名間鄉,32,10183,24.29
28564,2023-01-03,南投縣,名間鄉,23,10151,24.29
28945,2023-01-02,南投縣,名間鄉,30,10128,23.43
29317,2023-01-01,南投縣,名間鄉,11,10098,23.71
29679,2022-12-31,南投縣,名間鄉,19,10087,24.00
30045,2022-12-30,南投縣,名間鄉,21,10068,23.71
30417,2022-12-29,南投縣,名間鄉,34,10047,24.14
30789,2022-12-28,南投縣,名間鄉,32,10013,22.00
31160,2022-12-27,南投縣,名間鄉,17,9981,19.14
31536,2022-12-26,南投縣,名間鄉,32,9964,18.29
31908,2022-12-25,南投縣,名間鄉,13,9932,15.57
32263,2022-12-24,南投縣,名間鄉,17,9919,15.71
32623,2022-12-23,南投縣,名間鄉,24,9902,15.43
32987,2022-12-22,南投縣,名間鄉,19,9878,13.29
33354,2022-12-21,南投縣,名間鄉,12,9859,12.00
33724,2022-12-20,南投縣,名間鄉,11,9847,11.86
34087,2022-12-19,南投縣,名間鄉,13,9836,12.57
34457,2022-12-18,南投縣,名間鄉,14,9823,13.71
34806,2022-12-17,南投縣,名間鄉,15,9809,13.29
35166,2022-12-16,南投縣,名間鄉,9,9794,12.57
35531,2022-12-15,南投縣,名間鄉,10,9785,14.00
35902,2022-12-14,南投縣,名間鄉,11,9775,14.71
36260,2022-12-13,南投縣,名間鄉,16,9764,16.86
36635,2022-12-12,南投縣,名間鄉,21,9748,17.71
37005,2022-12-11,南投縣,名間鄉,11,9727,17.86
37358,2022-12-10,南投縣,名間鄉,10,9716,17.86
37727,2022-12-09,南投縣,名間鄉,19,9706,18.57
38092,2022-12-08,南投縣,名間鄉,15,9687,17.57
38465,2022-12-07,南投縣,名間鄉,26,9672,17.71
38836,2022-12-06,南投縣,名間鄉,22,9646,16.43
39208,2022-12-05,南投縣,名間鄉,22,9624,16.57
39586,2022-12-04,南投縣,名間鄉,11,9602,16.57
39951,2022-12-03,南投縣,名間鄉,15,9591,15.86
40321,2022-12-02,南投縣,名間鄉,12,9576,15.00
40690,2022-12-01,南投縣,名間鄉,16,9564,14.29
41059,2022-11-30,南投縣,名間鄉,17,9548,13.43
41431,2022-11-29,南投縣,名間鄉,23,9531,12.86
41811,2022-11-28,南投縣,名間鄉,22,9508,12.00
42188,2022-11-27,南投縣,名間鄉,6,9486,11.57
42549,2022-11-26,南投縣,名間鄉,9,9480,12.86
42905,2022-11-25,南投縣,名間鄉,7,9471,13.86
43277,2022-11-24,南投縣,名間鄉,10,9464,14.57
43647,2022-11-23,南投縣,名間鄉,13,9454,15.43
44018,2022-11-22,南投縣,名間鄉,17,9441,16.86
44392,2022-11-21,南投縣,名間鄉,19,9424,17.29
44773,2022-11-20,南投縣,名間鄉,15,9405,19.00
45138,2022-11-19,南投縣,名間鄉,16,9390,20.00
45512,2022-11-18,南投縣,名間鄉,12,9374,22.71
45884,2022-11-17,南投縣,名間鄉,16,9362,24.43
46257,2022-11-16,南投縣,名間鄉,23,9346,26.29
46637,2022-11-15,南投縣,名間鄉,20,9323,26.57
47018,2022-11-14,南投縣,名間鄉,31,9303,28.86
47399,2022-11-13,南投縣,名間鄉,22,9272,31.57
47769,2022-11-12,南投縣,名間鄉,35,9250,34.57
48145,2022-11-11,南投縣,名間鄉,24,9215,35.14
48525,2022-11-10,南投縣,名間鄉,29,9191,38.00
48907,2022-11-09,南投縣,名間鄉,25,9162,40.14
49291,2022-11-08,南投縣,名間鄉,36,9137,41.14
49676,2022-11-07,南投縣,名間鄉,50,9101,41.57
50061,2022-11-06,南投縣,名間鄉,43,9051,41.57
50430,2022-11-05,南投縣,名間鄉,39,9008,40.86
50805,2022-11-04,南投縣,名間鄉,44,8969,42.71
51191,2022-11-03,南投縣,名間鄉,44,8925,44.14
51571,2022-11-02,南投縣,名間鄉,32,8881,45.14
51957,2022-11-01,南投縣,名間鄉,39,8849,46.57
52342,2022-10-31,南投縣,名間鄉,50,8810,48.43
52725,2022-10-30,南投縣,名間鄉,38,8760,48.43
53104,2022-10-29,南投縣,名間鄉,52,8722,47.86
53483,2022-10-28,南投縣,名間鄉,54,8670,48.86
53870,2022-10-27,南投縣,名間鄉,51,8616,50.29
54257,2022-10-26,南投縣,名間鄉,42,8565,50.86
54641,2022-10-25,南投縣,名間鄉,52,8523,51.00
55030,2022-10-24,南投縣,名間鄉,50,8471,50.86
55420,2022-10-23,南投縣,名間鄉,34,8421,52.57
55797,2022-10-22,南投縣,名間鄉,59,8387,52.14
56182,2022-10-21,南投縣,名間鄉,64,8328,51.14
56572,2022-10-20,南投縣,名間鄉,55,8264,48.57
56957,2022-10-19,南投縣,名間鄉,43,8209,48.71
57344,2022-10-18,南投縣,名間鄉,51,8166,49.14
57734,2022-10-17,南投縣,名間鄉,62,8115,51.00
58124,2022-10-16,南投縣,名間鄉,31,8053,50.00
58508,2022-10-15,南投縣,名間鄉,52,8022,50.86
58893,2022-10-14,南投縣,名間鄉,46,7970,50.71
59283,2022-10-13,南投縣,名間鄉,56,7924,52.86
59674,2022-10-12,南投縣,名間鄉,46,7868,55.14
60063,2022-10-11,南投縣,名間鄉,64,7822,55.57
60455,2022-10-10,南投縣,名間鄉,55,7758,54.43
60839,2022-10-09,南投縣,名間鄉,37,7703,59.00
61226,2022-10-08,南投縣,名間鄉,51,7666,58.86
61615,2022-10-07,南投縣,名間鄉,61,7615,61.29
62002,2022-10-06,南投縣,名間鄉,72,7554,61.00
62393,2022-10-05,南投縣,名間鄉,49,7482,61.57
62780,2022-10-04,南投縣,名間鄉,56,7433,64.00
63168,2022-10-03,南投縣,名間鄉,87,7377,68.71
63559,2022-10-02,南投縣,名間鄉,36,7290,67.43
63941,2022-10-01,南投縣,名間鄉,68,7254,69.29
64327,2022-09-30,南投縣,名間鄉,59,7186,67.71
64711,2022-09-29,南投縣,名間鄉,76,7127,64.71
65099,2022-09-28,南投縣,名間鄉,66,7051,61.57
65487,2022-09-27,南投縣,名間鄉,89,6985,59.71
65874,2022-09-26,南投縣,名間鄉,78,6896,54.86
66263,2022-09-25,南投縣,名間鄉,49,6818,53.29
66646,2022-09-24,南投縣,名間鄉,57,6769,50.71
67029,2022-09-23,南投縣,名間鄉,38,6712,49.71
67418,2022-09-22,南投縣,名間鄉,54,6674,50.57
67805,2022-09-21,南投縣,名間鄉,53,6620,49.29
68194,2022-09-20,南投縣,名間鄉,55,6567,49.00
68584,2022-09-19,南投縣,名間鄉,67,6512,50.71
68975,2022-09-18,南投縣,名間鄉,31,6445,49.14
69357,2022-09-17,南投縣,名間鄉,50,6414,49.14
69745,2022-09-16,南投縣,名間鄉,44,6364,46.00
70130,2022-09-15,南投縣,名間鄉,45,6320,47.86
70517,2022-09-14,南投縣,名間鄉,51,6275,45.43
70902,2022-09-13,南投縣,名間鄉,67,6224,42.71
71291,2022-09-12,南投縣,名間鄉,56,6157,39.14
71681,2022-09-11,南投縣,名間鄉,31,6101,36.00
72063,2022-09-10,南投縣,名間鄉,28,6070,33.29
72445,2022-09-09,南投縣,名間鄉,57,6042,35.29
72827,2022-09-08,南投縣,名間鄉,28,5985,30.86
73214,2022-09-07,南投縣,名間鄉,32,5957,30.57
73598,2022-09-06,南投縣,名間鄉,42,5925,31.71
73984,2022-09-05,南投縣,名間鄉,34,5883,29.00
74371,2022-09-04,南投縣,名間鄉,12,5849,28.86
74753,2022-09-03,南投縣,名間鄉,42,5837,29.43
75140,2022-09-02,南投縣,名間鄉,26,5795,26.57
75526,2022-09-01,南投縣,名間鄉,26,5769,25.29
75915,2022-08-31,南投縣,名間鄉,40,5743,25.29
76302,2022-08-30,南投縣,名間鄉,23,5703,23.86
76690,2022-08-29,南投縣,名間鄉,33,5680,24.57
77080,2022-08-28,南投縣,名間鄉,16,5647,26.00
77461,2022-08-27,南投縣,名間鄉,22,5631,25.71
77848,2022-08-26,南投縣,名間鄉,17,5609,24.57
78233,2022-08-25,南投縣,名間鄉,26,5592,25.29
78619,2022-08-24,南投縣,名間鄉,30,5566,24.29
79006,2022-08-23,南投縣,名間鄉,28,5536,21.43
79389,2022-08-22,南投縣,名間鄉,43,5508,20.86
79779,2022-08-21,南投縣,名間鄉,14,5465,18.57
80154,2022-08-20,南投縣,名間鄉,14,5451,17.71
80539,2022-08-19,南投縣,名間鄉,22,5437,19.00
80923,2022-08-18,南投縣,名間鄉,19,5415,19.57
81312,2022-08-17,南投縣,名間鄉,10,5396,20.86
81697,2022-08-16,南投縣,名間鄉,24,5386,24.43
82084,2022-08-15,南投縣,名間鄉,27,5362,24.71
82471,2022-08-14,南投縣,名間鄉,8,5335,24.29
82848,2022-08-13,南投縣,名間鄉,23,5327,26.00
83227,2022-08-12,南投縣,名間鄉,26,5304,27.86
83613,2022-08-11,南投縣,名間鄉,28,5278,27.29
83999,2022-08-10,南投縣,名間鄉,35,5250,27.86
