UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
7276,2023-03-18,南投縣,國姓鄉,70+,556
7277,2023-03-17,南投縣,國姓鄉,65-69,210
7278,2023-03-16,南投縣,國姓鄉,50-54,236
7279,2023-03-16,南投縣,國姓鄉,45-49,185
7280,2023-03-16,南投縣,國姓鄉,25-29,314
7281,2023-03-15,南投縣,國姓鄉,60-64,242
7282,2023-03-15,南投縣,國姓鄉,1,41
7283,2023-03-15,南投縣,國姓鄉,30-34,286
7284,2023-03-14,南投縣,國姓鄉,15-19,246
7285,2023-03-14,南投縣,國姓鄉,20-24,259
7286,2023-03-14,南投縣,國姓鄉,35-39,242
7287,2023-03-12,南投縣,國姓鄉,40-44,204
7288,2023-03-11,南投縣,國姓鄉,55-59,246
7289,2023-03-10,南投縣,國姓鄉,4,34
7290,2023-03-06,南投縣,國姓鄉,10-14,174
7291,2023-03-01,南投縣,國姓鄉,5-9,213
7292,2023-02-21,南投縣,國姓鄉,3,45
7293,2023-02-09,南投縣,國姓鄉,0,25
7294,2023-01-15,南投縣,國姓鄉,2,40
