UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
789,2023-03-12,南投縣,埔里鎮,1,95,0.14
1128,2023-03-05,南投縣,埔里鎮,2,94,0.86
1178,2023-03-04,南投縣,埔里鎮,1,92,0.57
1289,2023-03-02,南投縣,埔里鎮,1,91,0.71
1392,2023-02-28,南投縣,埔里鎮,2,90,0.57
1569,2023-02-25,南投縣,埔里鎮,1,88,0.43
1625,2023-02-24,南投縣,埔里鎮,1,87,0.57
1861,2023-02-20,南投縣,埔里鎮,1,86,0.71
1972,2023-02-18,南投縣,埔里鎮,2,85,0.71
2148,2023-02-15,南投縣,埔里鎮,1,83,0.57
2212,2023-02-14,南投縣,埔里鎮,1,82,0.43
2341,2023-02-12,南投縣,埔里鎮,1,81,0.29
2471,2023-02-10,南投縣,埔里鎮,1,80,0.14
3553,2023-01-23,南投縣,埔里鎮,1,79,0.29
3833,2023-01-17,南投縣,埔里鎮,1,78,0.43
3999,2023-01-14,南投縣,埔里鎮,1,77,0.29
4141,2023-01-11,南投縣,埔里鎮,1,76,0.14
4540,2023-01-03,南投縣,埔里鎮,1,75,0.14
5330,2022-12-15,南投縣,埔里鎮,1,74,0.43
5373,2022-12-14,南投縣,埔里鎮,1,73,0.29
5504,2022-12-10,南投縣,埔里鎮,1,72,0.29
5743,2022-12-04,南投縣,埔里鎮,1,71,0.43
5775,2022-12-03,南投縣,埔里鎮,1,70,0.29
5861,2022-12-01,南投縣,埔里鎮,1,69,0.29
6044,2022-11-26,南投縣,埔里鎮,1,68,0.29
6135,2022-11-24,南投縣,埔里鎮,1,67,0.14
6614,2022-11-14,南投縣,埔里鎮,1,66,0.14
7031,2022-11-07,南投縣,埔里鎮,3,65,0.57
7205,2022-11-04,南投縣,埔里鎮,1,62,0.14
7642,2022-10-28,南投縣,埔里鎮,1,61,0.29
7850,2022-10-25,南投縣,埔里鎮,1,60,0.14
8561,2022-10-15,南投縣,埔里鎮,1,59,0.71
8631,2022-10-14,南投縣,埔里鎮,2,58,0.57
8707,2022-10-13,南投縣,埔里鎮,1,56,0.29
8986,2022-10-09,南投縣,埔里鎮,1,55,0.43
9231,2022-10-05,南投縣,埔里鎮,1,54,0.43
9380,2022-10-03,南投縣,埔里鎮,1,53,0.29
9575,2022-09-30,南投縣,埔里鎮,1,52,0.43
9874,2022-09-25,南投縣,埔里鎮,1,51,0.57
9933,2022-09-24,南投縣,埔里鎮,1,50,0.43
10052,2022-09-22,南投縣,埔里鎮,1,49,0.57
10210,2022-09-19,南投縣,埔里鎮,1,48,0.43
10312,2022-09-17,南投縣,埔里鎮,1,47,0.29
10372,2022-09-16,南投縣,埔里鎮,1,46,0.14
10748,2022-09-09,南投縣,埔里鎮,1,45,0.29
10793,2022-09-08,南投縣,埔里鎮,1,44,0.14
11409,2022-08-24,南投縣,埔里鎮,1,43,0.14
11771,2022-08-14,南投縣,埔里鎮,1,42,0.43
11882,2022-08-11,南投縣,埔里鎮,1,41,0.29
11957,2022-08-09,南投縣,埔里鎮,1,40,0.14
12627,2022-07-26,南投縣,埔里鎮,2,39,0.43
12854,2022-07-22,南投縣,埔里鎮,1,37,0.29
13153,2022-07-17,南投縣,埔里鎮,1,36,0.43
13364,2022-07-14,南投縣,埔里鎮,2,35,0.57
13713,2022-07-09,南投縣,埔里鎮,1,33,1.00
13783,2022-07-08,南投縣,埔里鎮,1,32,0.86
13852,2022-07-07,南投縣,埔里鎮,2,31,0.86
14111,2022-07-04,南投縣,埔里鎮,1,29,0.71
14215,2022-07-03,南投縣,埔里鎮,2,28,0.71
14384,2022-07-01,南投縣,埔里鎮,1,26,0.71
14674,2022-06-28,南投縣,埔里鎮,1,25,1.14
14770,2022-06-27,南投縣,埔里鎮,1,24,1.00
14881,2022-06-26,南投縣,埔里鎮,1,23,1.14
14976,2022-06-25,南投縣,埔里鎮,1,22,1.43
15066,2022-06-24,南投縣,埔里鎮,2,21,1.29
15162,2022-06-23,南投縣,埔里鎮,1,19,1.00
15282,2022-06-22,南投縣,埔里鎮,1,18,1.14
15507,2022-06-20,南投縣,埔里鎮,2,17,1.29
15612,2022-06-19,南投縣,埔里鎮,3,15,1.00
15990,2022-06-16,南投縣,埔里鎮,2,12,1.00
16109,2022-06-15,南投縣,埔里鎮,1,10,0.71
16242,2022-06-14,南投縣,埔里鎮,1,9,0.57
16494,2022-06-12,南投縣,埔里鎮,1,8,0.43
16614,2022-06-11,南投縣,埔里鎮,1,7,0.29
16746,2022-06-10,南投縣,埔里鎮,1,6,0.29
17469,2022-06-04,南投縣,埔里鎮,1,5,0.43
17827,2022-06-01,南投縣,埔里鎮,1,4,0.29
18212,2022-05-29,南投縣,埔里鎮,1,3,0.14
19680,2022-05-08,南投縣,埔里鎮,1,2,0.14
20124,2021-07-08,南投縣,埔里鎮,1,1,0.14
