UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
530,2023-03-21,南投縣,埔里鎮,1,27331,17.57
708,2023-03-20,南投縣,埔里鎮,2,27330,20.29
1000,2023-03-19,南投縣,埔里鎮,17,27328,23.14
1329,2023-03-18,南投縣,埔里鎮,40,27311,23.29
1668,2023-03-17,南投縣,埔里鎮,19,27271,20.57
2021,2023-03-16,南投縣,埔里鎮,18,27252,20.43
2373,2023-03-15,南投縣,埔里鎮,26,27234,20.71
2724,2023-03-14,南投縣,埔里鎮,20,27208,20.71
3081,2023-03-13,南投縣,埔里鎮,22,27188,23.86
3440,2023-03-12,南投縣,埔里鎮,18,27166,24.71
3786,2023-03-11,南投縣,埔里鎮,21,27148,25.14
4138,2023-03-10,南投縣,埔里鎮,18,27127,25.71
4494,2023-03-09,南投縣,埔里鎮,20,27109,26.71
4853,2023-03-08,南投縣,埔里鎮,26,27089,30.00
5206,2023-03-07,南投縣,埔里鎮,42,27063,32.43
5566,2023-03-06,南投縣,埔里鎮,28,27021,30.86
5930,2023-03-05,南投縣,埔里鎮,21,26993,29.86
6269,2023-03-04,南投縣,埔里鎮,25,26972,29.43
6622,2023-03-03,南投縣,埔里鎮,25,26947,30.57
6981,2023-03-02,南投縣,埔里鎮,43,26922,32.00
7345,2023-03-01,南投縣,埔里鎮,43,26879,30.71
7716,2023-02-28,南投縣,埔里鎮,31,26836,27.71
8079,2023-02-27,南投縣,埔里鎮,21,26805,29.57
8438,2023-02-26,南投縣,埔里鎮,18,26784,32.43
8782,2023-02-25,南投縣,埔里鎮,33,26766,34.14
9152,2023-02-24,南投縣,埔里鎮,35,26733,34.00
9513,2023-02-23,南投縣,埔里鎮,34,26698,36.14
9884,2023-02-22,南投縣,埔里鎮,22,26664,36.43
10258,2023-02-21,南投縣,埔里鎮,44,26642,38.86
10628,2023-02-20,南投縣,埔里鎮,41,26598,37.29
11007,2023-02-19,南投縣,埔里鎮,30,26557,38.14
11366,2023-02-18,南投縣,埔里鎮,32,26527,37.86
11732,2023-02-17,南投縣,埔里鎮,50,26495,37.29
12105,2023-02-16,南投縣,埔里鎮,36,26445,36.14
12480,2023-02-15,南投縣,埔里鎮,39,26409,37.14
12853,2023-02-14,南投縣,埔里鎮,33,26370,38.57
13225,2023-02-13,南投縣,埔里鎮,47,26337,43.29
13603,2023-02-12,南投縣,埔里鎮,28,26290,44.14
13961,2023-02-11,南投縣,埔里鎮,28,26262,48.43
14333,2023-02-10,南投縣,埔里鎮,42,26234,53.29
14706,2023-02-09,南投縣,埔里鎮,43,26192,54.71
15083,2023-02-08,南投縣,埔里鎮,49,26149,57.29
15462,2023-02-07,南投縣,埔里鎮,66,26100,59.14
15841,2023-02-06,南投縣,埔里鎮,53,26034,59.43
16222,2023-02-05,南投縣,埔里鎮,58,25981,62.57
16591,2023-02-04,南投縣,埔里鎮,62,25923,63.57
16970,2023-02-03,南投縣,埔里鎮,52,25861,66.43
17356,2023-02-02,南投縣,埔里鎮,61,25809,72.71
17739,2023-02-01,南投縣,埔里鎮,62,25748,73.00
18116,2023-01-31,南投縣,埔里鎮,68,25686,72.14
18501,2023-01-30,南投縣,埔里鎮,75,25618,68.86
18890,2023-01-29,南投縣,埔里鎮,65,25543,65.43
19266,2023-01-28,南投縣,埔里鎮,82,25478,60.43
19645,2023-01-27,南投縣,埔里鎮,96,25396,52.29
20023,2023-01-26,南投縣,埔里鎮,63,25300,45.00
20400,2023-01-25,南投縣,埔里鎮,56,25237,41.43
20765,2023-01-24,南投縣,埔里鎮,45,25181,38.00
21140,2023-01-23,南投縣,埔里鎮,51,25136,37.57
21507,2023-01-22,南投縣,埔里鎮,30,25085,37.29
21871,2023-01-21,南投縣,埔里鎮,25,25055,38.14
22243,2023-01-20,南投縣,埔里鎮,45,25030,40.57
22610,2023-01-19,南投縣,埔里鎮,38,24985,42.00
22981,2023-01-18,南投縣,埔里鎮,32,24947,40.43
23351,2023-01-17,南投縣,埔里鎮,42,24915,47.86
