UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1313,2023-03-02,南投縣,水里鄉,1,18,0.29
1363,2023-03-01,南投縣,水里鄉,1,17,0.14
2054,2023-02-17,南投縣,水里鄉,1,16,0.14
4074,2023-01-13,南投縣,水里鄉,1,15,0.14
6104,2022-11-25,南投縣,水里鄉,1,14,0.14
6940,2022-11-09,南投縣,水里鄉,1,13,0.14
7418,2022-11-01,南投縣,水里鄉,1,12,0.14
8875,2022-10-11,南投縣,水里鄉,1,11,0.14
9486,2022-10-02,南投縣,水里鄉,1,10,0.14
9952,2022-09-24,南投縣,水里鄉,1,9,0.14
10851,2022-09-07,南投縣,水里鄉,1,8,0.14
12233,2022-08-03,南投縣,水里鄉,1,7,0.14
12718,2022-07-25,南投縣,水里鄉,1,6,0.29
12937,2022-07-21,南投縣,水里鄉,1,5,0.14
15794,2022-06-18,南投縣,水里鄉,1,4,0.14
17890,2022-06-01,南投縣,水里鄉,1,3,0.43
18151,2022-05-30,南投縣,水里鄉,2,2,0.29
