UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
583,2023-03-21,南投縣,水里鄉,1,4208,2.71
852,2023-03-20,南投縣,水里鄉,2,4207,2.57
1177,2023-03-19,南投縣,水里鄉,3,4205,3.00
1510,2023-03-18,南投縣,水里鄉,5,4202,2.57
1864,2023-03-17,南投縣,水里鄉,4,4197,2.00
2210,2023-03-16,南投縣,水里鄉,2,4193,2.29
2563,2023-03-15,南投縣,水里鄉,2,4191,3.00
3278,2023-03-13,南投縣,水里鄉,5,4189,3.43
3981,2023-03-11,南投縣,水里鄉,1,4184,3.29
4334,2023-03-10,南投縣,水里鄉,6,4183,4.29
4686,2023-03-09,南投縣,水里鄉,7,4177,3.86
5045,2023-03-08,南投縣,水里鄉,1,4170,4.29
5400,2023-03-07,南投縣,水里鄉,4,4169,5.29
5767,2023-03-06,南投縣,水里鄉,3,4165,4.86
6111,2023-03-05,南投縣,水里鄉,1,4162,5.86
6462,2023-03-04,南投縣,水里鄉,8,4161,5.86
6816,2023-03-03,南投縣,水里鄉,3,4153,6.00
7181,2023-03-02,南投縣,水里鄉,10,4150,6.00
7546,2023-03-01,南投縣,水里鄉,8,4140,5.43
7915,2023-02-28,南投縣,水里鄉,1,4132,4.86
8275,2023-02-27,南投縣,水里鄉,10,4131,5.43
8623,2023-02-26,南投縣,水里鄉,1,4121,4.14
8987,2023-02-25,南投縣,水里鄉,9,4120,4.29
9350,2023-02-24,南投縣,水里鄉,3,4111,3.43
9717,2023-02-23,南投縣,水里鄉,6,4108,3.57
10092,2023-02-22,南投縣,水里鄉,4,4102,3.29
10463,2023-02-21,南投縣,水里鄉,5,4098,3.43
10836,2023-02-20,南投縣,水里鄉,1,4093,3.29
11198,2023-02-19,南投縣,水里鄉,2,4092,4.71
11566,2023-02-18,南投縣,水里鄉,3,4090,4.71
11938,2023-02-17,南投縣,水里鄉,4,4087,5.57
12312,2023-02-16,南投縣,水里鄉,4,4083,5.14
12684,2023-02-15,南投縣,水里鄉,5,4079,5.29
13059,2023-02-14,南投縣,水里鄉,4,4074,5.00
13435,2023-02-13,南投縣,水里鄉,11,4070,5.57
13801,2023-02-12,南投縣,水里鄉,2,4059,5.29
14170,2023-02-11,南投縣,水里鄉,9,4057,5.14
14537,2023-02-10,南投縣,水里鄉,1,4048,5.00
14912,2023-02-09,南投縣,水里鄉,5,4047,6.71
15291,2023-02-08,南投縣,水里鄉,3,4042,7.29
15672,2023-02-07,南投縣,水里鄉,8,4039,8.29
16051,2023-02-06,南投縣,水里鄉,9,4031,8.14
16424,2023-02-05,南投縣,水里鄉,1,4022,8.00
16801,2023-02-04,南投縣,水里鄉,8,4021,8.43
17181,2023-02-03,南投縣,水里鄉,13,4013,8.00
17567,2023-02-02,南投縣,水里鄉,9,4000,7.29
17947,2023-02-01,南投縣,水里鄉,10,3991,8.14
18330,2023-01-31,南投縣,水里鄉,7,3981,8.43
18715,2023-01-30,南投縣,水里鄉,8,3974,8.71
19099,2023-01-29,南投縣,水里鄉,4,3966,8.43
19477,2023-01-28,南投縣,水里鄉,5,3962,8.57
19853,2023-01-27,南投縣,水里鄉,8,3957,8.86
20230,2023-01-26,南投縣,水里鄉,15,3949,8.71
20602,2023-01-25,南投縣,水里鄉,12,3934,7.29
20971,2023-01-24,南投縣,水里鄉,9,3922,6.43
21339,2023-01-23,南投縣,水里鄉,6,3913,6.14
21708,2023-01-22,南投縣,水里鄉,5,3907,6.57
22078,2023-01-21,南投縣,水里鄉,7,3902,6.57
22445,2023-01-20,南投縣,水里鄉,7,3895,6.57
22813,2023-01-19,南投縣,水里鄉,5,3888,7.00
23185,2023-01-18,南投縣,水里鄉,6,3883,7.29
23551,2023-01-17,南投縣,水里鄉,7,3877,7.29
23924,2023-01-16,南投縣,水里鄉,9,3870,6.71
24296,2023-01-15,南投縣,水里鄉,5,3861,7.14
24662,2023-01-14,南投縣,水里鄉,7,3856,7.00
25030,2023-01-13,南投縣,水里鄉,10,3849,7.00
25404,2023-01-12,南投縣,水里鄉,7,3839,6.57
25777,2023-01-11,南投縣,水里鄉,6,3832,6.43
26151,2023-01-10,南投縣,水里鄉,3,3826,6.14
26528,2023-01-09,南投縣,水里鄉,12,3823,7.00
26894,2023-01-08,南投縣,水里鄉,4,3811,6.57
27259,2023-01-07,南投縣,水里鄉,7,3807,6.29
27631,2023-01-06,南投縣,水里鄉,7,3800,5.86
28012,2023-01-05,南投縣,水里鄉,6,3793,5.29
28392,2023-01-04,南投縣,水里鄉,4,3787,6.00
28773,2023-01-03,南投縣,水里鄉,9,3783,5.86
29148,2023-01-02,南投縣,水里鄉,9,3774,5.14
