UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
719,2023-03-20,南投縣,竹山鎮,4,16105,11.71
1012,2023-03-19,南投縣,竹山鎮,15,16101,12.43
1342,2023-03-18,南投縣,竹山鎮,5,16086,11.14
1681,2023-03-17,南投縣,竹山鎮,9,16081,11.71
2034,2023-03-16,南投縣,竹山鎮,21,16072,12.00
2386,2023-03-15,南投縣,竹山鎮,16,16051,10.43
2736,2023-03-14,南投縣,竹山鎮,12,16035,10.00
3094,2023-03-13,南投縣,竹山鎮,9,16023,10.14
3452,2023-03-12,南投縣,竹山鎮,6,16014,11.43
3799,2023-03-11,南投縣,竹山鎮,9,16008,11.43
4150,2023-03-10,南投縣,竹山鎮,11,15999,11.71
4507,2023-03-09,南投縣,竹山鎮,10,15988,12.29
4865,2023-03-08,南投縣,竹山鎮,13,15978,13.14
5219,2023-03-07,南投縣,竹山鎮,13,15965,13.14
5579,2023-03-06,南投縣,竹山鎮,18,15952,12.14
5943,2023-03-05,南投縣,竹山鎮,6,15934,11.57
6281,2023-03-04,南投縣,竹山鎮,11,15928,12.86
6635,2023-03-03,南投縣,竹山鎮,15,15917,13.14
6994,2023-03-02,南投縣,竹山鎮,16,15902,12.29
7358,2023-03-01,南投縣,竹山鎮,13,15886,11.00
7729,2023-02-28,南投縣,竹山鎮,6,15873,12.43
8092,2023-02-27,南投縣,竹山鎮,14,15867,13.43
8451,2023-02-26,南投縣,竹山鎮,15,15853,14.86
8795,2023-02-25,南投縣,竹山鎮,13,15838,14.29
9165,2023-02-24,南投縣,竹山鎮,9,15825,13.86
9526,2023-02-23,南投縣,竹山鎮,7,15816,13.86
9897,2023-02-22,南投縣,竹山鎮,23,15809,15.14
10271,2023-02-21,南投縣,竹山鎮,13,15786,15.29
10641,2023-02-20,南投縣,竹山鎮,24,15773,17.43
11020,2023-02-19,南投縣,竹山鎮,11,15749,17.29
11379,2023-02-18,南投縣,竹山鎮,10,15738,16.71
11745,2023-02-17,南投縣,竹山鎮,9,15728,18.14
12118,2023-02-16,南投縣,竹山鎮,16,15719,20.86
12493,2023-02-15,南投縣,竹山鎮,24,15703,23.00
12866,2023-02-14,南投縣,竹山鎮,28,15679,23.57
13238,2023-02-13,南投縣,竹山鎮,23,15651,27.43
13616,2023-02-12,南投縣,竹山鎮,7,15628,29.14
13974,2023-02-11,南投縣,竹山鎮,20,15621,30.43
14346,2023-02-10,南投縣,竹山鎮,28,15601,32.86
14719,2023-02-09,南投縣,竹山鎮,31,15573,35.14
15096,2023-02-08,南投縣,竹山鎮,28,15542,34.86
15475,2023-02-07,南投縣,竹山鎮,55,15514,36.43
15854,2023-02-06,南投縣,竹山鎮,35,15459,34.71
16235,2023-02-05,南投縣,竹山鎮,16,15424,35.57
16604,2023-02-04,南投縣,竹山鎮,37,15408,36.71
16983,2023-02-03,南投縣,竹山鎮,44,15371,36.43
17369,2023-02-02,南投縣,竹山鎮,29,15327,36.29
17752,2023-02-01,南投縣,竹山鎮,39,15298,37.71
18129,2023-01-31,南投縣,竹山鎮,43,15259,35.29
18514,2023-01-30,南投縣,竹山鎮,41,15216,34.14
18903,2023-01-29,南投縣,竹山鎮,24,15175,33.14
19279,2023-01-28,南投縣,竹山鎮,35,15151,32.57
19658,2023-01-27,南投縣,竹山鎮,43,15116,30.57
20036,2023-01-26,南投縣,竹山鎮,39,15073,27.71
20413,2023-01-25,南投縣,竹山鎮,22,15034,27.00
20778,2023-01-24,南投縣,竹山鎮,35,15012,25.57
21152,2023-01-23,南投縣,竹山鎮,34,14977,23.29
21520,2023-01-22,南投縣,竹山鎮,20,14943,21.57
21884,2023-01-21,南投縣,竹山鎮,21,14923,21.00
22256,2023-01-20,南投縣,竹山鎮,23,14902,20.57
22623,2023-01-19,南投縣,竹山鎮,34,14879,21.29
22994,2023-01-18,南投縣,竹山鎮,12,14845,19.29
23364,2023-01-17,南投縣,竹山鎮,19,14833,20.57
23730,2023-01-16,南投縣,竹山鎮,22,14814,21.57
24106,2023-01-15,南投縣,竹山鎮,16,14792,22.86
24472,2023-01-14,南投縣,竹山鎮,18,14776,23.00
24841,2023-01-13,南投縣,竹山鎮,28,14758,24.14
25209,2023-01-12,南投縣,竹山鎮,20,14730,23.86
25584,2023-01-11,南投縣,竹山鎮,21,14710,24.14
25960,2023-01-10,南投縣,竹山鎮,26,14689,25.57
26332,2023-01-09,南投縣,竹山鎮,31,14663,29.86
26709,2023-01-08,南投縣,竹山鎮,17,14632,30.86
27067,2023-01-07,南投縣,竹山鎮,26,14615,30.14
27439,2023-01-06,南投縣,竹山鎮,26,14589,30.86
27815,2023-01-05,南投縣,竹山鎮,22,14563,32.29
28195,2023-01-04,南投縣,竹山鎮,31,14541,33.43
28576,2023-01-03,南投縣,竹山鎮,56,14510,34.43
28957,2023-01-02,南投縣,竹山鎮,38,14454,30.86
29329,2023-01-01,南投縣,竹山鎮,12,14416,29.71
29691,2022-12-31,南投縣,竹山鎮,31,14404,30.14
30057,2022-12-30,南投縣,竹山鎮,36,14373,28.71
30429,2022-12-29,南投縣,竹山鎮,30,14337,28.14
30801,2022-12-28,南投縣,竹山鎮,38,14307,26.57
31172,2022-12-27,南投縣,竹山鎮,31,14269,24.57
31548,2022-12-26,南投縣,竹山鎮,30,14238,25.43
31920,2022-12-25,南投縣,竹山鎮,15,14208,25.00
32275,2022-12-24,南投縣,竹山鎮,21,14193,25.86
32635,2022-12-23,南投縣,竹山鎮,32,14172,27.57
32999,2022-12-22,南投縣,竹山鎮,19,14140,28.29
33366,2022-12-21,南投縣,竹山鎮,24,14121,30.29
33736,2022-12-20,南投縣,竹山鎮,37,14097,29.43
34099,2022-12-19,南投縣,竹山鎮,27,14060,27.00
34469,2022-12-18,南投縣,竹山鎮,21,14033,27.14
34818,2022-12-17,南投縣,竹山鎮,33,14012,26.14
35178,2022-12-16,南投縣,竹山鎮,37,13979,24.00
35543,2022-12-15,南投縣,竹山鎮,33,13942,22.14
35914,2022-12-14,南投縣,竹山鎮,18,13909,20.71
36271,2022-12-13,南投縣,竹山鎮,20,13891,20.43
36647,2022-12-12,南投縣,竹山鎮,28,13871,20.00
37017,2022-12-11,南投縣,竹山鎮,14,13843,19.14
37370,2022-12-10,南投縣,竹山鎮,18,13829,18.00
37739,2022-12-09,南投縣,竹山鎮,24,13811,18.14
38104,2022-12-08,南投縣,竹山鎮,23,13787,18.57
38477,2022-12-07,南投縣,竹山鎮,16,13764,18.71
38848,2022-12-06,南投縣,竹山鎮,17,13748,20.29
39220,2022-12-05,南投縣,竹山鎮,22,13731,22.86
39598,2022-12-04,南投縣,竹山鎮,6,13709,27.00
39963,2022-12-03,南投縣,竹山鎮,19,13703,28.71
40333,2022-12-02,南投縣,竹山鎮,27,13684,28.86
40702,2022-12-01,南投縣,竹山鎮,24,13657,27.29
41071,2022-11-30,南投縣,竹山鎮,27,13633,27.43
41443,2022-11-29,南投縣,竹山鎮,35,13606,27.00
41823,2022-11-28,南投縣,竹山鎮,51,13571,24.00
42200,2022-11-27,南投縣,竹山鎮,18,13520,21.29
42561,2022-11-26,南投縣,竹山鎮,20,13502,20.71
42917,2022-11-25,南投縣,竹山鎮,16,13482,21.29
43289,2022-11-24,南投縣,竹山鎮,25,13466,22.29
43659,2022-11-23,南投縣,竹山鎮,24,13441,22.86
44030,2022-11-22,南投縣,竹山鎮,14,13417,22.71
44404,2022-11-21,南投縣,竹山鎮,32,13403,24.43
44785,2022-11-20,南投縣,竹山鎮,14,13371,25.57
45150,2022-11-19,南投縣,竹山鎮,24,13357,26.43
45524,2022-11-18,南投縣,竹山鎮,23,13333,27.00
45896,2022-11-17,南投縣,竹山鎮,29,13310,29.14
46269,2022-11-16,南投縣,竹山鎮,23,13281,30.29
46649,2022-11-15,南投縣,竹山鎮,26,13258,33.00
47030,2022-11-14,南投縣,竹山鎮,40,13232,34.57
47411,2022-11-13,南投縣,竹山鎮,20,13192,35.71
47781,2022-11-12,南投縣,竹山鎮,28,13172,37.57
48157,2022-11-11,南投縣,竹山鎮,38,13144,38.29
48537,2022-11-10,南投縣,竹山鎮,37,13106,39.29
48919,2022-11-09,南投縣,竹山鎮,42,13069,39.29
49303,2022-11-08,南投縣,竹山鎮,37,13027,40.00
49688,2022-11-07,南投縣,竹山鎮,48,12990,44.14
50073,2022-11-06,南投縣,竹山鎮,33,12942,51.43
50442,2022-11-05,南投縣,竹山鎮,33,12909,51.57
50817,2022-11-04,南投縣,竹山鎮,45,12876,54.14
51203,2022-11-03,南投縣,竹山鎮,37,12831,55.86
51583,2022-11-02,南投縣,竹山鎮,47,12794,61.57
51969,2022-11-01,南投縣,竹山鎮,66,12747,61.71
52354,2022-10-31,南投縣,竹山鎮,99,12681,65.57
52737,2022-10-30,南投縣,竹山鎮,34,12582,62.57
53116,2022-10-29,南投縣,竹山鎮,51,12548,64.86
53495,2022-10-28,南投縣,竹山鎮,57,12497,67.14
53882,2022-10-27,南投縣,竹山鎮,77,12440,68.86
54269,2022-10-26,南投縣,竹山鎮,48,12363,66.71
54653,2022-10-25,南投縣,竹山鎮,93,12315,70.71
55042,2022-10-24,南投縣,竹山鎮,78,12222,67.57
55432,2022-10-23,南投縣,竹山鎮,50,12144,64.71
55809,2022-10-22,南投縣,竹山鎮,67,12094,62.86
56194,2022-10-21,南投縣,竹山鎮,69,12027,61.43
56584,2022-10-20,南投縣,竹山鎮,62,11958,61.00
56969,2022-10-19,南投縣,竹山鎮,76,11896,62.00
57356,2022-10-18,南投縣,竹山鎮,71,11820,62.00
57746,2022-10-17,南投縣,竹山鎮,58,11749,59.86
58136,2022-10-16,南投縣,竹山鎮,37,11691,64.29
58520,2022-10-15,南投縣,竹山鎮,57,11654,63.14
58905,2022-10-14,南投縣,竹山鎮,66,11597,63.86
59295,2022-10-13,南投縣,竹山鎮,69,11531,62.14
59686,2022-10-12,南投縣,竹山鎮,76,11462,60.14
60075,2022-10-11,南投縣,竹山鎮,56,11386,57.00
60467,2022-10-10,南投縣,竹山鎮,89,11330,58.71
60851,2022-10-09,南投縣,竹山鎮,29,11241,58.00
61238,2022-10-08,南投縣,竹山鎮,62,11212,60.71
61627,2022-10-07,南投縣,竹山鎮,54,11150,59.00
62014,2022-10-06,南投縣,竹山鎮,55,11096,60.14
62405,2022-10-05,南投縣,竹山鎮,54,11041,61.29
62792,2022-10-04,南投縣,竹山鎮,68,10987,63.14
63180,2022-10-03,南投縣,竹山鎮,84,10919,63.71
63571,2022-10-02,南投縣,竹山鎮,48,10835,62.14
63953,2022-10-01,南投縣,竹山鎮,50,10787,61.57
64339,2022-09-30,南投縣,竹山鎮,62,10737,61.71
64723,2022-09-29,南投縣,竹山鎮,63,10675,65.43
65111,2022-09-28,南投縣,竹山鎮,67,10612,64.57
65499,2022-09-27,南投縣,竹山鎮,72,10545,63.57
65886,2022-09-26,南投縣,竹山鎮,73,10473,65.29
66275,2022-09-25,南投縣,竹山鎮,44,10400,68.43
66658,2022-09-24,南投縣,竹山鎮,51,10356,68.00
67041,2022-09-23,南投縣,竹山鎮,88,10305,71.14
67430,2022-09-22,南投縣,竹山鎮,57,10217,72.29
67817,2022-09-21,南投縣,竹山鎮,60,10160,74.29
68206,2022-09-20,南投縣,竹山鎮,84,10100,79.00
68596,2022-09-19,南投縣,竹山鎮,95,10016,79.29
68987,2022-09-18,南投縣,竹山鎮,41,9921,79.29
69369,2022-09-17,南投縣,竹山鎮,73,9880,80.57
69757,2022-09-16,南投縣,竹山鎮,96,9807,78.57
70142,2022-09-15,南投縣,竹山鎮,71,9711,76.43
70529,2022-09-14,南投縣,竹山鎮,93,9640,74.29
70914,2022-09-13,南投縣,竹山鎮,86,9547,68.43
71303,2022-09-12,南投縣,竹山鎮,95,9461,67.43
71693,2022-09-11,南投縣,竹山鎮,50,9366,65.43
72075,2022-09-10,南投縣,竹山鎮,59,9316,62.57
72457,2022-09-09,南投縣,竹山鎮,81,9257,64.43
72839,2022-09-08,南投縣,竹山鎮,56,9176,62.71
73226,2022-09-07,南投縣,竹山鎮,52,9120,61.29
73610,2022-09-06,南投縣,竹山鎮,79,9068,67.14
73996,2022-09-05,南投縣,竹山鎮,81,8989,64.86
74383,2022-09-04,南投縣,竹山鎮,30,8908,62.43
74765,2022-09-03,南投縣,竹山鎮,72,8878,63.14
75152,2022-09-02,南投縣,竹山鎮,69,8806,59.57
75538,2022-09-01,南投縣,竹山鎮,46,8737,55.71
75927,2022-08-31,南投縣,竹山鎮,93,8691,56.29
76314,2022-08-30,南投縣,竹山鎮,63,8598,49.71
76702,2022-08-29,南投縣,竹山鎮,64,8535,46.86
77092,2022-08-28,南投縣,竹山鎮,35,8471,46.00
77473,2022-08-27,南投縣,竹山鎮,47,8436,44.86
77860,2022-08-26,南投縣,竹山鎮,42,8389,45.71
78245,2022-08-25,南投縣,竹山鎮,50,8347,46.29
78631,2022-08-24,南投縣,竹山鎮,47,8297,44.14
79018,2022-08-23,南投縣,竹山鎮,43,8250,44.14
79401,2022-08-22,南投縣,竹山鎮,58,8207,44.43
79791,2022-08-21,南投縣,竹山鎮,27,8149,42.00
80166,2022-08-20,南投縣,竹山鎮,53,8122,42.00
80551,2022-08-19,南投縣,竹山鎮,46,8069,38.00
80935,2022-08-18,南投縣,竹山鎮,35,8023,36.29
81324,2022-08-17,南投縣,竹山鎮,47,7988,38.14
81709,2022-08-16,南投縣,竹山鎮,45,7941,35.86
82096,2022-08-15,南投縣,竹山鎮,41,7896,35.29
82483,2022-08-14,南投縣,竹山鎮,27,7855,36.14
82860,2022-08-13,南投縣,竹山鎮,25,7828,36.57
83239,2022-08-12,南投縣,竹山鎮,34,7803,37.29
83625,2022-08-11,南投縣,竹山鎮,48,7769,37.14
84011,2022-08-10,南投縣,竹山鎮,31,7721,36.29
84397,2022-08-09,南投縣,竹山鎮,41,7690,37.86
84779,2022-08-08,南投縣,竹山鎮,47,7649,37.29
85164,2022-08-07,南投縣,竹山鎮,30,7602,35.43
85537,2022-08-06,南投縣,竹山鎮,30,7572,36.86
85916,2022-08-05,南投縣,竹山鎮,33,7542,38.43
86303,2022-08-04,南投縣,竹山鎮,42,7509,37.29
86688,2022-08-03,南投縣,竹山鎮,42,7467,36.57
87071,2022-08-02,南投縣,竹山鎮,37,7425,37.14
87456,2022-08-01,南投縣,竹山鎮,34,7388,37.43
87844,2022-07-31,南投縣,竹山鎮,40,7354,39.57
88220,2022-07-30,南投縣,竹山鎮,41,7314,36.00
88599,2022-07-29,南投縣,竹山鎮,25,7273,33.29
88983,2022-07-28,南投縣,竹山鎮,37,7248,33.71
89369,2022-07-27,南投縣,竹山鎮,46,7211,32.29
89760,2022-07-26,南投縣,竹山鎮,39,7165,31.86
90147,2022-07-25,南投縣,竹山鎮,49,7126,31.86
90531,2022-07-24,南投縣,竹山鎮,15,7077,30.86
90908,2022-07-23,南投縣,竹山鎮,22,7062,32.43
91293,2022-07-22,南投縣,竹山鎮,28,7040,35.00
91679,2022-07-21,南投縣,竹山鎮,27,7012,36.86
92063,2022-07-20,南投縣,竹山鎮,43,6985,40.29
92450,2022-07-19,南投縣,竹山鎮,39,6942,42.00
92838,2022-07-18,南投縣,竹山鎮,42,6903,43.00
93227,2022-07-17,南投縣,竹山鎮,26,6861,45.00
93605,2022-07-16,南投縣,竹山鎮,40,6835,46.00
93992,2022-07-15,南投縣,竹山鎮,41,6795,48.14
94379,2022-07-14,南投縣,竹山鎮,51,6754,49.86
94767,2022-07-13,南投縣,竹山鎮,55,6703,51.14
95156,2022-07-12,南投縣,竹山鎮,46,6648,52.00
95544,2022-07-11,南投縣,竹山鎮,56,6602,53.71
95932,2022-07-10,南投縣,竹山鎮,33,6546,59.86
96315,2022-07-09,南投縣,竹山鎮,55,6513,59.86
96702,2022-07-08,南投縣,竹山鎮,53,6458,61.57
97093,2022-07-07,南投縣,竹山鎮,60,6405,65.14
97484,2022-07-06,南投縣,竹山鎮,61,6345,66.14
97873,2022-07-05,南投縣,竹山鎮,58,6284,69.86
98262,2022-07-04,南投縣,竹山鎮,99,6226,78.00
98651,2022-07-03,南投縣,竹山鎮,33,6127,80.43
99036,2022-07-02,南投縣,竹山鎮,67,6094,82.29
99424,2022-07-01,南投縣,竹山鎮,78,6027,85.86
99816,2022-06-30,南投縣,竹山鎮,67,5949,88.14
100207,2022-06-29,南投縣,竹山鎮,87,5882,92.86
100597,2022-06-28,南投縣,竹山鎮,115,5795,96.14
100988,2022-06-27,南投縣,竹山鎮,116,5680,93.43
101377,2022-06-26,南投縣,竹山鎮,46,5564,98.71
101762,2022-06-25,南投縣,竹山鎮,92,5518,103.43
102152,2022-06-24,南投縣,竹山鎮,94,5426,106.14
102543,2022-06-23,南投縣,竹山鎮,100,5332,111.86
102935,2022-06-22,南投縣,竹山鎮,110,5232,117.00
103325,2022-06-21,南投縣,竹山鎮,96,5122,121.86
103716,2022-06-20,南投縣,竹山鎮,153,5026,126.71
104107,2022-06-19,南投縣,竹山鎮,79,4873,128.14
104497,2022-06-18,南投縣,竹山鎮,111,4794,127.57
104888,2022-06-17,南投縣,竹山鎮,134,4683,133.43
105279,2022-06-16,南投縣,竹山鎮,136,4549,127.57
105669,2022-06-15,南投縣,竹山鎮,144,4413,125.43
106059,2022-06-14,南投縣,竹山鎮,130,4269,125.57
106450,2022-06-13,南投縣,竹山鎮,163,4139,127.14
106841,2022-06-12,南投縣,竹山鎮,75,3976,137.29
107228,2022-06-11,南投縣,竹山鎮,152,3901,143.86
107619,2022-06-10,南投縣,竹山鎮,93,3749,139.86
108008,2022-06-09,南投縣,竹山鎮,121,3656,145.29
108399,2022-06-08,南投縣,竹山鎮,145,3535,146.57
108787,2022-06-07,南投縣,竹山鎮,141,3390,143.71
109179,2022-06-06,南投縣,竹山鎮,234,3249,149.29
109570,2022-06-05,南投縣,竹山鎮,121,3015,134.57
109959,2022-06-04,南投縣,竹山鎮,124,2894,125.86
110348,2022-06-03,南投縣,竹山鎮,131,2770,119.00
110740,2022-06-02,南投縣,竹山鎮,130,2639,118.29
111130,2022-06-01,南投縣,竹山鎮,125,2509,118.00
111521,2022-05-31,南投縣,竹山鎮,180,2384,120.14
111913,2022-05-30,南投縣,竹山鎮,131,2204,111.14
112303,2022-05-29,南投縣,竹山鎮,60,2073,113.86
112694,2022-05-28,南投縣,竹山鎮,76,2013,119.86
113084,2022-05-27,南投縣,竹山鎮,126,1937,127.86
113475,2022-05-26,南投縣,竹山鎮,128,1811,127.43
113866,2022-05-25,南投縣,竹山鎮,140,1683,124.14
114256,2022-05-24,南投縣,竹山鎮,117,1543,127.57
114647,2022-05-23,南投縣,竹山鎮,150,1426,124.00
115038,2022-05-22,南投縣,竹山鎮,102,1276,116.00
115429,2022-05-21,南投縣,竹山鎮,132,1174,111.43
115816,2022-05-20,南投縣,竹山鎮,123,1042,100.00
116202,2022-05-19,南投縣,竹山鎮,105,919,88.43
116591,2022-05-18,南投縣,竹山鎮,164,814,78.43
116981,2022-05-17,南投縣,竹山鎮,92,650,60.71
117371,2022-05-16,南投縣,竹山鎮,94,558,52.71
117759,2022-05-15,南投縣,竹山鎮,70,464,41.43
118145,2022-05-14,南投縣,竹山鎮,52,394,35.14
118528,2022-05-13,南投縣,竹山鎮,42,342,31.14
118915,2022-05-12,南投縣,竹山鎮,35,300,27.86
119299,2022-05-11,南投縣,竹山鎮,40,265,25.71
119684,2022-05-10,南投縣,竹山鎮,36,225,23.14
120069,2022-05-09,南投縣,竹山鎮,15,189,19.57
120448,2022-05-08,南投縣,竹山鎮,26,174,18.29
120833,2022-05-07,南投縣,竹山鎮,24,148,15.43
121211,2022-05-06,南投縣,竹山鎮,19,124,13.29
121589,2022-05-05,南投縣,竹山鎮,20,105,10.86
121961,2022-05-04,南投縣,竹山鎮,22,85,8.86
122322,2022-05-03,南投縣,竹山鎮,11,63,6.14
122680,2022-05-02,南投縣,竹山鎮,6,52,5.00
123030,2022-05-01,南投縣,竹山鎮,6,46,4.14
123365,2022-04-30,南投縣,竹山鎮,9,40,3.71
123696,2022-04-29,南投縣,竹山鎮,2,31,2.71
124012,2022-04-28,南投縣,竹山鎮,6,29,3.00
124326,2022-04-27,南投縣,竹山鎮,3,23,2.43
124621,2022-04-26,南投縣,竹山鎮,3,20,2.00
125187,2022-04-24,南投縣,竹山鎮,3,17,1.57
125426,2022-04-23,南投縣,竹山鎮,2,14,1.14
125675,2022-04-22,南投縣,竹山鎮,4,12,0.86
125919,2022-04-21,南投縣,竹山鎮,2,8,0.29
131354,2021-06-28,南投縣,竹山鎮,1,6,0.71
131386,2021-06-27,南投縣,竹山鎮,1,5,0.57
131521,2021-06-24,南投縣,竹山鎮,1,4,0.43
131617,2021-06-22,南投縣,竹山鎮,2,3,0.29
133586,2021-05-24,南投縣,竹山鎮,1,1,0.14
