UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
675,2023-03-15,南投縣,草屯鎮,1,103,0.29
946,2023-03-09,南投縣,草屯鎮,1,102,0.14
1410,2023-02-28,南投縣,草屯鎮,1,101,0.29
1590,2023-02-25,南投縣,草屯鎮,1,100,0.29
1882,2023-02-20,南投縣,草屯鎮,1,99,0.43
1993,2023-02-18,南投縣,草屯鎮,1,98,0.43
2173,2023-02-15,南投縣,草屯鎮,1,97,0.29
2364,2023-02-12,南投縣,草屯鎮,1,96,0.29
2769,2023-02-06,南投縣,草屯鎮,1,95,0.43
3081,2023-02-01,南投縣,草屯鎮,2,94,0.29
3621,2023-01-22,南投縣,草屯鎮,1,92,0.14
4023,2023-01-14,南投縣,草屯鎮,2,91,0.29
4668,2023-01-01,南投縣,草屯鎮,1,89,0.14
5386,2022-12-14,南投縣,草屯鎮,1,88,0.29
5427,2022-12-13,南投縣,草屯鎮,1,87,0.29
5649,2022-12-07,南投縣,草屯鎮,1,86,0.29
5685,2022-12-06,南投縣,草屯鎮,1,85,0.14
6019,2022-11-27,南投縣,草屯鎮,1,84,0.43
6099,2022-11-25,南投縣,草屯鎮,1,83,0.43
6155,2022-11-24,南投縣,草屯鎮,1,82,0.29
6394,2022-11-19,南投縣,草屯鎮,1,81,0.57
6491,2022-11-17,南投縣,草屯鎮,1,80,0.57
6536,2022-11-16,南投縣,草屯鎮,2,79,0.43
6811,2022-11-11,南投縣,草屯鎮,1,77,0.57
6935,2022-11-09,南投縣,草屯鎮,1,76,0.57
7109,2022-11-06,南投縣,草屯鎮,1,75,0.43
7165,2022-11-05,南投縣,草屯鎮,1,74,0.43
7283,2022-11-03,南投縣,草屯鎮,1,73,0.29
7531,2022-10-30,南投縣,草屯鎮,1,72,0.57
7878,2022-10-25,南投縣,草屯鎮,2,71,1.00
7950,2022-10-24,南投縣,草屯鎮,1,69,0.71
8020,2022-10-23,南投縣,草屯鎮,1,68,0.57
8095,2022-10-22,南投縣,草屯鎮,1,67,0.57
8157,2022-10-21,南投縣,草屯鎮,1,66,0.43
8242,2022-10-20,南投縣,草屯鎮,1,65,0.43
8517,2022-10-16,南投縣,草屯鎮,1,64,0.43
8659,2022-10-14,南投縣,草屯鎮,1,63,0.29
8937,2022-10-10,南投縣,草屯鎮,1,62,0.14
9407,2022-10-03,南投縣,草屯鎮,1,61,0.71
9541,2022-10-01,南投縣,草屯鎮,1,60,0.71
9592,2022-09-30,南投縣,草屯鎮,2,59,0.57
9781,2022-09-27,南投縣,草屯鎮,1,57,0.29
9836,2022-09-26,南投縣,草屯鎮,1,56,0.14
10397,2022-09-16,南投縣,草屯鎮,2,55,0.29
10975,2022-09-04,南投縣,草屯鎮,1,53,0.14
11746,2022-08-15,南投縣,草屯鎮,1,52,0.57
11785,2022-08-14,南投縣,草屯鎮,1,51,0.57
11822,2022-08-13,南投縣,草屯鎮,1,50,0.43
11896,2022-08-11,南投縣,草屯鎮,1,49,0.43
12019,2022-08-08,南投縣,草屯鎮,1,48,0.43
12104,2022-08-06,南投縣,草屯鎮,1,47,0.29
12230,2022-08-03,南投縣,草屯鎮,1,46,0.29
12537,2022-07-28,南投縣,草屯鎮,1,45,0.43
12595,2022-07-27,南投縣,草屯鎮,1,44,0.29
12764,2022-07-24,南投縣,草屯鎮,1,43,0.14
13181,2022-07-17,南投縣,草屯鎮,1,42,0.57
13318,2022-07-15,南投縣,草屯鎮,1,41,0.43
13388,2022-07-14,南投縣,草屯鎮,1,40,0.29
13456,2022-07-13,南投縣,草屯鎮,1,39,0.14
13976,2022-07-06,南投縣,草屯鎮,1,38,0.71
14156,2022-07-04,南投縣,草屯鎮,1,37,1.00
14325,2022-07-02,南投縣,草屯鎮,1,36,1.00
14424,2022-07-01,南投縣,草屯鎮,1,35,1.00
14513,2022-06-30,南投縣,草屯鎮,1,34,1.14
14617,2022-06-29,南投縣,草屯鎮,1,33,1.00
14714,2022-06-28,南投縣,草屯鎮,2,32,1.00
14815,2022-06-27,南投縣,草屯鎮,1,30,0.86
15010,2022-06-25,南投縣,草屯鎮,1,29,0.86
15102,2022-06-24,南投縣,草屯鎮,2,28,0.86
15324,2022-06-22,南投縣,草屯鎮,1,26,0.86
15439,2022-06-21,南投縣,草屯鎮,1,25,0.86
15661,2022-06-19,南投縣,草屯鎮,1,24,1.00
15776,2022-06-18,南投縣,草屯鎮,1,23,1.00
15914,2022-06-17,南投縣,草屯鎮,2,22,1.14
16164,2022-06-15,南投縣,草屯鎮,1,20,1.43
16296,2022-06-14,南投縣,草屯鎮,1,19,1.43
16422,2022-06-13,南投縣,草屯鎮,1,18,1.29
16539,2022-06-12,南投縣,草屯鎮,1,17,1.14
16667,2022-06-11,南投縣,草屯鎮,2,16,1.14
16791,2022-06-10,南投縣,草屯鎮,1,14,1.00
16902,2022-06-09,南投縣,草屯鎮,3,13,1.14
17028,2022-06-08,南投縣,草屯鎮,1,10,0.71
17395,2022-06-05,南投縣,草屯鎮,1,9,0.86
17515,2022-06-04,南投縣,草屯鎮,1,8,0.71
17650,2022-06-03,南投縣,草屯鎮,2,7,0.57
17877,2022-06-01,南投縣,草屯鎮,1,5,0.43
18133,2022-05-30,南投縣,草屯鎮,1,4,0.43
18454,2022-05-27,南投縣,草屯鎮,1,3,0.43
18650,2022-05-25,南投縣,草屯鎮,1,2,0.29
18837,2022-05-23,南投縣,草屯鎮,1,1,0.14
