UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
7219,2023-03-19,南投縣,集集鎮,35-39,184
7220,2023-03-19,南投縣,集集鎮,70+,314
7221,2023-03-18,南投縣,集集鎮,40-44,183
7222,2023-03-18,南投縣,集集鎮,60-64,178
7223,2023-03-17,南投縣,集集鎮,20-24,195
7224,2023-03-16,南投縣,集集鎮,15-19,161
7225,2023-03-16,南投縣,集集鎮,30-34,201
7226,2023-03-15,南投縣,集集鎮,5-9,134
7227,2023-03-14,南投縣,集集鎮,45-49,173
7228,2023-03-14,南投縣,集集鎮,1,23
7229,2023-03-13,南投縣,集集鎮,55-59,171
7230,2023-03-12,南投縣,集集鎮,50-54,192
7231,2023-03-07,南投縣,集集鎮,25-29,215
7232,2023-03-01,南投縣,集集鎮,65-69,123
7233,2023-02-22,南投縣,集集鎮,4,22
7234,2023-02-19,南投縣,集集鎮,10-14,151
7235,2023-02-13,南投縣,集集鎮,3,21
7236,2023-02-04,南投縣,集集鎮,2,32
7237,2022-12-08,南投縣,集集鎮,0,22
