UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1158,2023-03-19,南投縣,集集鎮,2,2695,2.71
1490,2023-03-18,南投縣,集集鎮,2,2693,2.71
1843,2023-03-17,南投縣,集集鎮,1,2691,2.57
2190,2023-03-16,南投縣,集集鎮,3,2690,2.57
2543,2023-03-15,南投縣,集集鎮,2,2687,2.57
2898,2023-03-14,南投縣,集集鎮,6,2685,2.29
3256,2023-03-13,南投縣,集集鎮,3,2679,2.00
3606,2023-03-12,南投縣,集集鎮,2,2676,2.71
3960,2023-03-11,南投縣,集集鎮,1,2674,2.57
4311,2023-03-10,南投縣,集集鎮,1,2673,2.86
4667,2023-03-09,南投縣,集集鎮,3,2672,2.71
5379,2023-03-07,南投縣,集集鎮,4,2669,3.00
5743,2023-03-06,南投縣,集集鎮,8,2665,2.71
6094,2023-03-05,南投縣,集集鎮,1,2657,2.29
6440,2023-03-04,南投縣,集集鎮,3,2656,2.14
7158,2023-03-02,南投縣,集集鎮,3,2653,2.43
7524,2023-03-01,南投縣,集集鎮,2,2650,2.29
7893,2023-02-28,南投縣,集集鎮,2,2648,2.14
8255,2023-02-27,南投縣,集集鎮,5,2646,2.29
8965,2023-02-25,南投縣,集集鎮,2,2641,3.00
9328,2023-02-24,南投縣,集集鎮,3,2639,4.00
9694,2023-02-23,南投縣,集集鎮,2,2636,4.00
10068,2023-02-22,南投縣,集集鎮,1,2634,4.57
10440,2023-02-21,南投縣,集集鎮,3,2633,5.00
10813,2023-02-20,南投縣,集集鎮,9,2630,5.86
11176,2023-02-19,南投縣,集集鎮,1,2621,5.43
11544,2023-02-18,南投縣,集集鎮,9,2620,5.43
11916,2023-02-17,南投縣,集集鎮,3,2611,4.43
12288,2023-02-16,南投縣,集集鎮,6,2608,4.43
12662,2023-02-15,南投縣,集集鎮,4,2602,4.71
13037,2023-02-14,南投縣,集集鎮,9,2598,5.71
13411,2023-02-13,南投縣,集集鎮,6,2589,6.00
13779,2023-02-12,南投縣,集集鎮,1,2583,6.71
14147,2023-02-11,南投縣,集集鎮,2,2582,6.86
14514,2023-02-10,南投縣,集集鎮,3,2580,7.71
14888,2023-02-09,南投縣,集集鎮,8,2577,8.57
15267,2023-02-08,南投縣,集集鎮,11,2569,8.14
15648,2023-02-07,南投縣,集集鎮,11,2558,8.14
16028,2023-02-06,南投縣,集集鎮,11,2547,7.43
16401,2023-02-05,南投縣,集集鎮,2,2536,7.57
16777,2023-02-04,南投縣,集集鎮,8,2534,7.57
17157,2023-02-03,南投縣,集集鎮,9,2526,7.86
17544,2023-02-02,南投縣,集集鎮,5,2517,7.71
17923,2023-02-01,南投縣,集集鎮,11,2512,8.14
18306,2023-01-31,南投縣,集集鎮,6,2501,7.00
18691,2023-01-30,南投縣,集集鎮,12,2495,6.71
19075,2023-01-29,南投縣,集集鎮,2,2483,5.29
19453,2023-01-28,南投縣,集集鎮,10,2481,5.29
19830,2023-01-27,南投縣,集集鎮,8,2471,4.86
20207,2023-01-26,南投縣,集集鎮,8,2463,4.86
20579,2023-01-25,南投縣,集集鎮,3,2455,4.57
20949,2023-01-24,南投縣,集集鎮,4,2452,4.71
21316,2023-01-23,南投縣,集集鎮,2,2448,5.14
21686,2023-01-22,南投縣,集集鎮,2,2446,6.57
22055,2023-01-21,南投縣,集集鎮,7,2444,6.71
22423,2023-01-20,南投縣,集集鎮,8,2437,6.86
22790,2023-01-19,南投縣,集集鎮,6,2429,6.14
23162,2023-01-18,南投縣,集集鎮,4,2423,6.43
23528,2023-01-17,南投縣,集集鎮,7,2419,6.14
23900,2023-01-16,南投縣,集集鎮,12,2412,6.29
24272,2023-01-15,南投縣,集集鎮,3,2400,5.86
24638,2023-01-14,南投縣,集集鎮,8,2397,6.29
25007,2023-01-13,南投縣,集集鎮,3,2389,6.43
25380,2023-01-12,南投縣,集集鎮,8,2386,7.14
25753,2023-01-11,南投縣,集集鎮,2,2378,7.57
26128,2023-01-10,南投縣,集集鎮,8,2376,8.29
26504,2023-01-09,南投縣,集集鎮,9,2368,9.00
26871,2023-01-08,南投縣,集集鎮,6,2359,8.43
27235,2023-01-07,南投縣,集集鎮,9,2353,8.14
27607,2023-01-06,南投縣,集集鎮,8,2344,7.14
27988,2023-01-05,南投縣,集集鎮,11,2336,7.29
28368,2023-01-04,南投縣,集集鎮,7,2325,6.29
28750,2023-01-03,南投縣,集集鎮,13,2318,6.57
29126,2023-01-02,南投縣,集集鎮,5,2305,5.43
29493,2023-01-01,南投縣,集集鎮,4,2300,6.00
29858,2022-12-31,南投縣,集集鎮,2,2296,5.86
30224,2022-12-30,南投縣,集集鎮,9,2294,6.29
30597,2022-12-29,南投縣,集集鎮,4,2285,6.14
30970,2022-12-28,南投縣,集集鎮,9,2281,6.71
31344,2022-12-27,南投縣,集集鎮,5,2272,5.71
31717,2022-12-26,南投縣,集集鎮,9,2267,5.29
32078,2022-12-25,南投縣,集集鎮,3,2258,4.86
32439,2022-12-24,南投縣,集集鎮,5,2255,4.57
32798,2022-12-23,南投縣,集集鎮,8,2250,4.43
