UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
7238,2023-03-18,南投縣,鹿谷鄉,55-59,263
7239,2023-03-18,南投縣,鹿谷鄉,45-49,180
7240,2023-03-18,南投縣,鹿谷鄉,25-29,246
7241,2023-03-17,南投縣,鹿谷鄉,70+,572
7242,2023-03-16,南投縣,鹿谷鄉,5-9,176
7243,2023-03-15,南投縣,鹿谷鄉,20-24,191
7244,2023-03-15,南投縣,鹿谷鄉,50-54,208
7245,2023-03-13,南投縣,鹿谷鄉,30-34,244
7246,2023-03-13,南投縣,鹿谷鄉,15-19,210
7247,2023-03-13,南投縣,鹿谷鄉,65-69,248
7248,2023-03-13,南投縣,鹿谷鄉,40-44,241
7249,2023-03-13,南投縣,鹿谷鄉,10-14,184
7250,2023-03-12,南投縣,鹿谷鄉,35-39,250
7251,2023-03-10,南投縣,鹿谷鄉,60-64,256
7252,2023-03-09,南投縣,鹿谷鄉,3,36
7253,2023-03-08,南投縣,鹿谷鄉,1,32
7254,2023-03-02,南投縣,鹿谷鄉,0,26
7255,2023-02-07,南投縣,鹿谷鄉,2,45
7256,2022-12-25,南投縣,鹿谷鄉,4,40
