UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
6762,2022-11-12,南投縣,鹿谷鄉,1,15,0.14
8589,2022-10-15,南投縣,鹿谷鄉,1,14,0.14
11234,2022-08-29,南投縣,鹿谷鄉,1,13,0.29
11389,2022-08-25,南投縣,鹿谷鄉,1,12,0.14
13898,2022-07-07,南投縣,鹿谷鄉,1,11,0.57
14172,2022-07-04,南投縣,鹿谷鄉,1,10,0.43
14342,2022-07-02,南投縣,鹿谷鄉,1,9,0.29
14438,2022-07-01,南投縣,鹿谷鄉,1,8,0.14
15453,2022-06-21,南投縣,鹿谷鄉,1,7,0.29
15676,2022-06-19,南投縣,鹿谷鄉,1,6,0.43
16309,2022-06-14,南投縣,鹿谷鄉,1,5,0.57
16437,2022-06-13,南投縣,鹿谷鄉,1,4,0.43
16921,2022-06-09,南投縣,鹿谷鄉,1,3,0.29
17045,2022-06-08,南投縣,鹿谷鄉,1,2,0.14
18149,2022-05-30,南投縣,鹿谷鄉,1,1,0.14
