UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1503,2023-03-18,南投縣,鹿谷鄉,4,3648,3.86
1857,2023-03-17,南投縣,鹿谷鄉,2,3644,4.00
2204,2023-03-16,南投縣,鹿谷鄉,3,3642,4.43
2556,2023-03-15,南投縣,鹿谷鄉,8,3639,4.71
2913,2023-03-14,南投縣,鹿谷鄉,1,3631,4.00
3271,2023-03-13,南投縣,鹿谷鄉,7,3630,4.14
3618,2023-03-12,南投縣,鹿谷鄉,2,3623,3.57
3974,2023-03-11,南投縣,鹿谷鄉,5,3621,3.29
4327,2023-03-10,南投縣,鹿谷鄉,5,3616,2.86
4680,2023-03-09,南投縣,鹿谷鄉,5,3611,2.43
5038,2023-03-08,南投縣,鹿谷鄉,3,3606,2.29
5394,2023-03-07,南投縣,鹿谷鄉,2,3603,2.57
5759,2023-03-06,南投縣,鹿谷鄉,3,3601,2.43
6455,2023-03-04,南投縣,鹿谷鄉,2,3598,2.57
6808,2023-03-03,南投縣,鹿谷鄉,2,3596,3.00
7173,2023-03-02,南投縣,鹿谷鄉,4,3594,3.14
7539,2023-03-01,南投縣,鹿谷鄉,5,3590,3.14
7908,2023-02-28,南投縣,鹿谷鄉,1,3585,3.43
8268,2023-02-27,南投縣,鹿谷鄉,2,3584,4.14
8615,2023-02-26,南投縣,鹿谷鄉,2,3582,4.29
8980,2023-02-25,南投縣,鹿谷鄉,5,3580,4.14
9343,2023-02-24,南投縣,鹿谷鄉,3,3575,3.71
9710,2023-02-23,南投縣,鹿谷鄉,4,3572,3.71
10084,2023-02-22,南投縣,鹿谷鄉,7,3568,3.43
10455,2023-02-21,南投縣,鹿谷鄉,6,3561,2.71
10829,2023-02-20,南投縣,鹿谷鄉,3,3555,2.43
11190,2023-02-19,南投縣,鹿谷鄉,1,3552,3.00
11559,2023-02-18,南投縣,鹿谷鄉,2,3551,3.29
11931,2023-02-17,南投縣,鹿谷鄉,3,3549,3.86
12304,2023-02-16,南投縣,鹿谷鄉,2,3546,4.14
12677,2023-02-15,南投縣,鹿谷鄉,2,3544,4.43
13052,2023-02-14,南投縣,鹿谷鄉,4,3542,5.43
13427,2023-02-13,南投縣,鹿谷鄉,7,3538,7.14
13794,2023-02-12,南投縣,鹿谷鄉,3,3531,7.29
14162,2023-02-11,南投縣,鹿谷鄉,6,3528,7.14
14530,2023-02-10,南投縣,鹿谷鄉,5,3522,7.29
14904,2023-02-09,南投縣,鹿谷鄉,4,3517,7.43
15283,2023-02-08,南投縣,鹿谷鄉,9,3513,7.86
15664,2023-02-07,南投縣,鹿谷鄉,16,3504,8.29
16043,2023-02-06,南投縣,鹿谷鄉,8,3488,7.29
16416,2023-02-05,南投縣,鹿谷鄉,2,3480,7.00
16793,2023-02-04,南投縣,鹿谷鄉,7,3478,7.71
17173,2023-02-03,南投縣,鹿谷鄉,6,3471,8.00
17560,2023-02-02,南投縣,鹿谷鄉,7,3465,7.57
17939,2023-02-01,南投縣,鹿谷鄉,12,3458,8.14
18322,2023-01-31,南投縣,鹿谷鄉,9,3446,7.86
18707,2023-01-30,南投縣,鹿谷鄉,6,3437,7.14
19091,2023-01-29,南投縣,鹿谷鄉,7,3431,7.29
19469,2023-01-28,南投縣,鹿谷鄉,9,3424,7.29
19846,2023-01-27,南投縣,鹿谷鄉,3,3415,6.43
20222,2023-01-26,南投縣,鹿谷鄉,11,3412,6.86
20595,2023-01-25,南投縣,鹿谷鄉,10,3401,5.57
20964,2023-01-24,南投縣,鹿谷鄉,4,3391,4.71
21332,2023-01-23,南投縣,鹿谷鄉,7,3387,4.43
21701,2023-01-22,南投縣,鹿谷鄉,7,3380,3.86
22070,2023-01-21,南投縣,鹿谷鄉,3,3373,3.14
22438,2023-01-20,南投縣,鹿谷鄉,6,3370,3.29
22805,2023-01-19,南投縣,鹿谷鄉,2,3364,2.86
23178,2023-01-18,南投縣,鹿谷鄉,4,3362,3.43
23543,2023-01-17,南投縣,鹿谷鄉,2,3358,4.00
23916,2023-01-16,南投縣,鹿谷鄉,3,3356,4.29
24288,2023-01-15,南投縣,鹿谷鄉,2,3353,4.43
24654,2023-01-14,南投縣,鹿谷鄉,4,3351,4.86
25022,2023-01-13,南投縣,鹿谷鄉,3,3347,5.14
25396,2023-01-12,南投縣,鹿谷鄉,6,3344,6.14
25769,2023-01-11,南投縣,鹿谷鄉,8,3338,6.00
26144,2023-01-10,南投縣,鹿谷鄉,4,3330,6.71
26520,2023-01-09,南投縣,鹿谷鄉,4,3326,7.43
26886,2023-01-08,南投縣,鹿谷鄉,5,3322,8.43
27251,2023-01-07,南投縣,鹿谷鄉,6,3317,8.29
27623,2023-01-06,南投縣,鹿谷鄉,10,3311,8.86
28004,2023-01-05,南投縣,鹿谷鄉,5,3301,8.43
28384,2023-01-04,南投縣,鹿谷鄉,13,3296,9.29
28766,2023-01-03,南投縣,鹿谷鄉,9,3283,8.14
29141,2023-01-02,南投縣,鹿谷鄉,11,3274,7.29
29507,2023-01-01,南投縣,鹿谷鄉,4,3263,7.00
29874,2022-12-31,南投縣,鹿谷鄉,10,3259,6.71
30240,2022-12-30,南投縣,鹿谷鄉,7,3249,6.29
30613,2022-12-29,南投縣,鹿谷鄉,11,3242,6.29
30985,2022-12-28,南投縣,鹿谷鄉,5,3231,5.00
31359,2022-12-27,南投縣,鹿谷鄉,3,3226,5.14
31733,2022-12-26,南投縣,鹿谷鄉,9,3223,5.43
32091,2022-12-25,南投縣,鹿谷鄉,2,3214,5.00
32451,2022-12-24,南投縣,鹿谷鄉,7,3212,5.29
32812,2022-12-23,南投縣,鹿谷鄉,7,3205,4.57
33179,2022-12-22,南投縣,鹿谷鄉,2,3198,4.00
33549,2022-12-21,南投縣,鹿谷鄉,6,3196,4.43
33914,2022-12-20,南投縣,鹿谷鄉,5,3190,4.57
34282,2022-12-19,南投縣,鹿谷鄉,6,3185,4.57
34635,2022-12-18,南投縣,鹿谷鄉,4,3179,5.29
34997,2022-12-17,南投縣,鹿谷鄉,2,3175,5.14
35360,2022-12-16,南投縣,鹿谷鄉,3,3173,6.29
35725,2022-12-15,南投縣,鹿谷鄉,5,3170,6.57
36086,2022-12-14,南投縣,鹿谷鄉,7,3165,7.00
36456,2022-12-13,南投縣,鹿谷鄉,5,3158,6.71
36834,2022-12-12,南投縣,鹿谷鄉,11,3153,6.71
37185,2022-12-11,南投縣,鹿谷鄉,3,3142,5.86
37552,2022-12-10,南投縣,鹿谷鄉,10,3139,6.57
37919,2022-12-09,南投縣,鹿谷鄉,5,3129,5.71
38289,2022-12-08,南投縣,鹿谷鄉,8,3124,6.14
38663,2022-12-07,南投縣,鹿谷鄉,5,3116,6.57
39029,2022-12-06,南投縣,鹿谷鄉,5,3111,7.00
39406,2022-12-05,南投縣,鹿谷鄉,5,3106,7.00
39779,2022-12-04,南投縣,鹿谷鄉,8,3101,8.00
40147,2022-12-03,南投縣,鹿谷鄉,4,3093,7.57
40515,2022-12-02,南投縣,鹿谷鄉,8,3089,7.57
40882,2022-12-01,南投縣,鹿谷鄉,11,3081,7.00
41256,2022-11-30,南投縣,鹿谷鄉,8,3070,6.43
41631,2022-11-29,南投縣,鹿谷鄉,5,3062,6.29
42010,2022-11-28,南投縣,鹿谷鄉,12,3057,6.71
42380,2022-11-27,南投縣,鹿谷鄉,5,3045,5.86
42733,2022-11-26,南投縣,鹿谷鄉,4,3040,5.43
43102,2022-11-25,南投縣,鹿谷鄉,4,3036,6.00
43472,2022-11-24,南投縣,鹿谷鄉,7,3032,6.57
43840,2022-11-23,南投縣,鹿谷鄉,7,3025,7.43
44215,2022-11-22,南投縣,鹿谷鄉,8,3018,7.43
44593,2022-11-21,南投縣,鹿谷鄉,6,3010,7.14
44965,2022-11-20,南投縣,鹿谷鄉,2,3004,7.14
45334,2022-11-19,南投縣,鹿谷鄉,8,3002,7.43
45705,2022-11-18,南投縣,鹿谷鄉,8,2994,6.86
46077,2022-11-17,南投縣,鹿谷鄉,13,2986,7.00
46455,2022-11-16,南投縣,鹿谷鄉,7,2973,6.14
46836,2022-11-15,南投縣,鹿谷鄉,6,2966,6.00
47216,2022-11-14,南投縣,鹿谷鄉,6,2960,6.00
47591,2022-11-13,南投縣,鹿谷鄉,4,2954,7.57
47964,2022-11-12,南投縣,鹿谷鄉,4,2950,7.71
48344,2022-11-11,南投縣,鹿谷鄉,9,2946,8.14
48725,2022-11-10,南投縣,鹿谷鄉,7,2937,7.86
49108,2022-11-09,南投縣,鹿谷鄉,6,2930,8.14
49494,2022-11-08,南投縣,鹿谷鄉,6,2924,9.14
49878,2022-11-07,南投縣,鹿谷鄉,17,2918,9.71
50251,2022-11-06,南投縣,鹿谷鄉,5,2901,9.29
50625,2022-11-05,南投縣,鹿谷鄉,7,2896,10.00
51008,2022-11-04,南投縣,鹿谷鄉,7,2889,9.86
51392,2022-11-03,南投縣,鹿谷鄉,9,2882,10.14
51773,2022-11-02,南投縣,鹿谷鄉,13,2873,10.86
52161,2022-11-01,南投縣,鹿谷鄉,10,2860,11.14
52542,2022-10-31,南投縣,鹿谷鄉,14,2850,11.29
52924,2022-10-30,南投縣,鹿谷鄉,10,2836,10.71
53303,2022-10-29,南投縣,鹿谷鄉,6,2826,10.57
53687,2022-10-28,南投縣,鹿谷鄉,9,2820,11.57
54073,2022-10-27,南投縣,鹿谷鄉,14,2811,11.43
54457,2022-10-26,南投縣,鹿谷鄉,15,2797,11.57
54845,2022-10-25,南投縣,鹿谷鄉,11,2782,11.29
55235,2022-10-24,南投縣,鹿谷鄉,10,2771,12.57
55617,2022-10-23,南投縣,鹿谷鄉,9,2761,14.71
56000,2022-10-22,南投縣,鹿谷鄉,13,2752,15.00
56388,2022-10-21,南投縣,鹿谷鄉,8,2739,14.43
56774,2022-10-20,南投縣,鹿谷鄉,15,2731,15.00
57161,2022-10-19,南投縣,鹿谷鄉,13,2716,14.29
