UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4637,2023-03-22,台中市,中區,45-49,373
4638,2023-03-22,台中市,中區,60-64,276
4639,2023-03-20,台中市,中區,20-24,827
4640,2023-03-19,台中市,中區,25-29,979
4641,2023-03-19,台中市,中區,70+,555
4642,2023-03-19,台中市,中區,65-69,261
4643,2023-03-18,台中市,中區,35-39,528
4644,2023-03-17,台中市,中區,10-14,180
4645,2023-03-17,台中市,中區,3,36
4646,2023-03-17,台中市,中區,40-44,485
4647,2023-03-17,台中市,中區,55-59,258
4648,2023-03-16,台中市,中區,5-9,213
4649,2023-03-15,台中市,中區,30-34,699
4650,2023-03-14,台中市,中區,50-54,279
4651,2023-03-01,台中市,中區,15-19,290
4652,2023-02-18,台中市,中區,4,29
4653,2023-02-15,台中市,中區,0,24
4654,2023-01-12,台中市,中區,2,27
4655,2023-01-04,台中市,中區,1,37
