UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
5,2023-05-30,台中市,全區,1,1936,0.14
31,2023-05-13,台中市,全區,1,1935,0.29
34,2023-05-11,台中市,全區,1,1934,0.29
44,2023-05-05,台中市,全區,1,1933,0.14
90,2023-04-12,台中市,全區,1,1932,0.43
107,2023-04-10,台中市,全區,1,1931,0.43
142,2023-04-06,台中市,全區,1,1930,1.00
153,2023-04-05,台中市,全區,1,1929,0.86
180,2023-04-03,台中市,全區,1,1928,1.00
190,2023-04-02,台中市,全區,1,1927,0.86
202,2023-04-01,台中市,全區,2,1926,0.71
221,2023-03-31,台中市,全區,1,1924,0.86
245,2023-03-29,台中市,全區,2,1923,1.00
317,2023-03-25,台中市,全區,3,1921,2.71
339,2023-03-24,台中市,全區,2,1918,2.57
398,2023-03-22,台中市,全區,3,1916,3.86
422,2023-03-21,台中市,全區,4,1913,4.14
455,2023-03-20,台中市,全區,2,1909,4.00
495,2023-03-19,台中市,全區,5,1907,4.43
531,2023-03-18,台中市,全區,2,1902,4.00
577,2023-03-17,台中市,全區,3,1900,4.43
616,2023-03-16,台中市,全區,8,1897,4.71
660,2023-03-15,台中市,全區,5,1889,4.14
698,2023-03-14,台中市,全區,3,1884,4.14
742,2023-03-13,台中市,全區,5,1881,4.14
780,2023-03-12,台中市,全區,2,1876,4.29
830,2023-03-11,台中市,全區,5,1874,4.57
871,2023-03-10,台中市,全區,5,1869,4.43
921,2023-03-09,台中市,全區,4,1864,4.29
972,2023-03-08,台中市,全區,5,1860,4.14
1024,2023-03-07,台中市,全區,3,1855,4.43
1061,2023-03-06,台中市,全區,6,1852,5.14
1112,2023-03-05,台中市,全區,4,1846,5.14
1166,2023-03-04,台中市,全區,4,1842,5.43
1226,2023-03-03,台中市,全區,4,1838,5.86
1280,2023-03-02,台中市,全區,3,1834,5.86
1330,2023-03-01,台中市,全區,7,1831,6.00
1385,2023-02-28,台中市,全區,8,1824,5.57
