UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
81,2023-06-14,台中市,北區,2,68729,0.29
471,2023-03-21,台中市,北區,2,68727,47.29
609,2023-03-20,台中市,北區,16,68725,58.00
893,2023-03-19,台中市,北區,45,68709,67.00
1221,2023-03-18,台中市,北區,60,68664,67.43
1561,2023-03-17,台中市,北區,69,68604,67.00
1913,2023-03-16,台中市,北區,58,68535,65.29
2266,2023-03-15,台中市,北區,81,68477,64.43
2617,2023-03-14,台中市,北區,77,68396,62.29
2974,2023-03-13,台中市,北區,79,68319,59.71
3333,2023-03-12,台中市,北區,48,68240,60.43
3678,2023-03-11,台中市,北區,57,68192,59.71
4031,2023-03-10,台中市,北區,57,68135,61.00
4386,2023-03-09,台中市,北區,52,68078,63.71
4745,2023-03-08,台中市,北區,66,68026,68.71
5099,2023-03-07,台中市,北區,59,67960,73.57
5458,2023-03-06,台中市,北區,84,67901,77.86
5823,2023-03-05,台中市,北區,43,67817,77.57
6162,2023-03-04,台中市,北區,66,67774,79.43
6514,2023-03-03,台中市,北區,76,67708,82.71
6873,2023-03-02,台中市,北區,87,67632,85.29
7237,2023-03-01,台中市,北區,100,67545,88.71
7608,2023-02-28,台中市,北區,89,67445,88.86
7971,2023-02-27,台中市,北區,82,67356,91.86
8330,2023-02-26,台中市,北區,56,67274,100.29
8675,2023-02-25,台中市,北區,89,67218,101.29
9045,2023-02-24,台中市,北區,94,67129,101.86
9406,2023-02-23,台中市,北區,111,67035,102.71
9776,2023-02-22,台中市,北區,101,66924,100.71
10151,2023-02-21,台中市,北區,110,66823,103.57
10520,2023-02-20,台中市,北區,141,66713,109.43
10900,2023-02-19,台中市,北區,63,66572,110.86
11258,2023-02-18,台中市,北區,93,66509,114.14
11625,2023-02-17,台中市,北區,100,66416,116.29
11997,2023-02-16,台中市,北區,97,66316,119.86
12372,2023-02-15,台中市,北區,121,66219,125.71
12745,2023-02-14,台中市,北區,151,66098,127.29
13117,2023-02-13,台中市,北區,151,65947,127.86
13496,2023-02-12,台中市,北區,86,65796,130.43
13853,2023-02-11,台中市,北區,108,65710,132.86
