UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
399,2023-03-22,台中市,北屯區,1,171,0.57
496,2023-03-19,台中市,北屯區,1,170,0.57
532,2023-03-18,台中市,北屯區,1,169,0.43
617,2023-03-16,台中市,北屯區,1,168,0.43
661,2023-03-15,台中市,北屯區,1,167,0.57
831,2023-03-11,台中市,北屯區,1,166,0.86
922,2023-03-09,台中市,北屯區,2,165,0.86
1025,2023-03-07,台中市,北屯區,1,163,0.57
1062,2023-03-06,台中市,北屯區,1,162,0.43
1113,2023-03-05,台中市,北屯區,1,161,0.57
1167,2023-03-04,台中市,北屯區,1,160,0.43
1438,2023-02-27,台中市,北屯區,2,159,0.43
1738,2023-02-22,台中市,北屯區,1,157,0.43
1907,2023-02-19,台中市,北屯區,1,156,0.57
2018,2023-02-17,台中市,北屯區,1,155,0.71
2137,2023-02-15,台中市,北屯區,2,154,0.57
2333,2023-02-12,台中市,北屯區,1,152,0.43
2390,2023-02-11,台中市,北屯區,1,151,0.43
2675,2023-02-07,台中市,北屯區,1,150,0.57
2797,2023-02-05,台中市,北屯區,1,149,0.43
2857,2023-02-04,台中市,北屯區,1,148,0.57
3047,2023-02-01,台中市,北屯區,1,147,0.57
3223,2023-01-29,台中市,北屯區,2,146,0.71
3284,2023-01-28,台中市,北屯區,1,144,0.43
3493,2023-01-24,台中市,北屯區,1,143,0.43
3543,2023-01-23,台中市,北屯區,1,142,0.29
3688,2023-01-20,台中市,北屯區,1,141,0.57
3878,2023-01-16,台中市,北屯區,1,140,0.57
3927,2023-01-15,台中市,北屯區,1,139,0.71
3990,2023-01-14,台中市,北屯區,1,138,0.57
4048,2023-01-13,台中市,北屯區,1,137,0.43
4238,2023-01-09,台中市,北屯區,2,136,1.00
4432,2023-01-05,台中市,北屯區,1,134,1.00
4472,2023-01-04,台中市,北屯區,2,133,1.00
4530,2023-01-03,台中市,北屯區,2,131,0.71
4648,2023-01-01,台中市,北屯區,1,129,0.57
4697,2022-12-31,台中市,北屯區,1,128,0.43
4791,2022-12-29,台中市,北屯區,1,127,0.29
4867,2022-12-27,台中市,北屯區,1,126,0.14
5176,2022-12-19,台中市,北屯區,1,125,0.43
5363,2022-12-14,台中市,北屯區,1,124,0.43
5407,2022-12-13,台中市,北屯區,1,123,0.29
5465,2022-12-11,台中市,北屯區,1,122,0.29
5671,2022-12-06,台中市,北屯區,1,121,0.43
5736,2022-12-04,台中市,北屯區,1,120,0.43
5854,2022-12-01,台中市,北屯區,1,119,0.57
5928,2022-11-29,台中市,北屯區,1,118,0.43
6082,2022-11-25,台中市,北屯區,2,117,0.43
6315,2022-11-20,台中市,北屯區,1,115,0.43
6520,2022-11-16,台中市,北屯區,1,114,0.43
6557,2022-11-15,台中市,北屯區,1,113,0.43
6783,2022-11-11,台中市,北屯區,1,112,0.57
6909,2022-11-09,台中市,北屯區,1,111,0.57
6964,2022-11-08,台中市,北屯區,1,110,0.43
7140,2022-11-05,台中市,北屯區,1,109,0.43
7256,2022-11-03,台中市,北屯區,1,108,0.43
7505,2022-10-30,台中市,北屯區,1,107,0.43
7631,2022-10-28,台中市,北屯區,1,106,0.43
7697,2022-10-27,台中市,北屯區,1,105,0.57
8058,2022-10-22,台中市,北屯區,1,104,0.86
8122,2022-10-21,台中市,北屯區,2,103,0.86
8203,2022-10-20,台中市,北屯區,1,101,0.71
8278,2022-10-19,台中市,北屯區,1,100,0.71
8414,2022-10-17,台中市,北屯區,1,99,0.71
8554,2022-10-15,台中市,北屯區,1,98,0.71
8617,2022-10-14,台中市,北屯區,1,97,0.71
8694,2022-10-13,台中市,北屯區,1,96,0.57
8761,2022-10-12,台中市,北屯區,1,95,0.43
8901,2022-10-10,台中市,北屯區,1,94,0.57
9034,2022-10-08,台中市,北屯區,1,93,0.43
9302,2022-10-04,台中市,北屯區,2,92,1.00
9506,2022-10-01,台中市,北屯區,1,90,0.71
9567,2022-09-30,台中市,北屯區,1,89,0.57
9628,2022-09-29,台中市,北屯區,1,88,0.57
9693,2022-09-28,台中市,北屯區,2,87,0.57
9974,2022-09-23,台中市,北屯區,1,85,0.86
10038,2022-09-22,台中市,北屯區,1,84,0.71
10160,2022-09-20,台中市,北屯區,2,83,0.71
10201,2022-09-19,台中市,北屯區,1,81,0.43
10298,2022-09-17,台中市,北屯區,1,80,0.29
10422,2022-09-15,台中市,北屯區,1,79,0.14
11114,2022-08-31,台中市,北屯區,1,78,0.29
11362,2022-08-25,台中市,北屯區,1,77,0.57
11436,2022-08-23,台中市,北屯區,2,76,0.43
11586,2022-08-19,台中市,北屯區,1,74,0.14
11914,2022-08-10,台中市,北屯區,1,73,0.29
11994,2022-08-08,台中市,北屯區,1,72,0.14
12303,2022-08-01,台中市,北屯區,1,71,0.71
12354,2022-07-31,台中市,北屯區,1,70,0.71
12452,2022-07-29,台中市,北屯區,1,69,0.86
12510,2022-07-28,台中市,北屯區,1,68,0.71
12616,2022-07-26,台中市,北屯區,1,67,0.71
12683,2022-07-25,台中市,北屯區,1,66,0.57
12736,2022-07-24,台中市,北屯區,1,65,0.43
12791,2022-07-23,台中市,北屯區,1,64,0.57
12901,2022-07-21,台中市,北屯區,1,63,0.57
13145,2022-07-17,台中市,北屯區,2,62,0.71
13212,2022-07-16,台中市,北屯區,1,60,0.57
13420,2022-07-13,台中市,北屯區,2,59,0.71
13637,2022-07-10,台中市,北屯區,1,57,0.86
13702,2022-07-09,台中市,北屯區,1,56,0.71
13771,2022-07-08,台中市,北屯區,1,55,0.86
13925,2022-07-06,台中市,北屯區,1,54,0.86
14097,2022-07-04,台中市,北屯區,2,53,1.00
14280,2022-07-02,台中市,北屯區,2,51,1.14
14464,2022-06-30,台中市,北屯區,1,49,1.14
14567,2022-06-29,台中市,北屯區,1,48,1.14
14661,2022-06-28,台中市,北屯區,1,47,1.14
14756,2022-06-27,台中市,北屯區,2,46,1.29
14864,2022-06-26,台中市,北屯區,1,44,1.14
15054,2022-06-24,台中市,北屯區,2,43,1.43
15144,2022-06-23,台中市,北屯區,1,41,1.29
15268,2022-06-22,台中市,北屯區,1,40,1.29
15375,2022-06-21,台中市,北屯區,2,39,1.14
15490,2022-06-20,台中市,北屯區,1,37,1.14
15602,2022-06-19,台中市,北屯區,1,36,1.14
15716,2022-06-18,台中市,北屯區,2,35,1.00
15838,2022-06-17,台中市,北屯區,1,33,1.00
15970,2022-06-16,台中市,北屯區,1,32,1.29
16225,2022-06-14,台中市,北屯區,2,31,1.57
16355,2022-06-13,台中市,北屯區,1,29,1.57
16598,2022-06-11,台中市,北屯區,2,28,1.57
16728,2022-06-10,台中市,北屯區,3,26,1.57
16838,2022-06-09,台中市,北屯區,2,23,1.29
16957,2022-06-08,台中市,北屯區,1,21,1.29
17089,2022-06-07,台中市,北屯區,2,20,1.43
17341,2022-06-05,台中市,北屯區,1,18,1.43
17450,2022-06-04,台中市,北屯區,2,17,1.43
17580,2022-06-03,台中市,北屯區,1,15,1.14
17705,2022-06-02,台中市,北屯區,2,14,1.14
17807,2022-06-01,台中市,北屯區,2,12,0.86
17942,2022-05-31,台中市,北屯區,2,10,0.57
18194,2022-05-29,台中市,北屯區,1,8,0.29
18406,2022-05-27,台中市,北屯區,1,7,0.14
19191,2022-05-18,台中市,北屯區,2,6,0.57
19439,2022-05-14,台中市,北屯區,1,4,0.29
19532,2022-05-12,台中市,北屯區,1,3,0.14
20455,2021-06-12,台中市,北屯區,1,2,0.14
20652,2021-06-02,台中市,北屯區,1,1,0.14
