UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
189,2023-06-14,台中市,南區,4,62355,0.57
547,2023-03-21,台中市,南區,7,62351,32.57
756,2023-03-20,台中市,南區,13,62344,39.57
1056,2023-03-19,台中市,南區,35,62331,48.43
1384,2023-03-18,台中市,南區,47,62296,48.71
1725,2023-03-17,台中市,南區,38,62249,50.57
2079,2023-03-16,台中市,南區,34,62211,54.00
2432,2023-03-15,台中市,南區,54,62177,59.29
2781,2023-03-14,台中市,南區,56,62123,59.57
3140,2023-03-13,台中市,南區,75,62067,58.43
3494,2023-03-12,台中市,南區,37,61992,59.43
3844,2023-03-11,台中市,南區,60,61955,58.29
4194,2023-03-10,台中市,南區,62,61895,58.71
4551,2023-03-09,台中市,南區,71,61833,62.57
4908,2023-03-08,台中市,南區,56,61762,67.29
5263,2023-03-07,台中市,南區,48,61706,72.43
5626,2023-03-06,台中市,南區,82,61658,74.57
5986,2023-03-05,台中市,南區,29,61576,72.71
6325,2023-03-04,台中市,南區,63,61547,73.57
6680,2023-03-03,台中市,南區,89,61484,79.57
7040,2023-03-02,台中市,南區,104,61395,79.14
7404,2023-03-01,台中市,南區,92,61291,76.29
7776,2023-02-28,台中市,南區,63,61199,73.57
8140,2023-02-27,台中市,南區,69,61136,78.29
8494,2023-02-26,台中市,南區,35,61067,86.29
8842,2023-02-25,台中市,南區,105,61032,92.14
9211,2023-02-24,台中市,南區,86,60927,90.71
9573,2023-02-23,台中市,南區,84,60841,93.00
9944,2023-02-22,台中市,南區,73,60757,92.57
10318,2023-02-21,台中市,南區,96,60684,98.57
10689,2023-02-20,台中市,南區,125,60588,97.14
11065,2023-02-19,台中市,南區,76,60463,97.86
11426,2023-02-18,台中市,南區,95,60387,99.43
11793,2023-02-17,台中市,南區,102,60292,99.43
12166,2023-02-16,台中市,南區,81,60190,101.00
12540,2023-02-15,台中市,南區,115,60109,107.00
12913,2023-02-14,台中市,南區,86,59994,109.43
13285,2023-02-13,台中市,南區,130,59908,121.86
13664,2023-02-12,台中市,南區,87,59778,121.14
14021,2023-02-11,台中市,南區,95,59691,121.14
14393,2023-02-10,台中市,南區,113,59596,126.57
14766,2023-02-09,台中市,南區,123,59483,130.00
15144,2023-02-08,台中市,南區,132,59360,134.43
15523,2023-02-07,台中市,南區,173,59228,138.14
15902,2023-02-06,台中市,南區,125,59055,139.57
16280,2023-02-05,台中市,南區,87,58930,155.14
16651,2023-02-04,台中市,南區,133,58843,157.43
17031,2023-02-03,台中市,南區,137,58710,163.57
17416,2023-02-02,台中市,南區,154,58573,166.71
17799,2023-02-01,台中市,南區,158,58419,164.43
18177,2023-01-31,台中市,南區,183,58261,158.86
18562,2023-01-30,台中市,南區,234,58078,144.29
18948,2023-01-29,台中市,南區,103,57844,127.00
19326,2023-01-28,台中市,南區,176,57741,121.14
19703,2023-01-27,台中市,南區,159,57565,114.00
20083,2023-01-26,台中市,南區,138,57406,112.71
20456,2023-01-25,台中市,南區,119,57268,105.86
20824,2023-01-24,台中市,南區,81,57149,110.29
21197,2023-01-23,台中市,南區,113,57068,116.14
21565,2023-01-22,台中市,南區,62,56955,118.57
21931,2023-01-21,台中市,南區,126,56893,124.29
22304,2023-01-20,台中市,南區,150,56767,129.86
22670,2023-01-19,台中市,南區,90,56617,127.71
23043,2023-01-18,台中市,南區,150,56527,137.29
23411,2023-01-17,台中市,南區,122,56377,133.57
23777,2023-01-16,台中市,南區,130,56255,142.86
24153,2023-01-15,台中市,南區,102,56125,146.00
24518,2023-01-14,台中市,南區,165,56023,147.57
24885,2023-01-13,台中市,南區,135,55858,148.14
25254,2023-01-12,台中市,南區,157,55723,158.43
25629,2023-01-11,台中市,南區,124,55566,165.14
26005,2023-01-10,台中市,南區,187,55442,179.86
26378,2023-01-09,台中市,南區,152,55255,193.14
26753,2023-01-08,台中市,南區,113,55103,196.86
27114,2023-01-07,台中市,南區,169,54990,192.29
27485,2023-01-06,台中市,南區,207,54821,200.43
27862,2023-01-05,台中市,南區,204,54614,197.57
28241,2023-01-04,台中市,南區,227,54410,198.86
28622,2023-01-03,台中市,南區,280,54183,196.00
29003,2023-01-02,台中市,南區,178,53903,186.71
29377,2023-01-01,台中市,南區,81,53725,186.71
29738,2022-12-31,台中市,南區,226,53644,189.14
30103,2022-12-30,台中市,南區,187,53418,179.14
30477,2022-12-29,台中市,南區,213,53231,168.29
30849,2022-12-28,台中市,南區,207,53018,161.14
31218,2022-12-27,台中市,南區,215,52811,150.14
31594,2022-12-26,台中市,南區,178,52596,134.14
31963,2022-12-25,台中市,南區,98,52418,123.43
32321,2022-12-24,台中市,南區,156,52320,118.29
32679,2022-12-23,台中市,南區,111,52164,113.71
33045,2022-12-22,台中市,南區,163,52053,114.29
33411,2022-12-21,台中市,南區,130,51890,103.86
33780,2022-12-20,台中市,南區,103,51760,102.00
34145,2022-12-19,台中市,南區,103,51657,106.00
34514,2022-12-18,台中市,南區,62,51554,105.00
34862,2022-12-17,台中市,南區,124,51492,110.71
35224,2022-12-16,台中市,南區,115,51368,107.14
35588,2022-12-15,台中市,南區,90,51253,106.71
35957,2022-12-14,台中市,南區,117,51163,107.57
36316,2022-12-13,台中市,南區,131,51046,105.29
36695,2022-12-12,台中市,南區,96,50915,107.43
37060,2022-12-11,台中市,南區,102,50819,108.71
37416,2022-12-10,台中市,南區,99,50717,104.43
37786,2022-12-09,台中市,南區,112,50618,103.43
38150,2022-12-08,台中市,南區,96,50506,99.57
38523,2022-12-07,台中市,南區,101,50410,100.43
38894,2022-12-06,台中市,南區,146,50309,102.57
39267,2022-12-05,台中市,南區,105,50163,102.57
39645,2022-12-04,台中市,南區,72,50058,107.14
40009,2022-12-03,台中市,南區,92,49986,104.29
40380,2022-12-02,台中市,南區,85,49894,107.57
40745,2022-12-01,台中市,南區,102,49809,110.00
41118,2022-11-30,台中市,南區,116,49707,109.29
41491,2022-11-29,台中市,南區,146,49591,106.14
41871,2022-11-28,台中市,南區,137,49445,105.71
42247,2022-11-27,台中市,南區,52,49308,105.71
42605,2022-11-26,台中市,南區,115,49256,111.71
42965,2022-11-25,台中市,南區,102,49141,111.71
43334,2022-11-24,台中市,南區,97,49039,112.14
43703,2022-11-23,台中市,南區,94,48942,115.71
44077,2022-11-22,台中市,南區,143,48848,120.86
44452,2022-11-21,台中市,南區,137,48705,124.29
44832,2022-11-20,台中市,南區,94,48568,124.86
45198,2022-11-19,台中市,南區,115,48474,128.14
45570,2022-11-18,台中市,南區,105,48359,131.71
45943,2022-11-17,台中市,南區,122,48254,134.86
46316,2022-11-16,台中市,南區,130,48132,138.71
46698,2022-11-15,台中市,南區,167,48002,143.71
47076,2022-11-14,台中市,南區,141,47835,145.86
47456,2022-11-13,台中市,南區,117,47694,151.00
47827,2022-11-12,台中市,南區,140,47577,153.14
48204,2022-11-11,台中市,南區,127,47437,162.57
48583,2022-11-10,台中市,南區,149,47310,168.29
48966,2022-11-09,台中市,南區,165,47161,178.86
49352,2022-11-08,台中市,南區,182,46996,188.86
49737,2022-11-07,台中市,南區,177,46814,195.57
50118,2022-11-06,台中市,南區,132,46637,205.14
50489,2022-11-05,台中市,南區,206,46505,214.57
50866,2022-11-04,台中市,南區,167,46299,215.14
51252,2022-11-03,台中市,南區,223,46132,233.14
