UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
209,2023-06-14,台中市,后里區,1,20917,0.14
558,2023-03-21,台中市,后里區,1,20916,10.14
787,2023-03-20,台中市,后里區,7,20915,12.43
1089,2023-03-19,台中市,后里區,10,20908,13.29
1422,2023-03-18,台中市,后里區,9,20898,13.29
1767,2023-03-17,台中市,后里區,18,20889,13.43
2119,2023-03-16,台中市,后里區,12,20871,13.00
2472,2023-03-15,台中市,后里區,14,20859,12.57
2822,2023-03-14,台中市,后里區,17,20845,12.43
3180,2023-03-13,台中市,后里區,13,20828,13.86
3535,2023-03-12,台中市,后里區,10,20815,13.86
3885,2023-03-11,台中市,后里區,10,20805,14.71
4234,2023-03-10,台中市,后里區,15,20795,14.71
4592,2023-03-09,台中市,后里區,9,20780,15.00
4948,2023-03-08,台中市,后里區,13,20771,16.14
5304,2023-03-07,台中市,后里區,27,20758,18.57
5666,2023-03-06,台中市,后里區,13,20731,19.14
6025,2023-03-05,台中市,后里區,16,20718,18.86
6366,2023-03-04,台中市,后里區,10,20702,20.14
6720,2023-03-03,台中市,后里區,17,20692,20.29
7081,2023-03-02,台中市,后里區,17,20675,21.43
7444,2023-03-01,台中市,后里區,30,20658,22.00
7815,2023-02-28,台中市,后里區,31,20628,20.29
8181,2023-02-27,台中市,后里區,11,20597,19.43
8532,2023-02-26,台中市,后里區,25,20586,22.14
8884,2023-02-25,台中市,后里區,11,20561,23.00
9253,2023-02-24,台中市,后里區,25,20550,26.43
9616,2023-02-23,台中市,后里區,21,20525,27.43
9986,2023-02-22,台中市,后里區,18,20504,28.29
10359,2023-02-21,台中市,后里區,25,20486,31.43
10731,2023-02-20,台中市,后里區,30,20461,36.00
11105,2023-02-19,台中市,后里區,31,20431,36.14
11467,2023-02-18,台中市,后里區,35,20400,36.43
11832,2023-02-17,台中市,后里區,32,20365,38.00
12208,2023-02-16,台中市,后里區,27,20333,37.86
12582,2023-02-15,台中市,后里區,40,20306,38.29
12956,2023-02-14,台中市,后里區,57,20266,39.71
13327,2023-02-13,台中市,后里區,31,20209,41.43
13705,2023-02-12,台中市,后里區,33,20178,43.29
14064,2023-02-11,台中市,后里區,46,20145,42.00
14433,2023-02-10,台中市,后里區,31,20099,39.71
14808,2023-02-09,台中市,后里區,30,20068,43.29
15187,2023-02-08,台中市,后里區,50,20038,44.43
15564,2023-02-07,台中市,后里區,69,19988,43.29
15944,2023-02-06,台中市,后里區,44,19919,43.00
16320,2023-02-05,台中市,后里區,24,19875,41.71
16694,2023-02-04,台中市,后里區,30,19851,47.86
17073,2023-02-03,台中市,后里區,56,19821,48.29
17459,2023-02-02,台中市,后里區,38,19765,45.29
17840,2023-02-01,台中市,后里區,42,19727,45.00
18220,2023-01-31,台中市,后里區,67,19685,42.86
18605,2023-01-30,台中市,后里區,35,19618,37.00
18991,2023-01-29,台中市,后里區,67,19583,34.29
19369,2023-01-28,台中市,后里區,33,19516,27.29
19745,2023-01-27,台中市,后里區,35,19483,26.00
20126,2023-01-26,台中市,后里區,36,19448,26.14
20498,2023-01-25,台中市,后里區,27,19412,24.29
20866,2023-01-24,台中市,后里區,26,19385,24.57
21238,2023-01-23,台中市,后里區,16,19359,26.43
21608,2023-01-22,台中市,后里區,18,19343,28.43
21974,2023-01-21,台中市,后里區,24,19325,33.71
22347,2023-01-20,台中市,后里區,36,19301,34.14
22712,2023-01-19,台中市,后里區,23,19265,35.57
23085,2023-01-18,台中市,后里區,29,19242,35.43
23451,2023-01-17,台中市,后里區,39,19213,37.43
23818,2023-01-16,台中市,后里區,30,19174,39.86
24196,2023-01-15,台中市,后里區,55,19144,40.29
24559,2023-01-14,台中市,后里區,27,19089,37.71
24926,2023-01-13,台中市,后里區,46,19062,42.86
25297,2023-01-12,台中市,后里區,22,19016,41.14
25671,2023-01-11,台中市,后里區,43,18994,44.29
26047,2023-01-10,台中市,后里區,56,18951,46.14
26420,2023-01-09,台中市,后里區,33,18895,50.86
26794,2023-01-08,台中市,后里區,37,18862,49.86
27155,2023-01-07,台中市,后里區,63,18825,48.57
27528,2023-01-06,台中市,后里區,34,18762,45.14
27905,2023-01-05,台中市,后里區,44,18728,47.29
28283,2023-01-04,台中市,后里區,56,18684,51.00
28665,2023-01-03,台中市,后里區,89,18628,48.29
29045,2023-01-02,台中市,后里區,26,18539,43.43
29418,2023-01-01,台中市,后里區,28,18513,42.71
29778,2022-12-31,台中市,后里區,39,18485,45.29
30145,2022-12-30,台中市,后里區,49,18446,44.00
30519,2022-12-29,台中市,后里區,70,18397,42.43
30891,2022-12-28,台中市,后里區,37,18327,37.43
31260,2022-12-27,台中市,后里區,55,18290,38.14
31635,2022-12-26,台中市,后里區,21,18235,36.43
32004,2022-12-25,台中市,后里區,46,18214,37.57
32362,2022-12-24,台中市,后里區,30,18168,35.43
32721,2022-12-23,台中市,后里區,38,18138,37.14
33088,2022-12-22,台中市,后里區,35,18100,36.29
33453,2022-12-21,台中市,后里區,42,18065,38.57
33821,2022-12-20,台中市,后里區,43,18023,41.57
34186,2022-12-19,台中市,后里區,29,17980,42.71
34554,2022-12-18,台中市,后里區,31,17951,44.14
