UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1145,2023-03-19,台中市,和平區,1,2847,2.86
1828,2023-03-17,台中市,和平區,2,2846,3.00
2176,2023-03-16,台中市,和平區,3,2844,2.71
2530,2023-03-15,台中市,和平區,4,2841,2.57
2881,2023-03-14,台中市,和平區,6,2837,2.14
3238,2023-03-13,台中市,和平區,4,2831,1.57
3590,2023-03-12,台中市,和平區,1,2827,1.29
3944,2023-03-11,台中市,和平區,1,2826,1.29
4652,2023-03-09,台中市,和平區,2,2825,1.86
5008,2023-03-08,台中市,和平區,1,2823,1.86
5362,2023-03-07,台中市,和平區,2,2822,2.14
5727,2023-03-06,台中市,和平區,2,2820,2.29
6080,2023-03-05,台中市,和平區,1,2818,2.43
6780,2023-03-03,台中市,和平區,5,2817,2.71
7142,2023-03-02,台中市,和平區,2,2812,2.57
7507,2023-03-01,台中市,和平區,3,2810,3.00
7878,2023-02-28,台中市,和平區,3,2807,2.86
8240,2023-02-27,台中市,和平區,3,2804,2.71
8585,2023-02-26,台中市,和平區,2,2801,2.71
8946,2023-02-25,台中市,和平區,1,2799,2.43
9312,2023-02-24,台中市,和平區,4,2798,2.86
9677,2023-02-23,台中市,和平區,5,2794,3.29
10049,2023-02-22,台中市,和平區,2,2789,3.14
10422,2023-02-21,台中市,和平區,2,2787,3.29
10794,2023-02-20,台中市,和平區,3,2785,5.14
11528,2023-02-18,台中市,和平區,4,2782,5.14
11896,2023-02-17,台中市,和平區,7,2778,4.71
12269,2023-02-16,台中市,和平區,4,2771,3.86
12645,2023-02-15,台中市,和平區,3,2767,3.57
13020,2023-02-14,台中市,和平區,15,2764,3.71
13391,2023-02-13,台中市,和平區,3,2749,1.71
14127,2023-02-11,台中市,和平區,1,2746,2.00
14497,2023-02-10,台中市,和平區,1,2745,2.00
14869,2023-02-09,台中市,和平區,2,2744,2.29
15251,2023-02-08,台中市,和平區,4,2742,2.57
15629,2023-02-07,台中市,和平區,1,2738,2.29
16009,2023-02-06,台中市,和平區,5,2737,2.86
16758,2023-02-04,台中市,和平區,1,2732,3.14
17137,2023-02-03,台中市,和平區,3,2731,4.29
17524,2023-02-02,台中市,和平區,4,2728,4.14
17904,2023-02-01,台中市,和平區,2,2724,4.00
18286,2023-01-31,台中市,和平區,5,2722,4.00
18671,2023-01-30,台中市,和平區,5,2717,4.00
