UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
647,2023-03-16,台中市,外埔區,1,38,0.14
2308,2023-02-13,台中市,外埔區,1,37,0.29
2434,2023-02-11,台中市,外埔區,1,36,0.14
3963,2023-01-15,台中市,外埔區,1,35,0.14
4311,2023-01-08,台中市,外埔區,1,34,0.14
4898,2022-12-27,台中市,外埔區,1,33,0.14
5655,2022-12-07,台中市,外埔區,1,32,0.29
5883,2022-12-01,台中市,外埔區,1,31,0.14
6642,2022-11-14,台中市,外埔區,1,30,0.29
6763,2022-11-12,台中市,外埔區,1,29,0.14
8099,2022-10-22,台中市,外埔區,1,28,0.14
8666,2022-10-14,台中市,外埔區,1,27,0.29
8810,2022-10-12,台中市,外埔區,1,26,0.29
9196,2022-10-06,台中市,外埔區,1,25,0.43
9346,2022-10-04,台中市,外埔區,1,24,0.29
9604,2022-09-30,台中市,外埔區,1,23,0.14
10138,2022-09-21,台中市,外埔區,1,22,0.29
10459,2022-09-15,台中市,外埔區,1,21,0.14
10982,2022-09-04,台中市,外埔區,1,20,0.43
11100,2022-09-01,台中市,外埔區,1,19,0.29
11185,2022-08-30,台中市,外埔區,1,18,0.14
11539,2022-08-21,台中市,外埔區,1,17,0.14
13541,2022-07-12,台中市,外埔區,1,16,0.43
13681,2022-07-10,台中市,外埔區,1,15,0.43
13749,2022-07-09,台中市,外埔區,1,14,0.43
14068,2022-07-05,台中市,外埔區,1,13,0.57
14257,2022-07-03,台中市,外埔區,1,12,0.43
14441,2022-07-01,台中市,外埔區,1,11,0.43
14633,2022-06-29,台中市,外埔區,1,10,0.43
14930,2022-06-26,台中市,外埔區,1,9,0.29
15227,2022-06-23,台中市,外埔區,1,8,0.29
15679,2022-06-19,台中市,外埔區,1,7,0.29
16053,2022-06-16,台中市,外埔區,1,6,0.43
16681,2022-06-11,台中市,外埔區,1,5,0.43
16806,2022-06-10,台中市,外埔區,1,4,0.43
17406,2022-06-05,台中市,外埔區,1,3,0.43
17533,2022-06-04,台中市,外埔區,1,2,0.29
18027,2022-05-31,台中市,外埔區,1,1,0.14
