UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
446,2023-03-22,台中市,外埔區,1,13275,4.29
838,2023-03-20,台中市,外埔區,3,13274,6.86
1154,2023-03-19,台中市,外埔區,10,13271,9.57
1487,2023-03-18,台中市,外埔區,5,13261,9.71
1840,2023-03-17,台中市,外埔區,6,13256,12.29
2187,2023-03-16,台中市,外埔區,5,13250,12.57
2540,2023-03-15,台中市,外埔區,13,13245,13.29
2893,2023-03-14,台中市,外埔區,6,13232,14.43
3251,2023-03-13,台中市,外埔區,22,13226,15.00
3601,2023-03-12,台中市,外埔區,11,13204,13.71
3956,2023-03-11,台中市,外埔區,23,13193,13.57
4306,2023-03-10,台中市,外埔區,8,13170,13.43
4662,2023-03-09,台中市,外埔區,10,13162,13.57
5020,2023-03-08,台中市,外埔區,21,13152,15.29
5374,2023-03-07,台中市,外埔區,10,13131,16.00
5739,2023-03-06,台中市,外埔區,13,13121,16.71
6090,2023-03-05,台中市,外埔區,10,13108,16.86
6436,2023-03-04,台中市,外埔區,22,13098,16.43
6792,2023-03-03,台中市,外埔區,9,13076,15.29
7154,2023-03-02,台中市,外埔區,22,13067,17.00
7519,2023-03-01,台中市,外埔區,26,13045,15.71
7889,2023-02-28,台中市,外埔區,15,13019,15.57
8250,2023-02-27,台中市,外埔區,14,13004,15.43
8596,2023-02-26,台中市,外埔區,7,12990,15.86
8959,2023-02-25,台中市,外埔區,14,12983,16.43
9323,2023-02-24,台中市,外埔區,21,12969,17.00
9689,2023-02-23,台中市,外埔區,13,12948,17.00
10061,2023-02-22,台中市,外埔區,25,12935,18.29
10434,2023-02-21,台中市,外埔區,14,12910,18.86
10807,2023-02-20,台中市,外埔區,17,12896,21.00
11173,2023-02-19,台中市,外埔區,11,12879,22.14
11539,2023-02-18,台中市,外埔區,18,12868,22.86
11909,2023-02-17,台中市,外埔區,21,12850,23.71
12282,2023-02-16,台中市,外埔區,22,12829,24.57
12657,2023-02-15,台中市,外埔區,29,12807,24.43
13032,2023-02-14,台中市,外埔區,29,12778,24.57
13404,2023-02-13,台中市,外埔區,25,12749,25.57
13775,2023-02-12,台中市,外埔區,16,12724,27.00
14140,2023-02-11,台中市,外埔區,24,12708,26.29
14509,2023-02-10,台中市,外埔區,27,12684,25.43
14881,2023-02-09,台中市,外埔區,21,12657,25.43
15263,2023-02-08,台中市,外埔區,30,12636,26.43
15642,2023-02-07,台中市,外埔區,36,12606,26.86
16022,2023-02-06,台中市,外埔區,35,12570,26.43
16396,2023-02-05,台中市,外埔區,11,12535,26.71
16770,2023-02-04,台中市,外埔區,18,12524,28.57
17150,2023-02-03,台中市,外埔區,27,12506,30.00
17537,2023-02-02,台中市,外埔區,28,12479,30.86
17917,2023-02-01,台中市,外埔區,33,12451,30.29
18299,2023-01-31,台中市,外埔區,33,12418,28.43
18684,2023-01-30,台中市,外埔區,37,12385,27.43
19069,2023-01-29,台中市,外埔區,24,12348,25.14
19447,2023-01-28,台中市,外埔區,28,12324,22.57
19823,2023-01-27,台中市,外埔區,33,12296,22.00
20201,2023-01-26,台中市,外埔區,24,12263,19.14
20572,2023-01-25,台中市,外埔區,20,12239,18.14
20942,2023-01-24,台中市,外埔區,26,12219,18.29
21310,2023-01-23,台中市,外埔區,21,12193,16.29
21680,2023-01-22,台中市,外埔區,6,12172,17.29
22048,2023-01-21,台中市,外埔區,24,12166,18.00
22418,2023-01-20,台中市,外埔區,13,12142,19.57
22785,2023-01-19,台中市,外埔區,17,12129,20.57
23158,2023-01-18,台中市,外埔區,21,12112,21.29
23523,2023-01-17,台中市,外埔區,12,12091,20.86
23893,2023-01-16,台中市,外埔區,28,12079,22.43
24267,2023-01-15,台中市,外埔區,11,12051,24.71
24633,2023-01-14,台中市,外埔區,35,12040,25.43
25001,2023-01-13,台中市,外埔區,20,12005,25.71
25375,2023-01-12,台中市,外埔區,22,11985,28.57
25746,2023-01-11,台中市,外埔區,18,11963,31.00
26123,2023-01-10,台中市,外埔區,23,11945,36.29
26498,2023-01-09,台中市,外埔區,44,11922,39.29
26866,2023-01-08,台中市,外埔區,16,11878,35.43
27229,2023-01-07,台中市,外埔區,37,11862,36.29
27602,2023-01-06,台中市,外埔區,40,11825,36.00
27982,2023-01-05,台中市,外埔區,39,11785,34.00
28362,2023-01-04,台中市,外埔區,55,11746,31.29
28743,2023-01-03,台中市,外埔區,44,11691,27.29
29121,2023-01-02,台中市,外埔區,17,11647,25.29
29490,2023-01-01,台中市,外埔區,22,11630,26.29
29853,2022-12-31,台中市,外埔區,35,11608,25.71
30218,2022-12-30,台中市,外埔區,26,11573,23.43
30592,2022-12-29,台中市,外埔區,20,11547,23.29
30965,2022-12-28,台中市,外埔區,27,11527,22.86
31339,2022-12-27,台中市,外埔區,30,11500,23.00
31712,2022-12-26,台中市,外埔區,24,11470,21.57
32073,2022-12-25,台中市,外埔區,18,11446,20.71
32433,2022-12-24,台中市,外埔區,19,11428,19.29
32792,2022-12-23,台中市,外埔區,25,11409,20.00
33159,2022-12-22,台中市,外埔區,17,11384,18.43
33527,2022-12-21,台中市,外埔區,28,11367,18.29
33894,2022-12-20,台中市,外埔區,20,11339,16.71
34260,2022-12-19,台中市,外埔區,18,11319,16.29
