UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4466,2023-06-14,台中市,大甲區,25-29,2690
4467,2023-03-20,台中市,大甲區,15-19,1805
4468,2023-03-20,台中市,大甲區,40-44,2520
4469,2023-03-20,台中市,大甲區,45-49,1802
4470,2023-03-20,台中市,大甲區,70+,2219
4471,2023-03-20,台中市,大甲區,35-39,2611
4472,2023-03-19,台中市,大甲區,50-54,1612
4473,2023-03-19,台中市,大甲區,0,232
4474,2023-03-19,台中市,大甲區,1,310
4475,2023-03-19,台中市,大甲區,20-24,2106
4476,2023-03-19,台中市,大甲區,30-34,2599
4477,2023-03-19,台中市,大甲區,65-69,1215
4478,2023-03-19,台中市,大甲區,55-59,1665
4479,2023-03-19,台中市,大甲區,60-64,1553
4480,2023-03-18,台中市,大甲區,10-14,1683
4481,2023-03-17,台中市,大甲區,3,300
4482,2023-03-16,台中市,大甲區,5-9,1774
4483,2023-03-11,台中市,大甲區,4,309
4484,2023-03-08,台中市,大甲區,2,316
