UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
200,2023-06-14,台中市,大甲區,2,29321,0.29
773,2023-03-20,台中市,大甲區,7,29319,18.57
1076,2023-03-19,台中市,大甲區,19,29312,22.29
1406,2023-03-18,台中市,大甲區,29,29293,22.43
1750,2023-03-17,台中市,大甲區,23,29264,22.71
2104,2023-03-16,台中市,大甲區,7,29241,24.14
2455,2023-03-15,台中市,大甲區,21,29234,27.43
2805,2023-03-14,台中市,大甲區,24,29213,28.43
3163,2023-03-13,台中市,大甲區,33,29189,30.57
3518,2023-03-12,台中市,大甲區,20,29156,30.43
3868,2023-03-11,台中市,大甲區,31,29136,31.29
4218,2023-03-10,台中市,大甲區,33,29105,32.57
4576,2023-03-09,台中市,大甲區,30,29072,31.86
4932,2023-03-08,台中市,大甲區,28,29042,33.71
5288,2023-03-07,台中市,大甲區,39,29014,36.29
5651,2023-03-06,台中市,大甲區,32,28975,37.71
6009,2023-03-05,台中市,大甲區,26,28943,36.57
6350,2023-03-04,台中市,大甲區,40,28917,38.29
6704,2023-03-03,台中市,大甲區,28,28877,37.00
7064,2023-03-02,台中市,大甲區,43,28849,39.29
7427,2023-03-01,台中市,大甲區,46,28806,40.00
7799,2023-02-28,台中市,大甲區,49,28760,37.86
8165,2023-02-27,台中市,大甲區,24,28711,38.29
8516,2023-02-26,台中市,大甲區,38,28687,44.14
8867,2023-02-25,台中市,大甲區,31,28649,44.29
9235,2023-02-24,台中市,大甲區,44,28618,46.14
9598,2023-02-23,台中市,大甲區,48,28574,47.00
9969,2023-02-22,台中市,大甲區,31,28526,47.29
10343,2023-02-21,台中市,大甲區,52,28495,50.71
10713,2023-02-20,台中市,大甲區,65,28443,52.14
11089,2023-02-19,台中市,大甲區,39,28378,52.57
11450,2023-02-18,台中市,大甲區,44,28339,54.29
11816,2023-02-17,台中市,大甲區,50,28295,54.29
12191,2023-02-16,台中市,大甲區,50,28245,52.14
12565,2023-02-15,台中市,大甲區,55,28195,54.00
12938,2023-02-14,台中市,大甲區,62,28140,56.71
13310,2023-02-13,台中市,大甲區,68,28078,60.00
13688,2023-02-12,台中市,大甲區,51,28010,61.43
14046,2023-02-11,台中市,大甲區,44,27959,61.00
14416,2023-02-10,台中市,大甲區,35,27915,67.00
14791,2023-02-09,台中市,大甲區,63,27880,69.57
15169,2023-02-08,台中市,大甲區,74,27817,73.43
15547,2023-02-07,台中市,大甲區,85,27743,73.86
15926,2023-02-06,台中市,大甲區,78,27658,76.14
16304,2023-02-05,台中市,大甲區,48,27580,82.43
16676,2023-02-04,台中市,大甲區,86,27532,91.43
17056,2023-02-03,台中市,大甲區,53,27446,92.43
17441,2023-02-02,台中市,大甲區,90,27393,94.86
17823,2023-02-01,台中市,大甲區,77,27303,91.71
18202,2023-01-31,台中市,大甲區,101,27226,87.71
18587,2023-01-30,台中市,大甲區,122,27125,81.57
18973,2023-01-29,台中市,大甲區,111,27003,70.86
19351,2023-01-28,台中市,大甲區,93,26892,60.00
19727,2023-01-27,台中市,大甲區,70,26799,53.29
20108,2023-01-26,台中市,大甲區,68,26729,53.29
20481,2023-01-25,台中市,大甲區,49,26661,49.57
20849,2023-01-24,台中市,大甲區,58,26612,49.29
21222,2023-01-23,台中市,大甲區,47,26554,49.29
21590,2023-01-22,台中市,大甲區,35,26507,48.71
21956,2023-01-21,台中市,大甲區,46,26472,51.71
