UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
599,2023-03-17,台中市,大肚區,1,42,0.43
640,2023-03-16,台中市,大肚區,1,41,0.29
676,2023-03-15,台中市,大肚區,1,40,0.14
2051,2023-02-17,台中市,大肚區,1,39,0.14
3014,2023-02-02,台中市,大肚區,1,38,0.14
3410,2023-01-26,台中市,大肚區,1,37,0.14
3807,2023-01-18,台中市,大肚區,1,36,0.29
4108,2023-01-12,台中市,大肚區,1,35,0.29
4263,2023-01-09,台中市,大肚區,1,34,0.14
4889,2022-12-27,台中市,大肚區,1,33,0.14
5154,2022-12-20,台中市,大肚區,1,32,0.29
5388,2022-12-14,台中市,大肚區,1,31,0.29
5610,2022-12-08,台中市,大肚區,1,30,0.43
5791,2022-12-03,台中市,大肚區,1,29,0.29
5833,2022-12-02,台中市,大肚區,1,28,0.14
6997,2022-11-08,台中市,大肚區,1,27,0.14
7664,2022-10-28,台中市,大肚區,1,26,0.29
7881,2022-10-25,台中市,大肚區,1,25,0.14
8729,2022-10-13,台中市,大肚區,1,24,0.29
9059,2022-10-08,台中市,大肚區,1,23,0.14
9660,2022-09-29,台中市,大肚區,1,22,0.29
9782,2022-09-27,台中市,大肚區,1,21,0.14
10231,2022-09-19,台中市,大肚區,1,20,0.29
10331,2022-09-17,台中市,大肚區,1,19,0.29
10659,2022-09-11,台中市,大肚區,1,18,0.14
11344,2022-08-26,台中市,大肚區,1,17,0.14
11606,2022-08-19,台中市,大肚區,1,16,0.29
11704,2022-08-16,台中市,大肚區,1,15,0.29
11862,2022-08-12,台中市,大肚區,1,14,0.43
11970,2022-08-09,台中市,大肚區,1,13,0.29
12022,2022-08-08,台中市,大肚區,1,12,0.14
12427,2022-07-30,台中市,大肚區,1,11,0.43
12481,2022-07-29,台中市,大肚區,1,10,0.29
12766,2022-07-24,台中市,大肚區,1,9,0.14
13533,2022-07-12,台中市,大肚區,1,8,0.14
14515,2022-06-30,台中市,大肚區,1,7,0.29
14918,2022-06-26,台中市,大肚區,1,6,0.29
15553,2022-06-20,台中市,大肚區,1,5,0.29
16166,2022-06-15,台中市,大肚區,1,4,0.14
17653,2022-06-03,台中市,大肚區,1,3,0.29
17880,2022-06-01,台中市,大肚區,1,2,0.14
18843,2022-05-23,台中市,大肚區,1,1,0.14
