UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
246,2023-06-14,台中市,大肚區,1,23769,0.14
580,2023-03-21,台中市,大肚區,1,23768,13.86
835,2023-03-20,台中市,大肚區,10,23767,16.43
1151,2023-03-19,台中市,大肚區,8,23757,19.86
1484,2023-03-18,台中市,大肚區,17,23749,21.29
1837,2023-03-17,台中市,大肚區,19,23732,22.43
2184,2023-03-16,台中市,大肚區,19,23713,22.57
2537,2023-03-15,台中市,大肚區,23,23694,23.14
2890,2023-03-14,台中市,大肚區,19,23671,22.14
3248,2023-03-13,台中市,大肚區,34,23652,24.43
3598,2023-03-12,台中市,大肚區,18,23618,22.43
3953,2023-03-11,台中市,大肚區,25,23600,22.00
4303,2023-03-10,台中市,大肚區,20,23575,22.00
4659,2023-03-09,台中市,大肚區,23,23555,23.14
5017,2023-03-08,台中市,大肚區,16,23532,24.43
5371,2023-03-07,台中市,大肚區,35,23516,26.14
5736,2023-03-06,台中市,大肚區,20,23481,26.14
6087,2023-03-05,台中市,大肚區,15,23461,27.14
6433,2023-03-04,台中市,大肚區,25,23446,28.14
6789,2023-03-03,台中市,大肚區,28,23421,27.57
7151,2023-03-02,台中市,大肚區,32,23393,27.43
7516,2023-03-01,台中市,大肚區,28,23361,26.86
7886,2023-02-28,台中市,大肚區,35,23333,28.00
8247,2023-02-27,台中市,大肚區,27,23298,27.43
8593,2023-02-26,台中市,大肚區,22,23271,29.43
8956,2023-02-25,台中市,大肚區,21,23249,30.14
9320,2023-02-24,台中市,大肚區,27,23228,30.29
9686,2023-02-23,台中市,大肚區,28,23201,31.14
10058,2023-02-22,台中市,大肚區,36,23173,32.43
10431,2023-02-21,台中市,大肚區,31,23137,30.14
10804,2023-02-20,台中市,大肚區,41,23106,33.71
11170,2023-02-19,台中市,大肚區,27,23065,34.29
11536,2023-02-18,台中市,大肚區,22,23038,33.71
11906,2023-02-17,台中市,大肚區,33,23016,37.86
12279,2023-02-16,台中市,大肚區,37,22983,39.29
12654,2023-02-15,台中市,大肚區,20,22946,41.14
13029,2023-02-14,台中市,大肚區,56,22926,45.86
13401,2023-02-13,台中市,大肚區,45,22870,46.00
13772,2023-02-12,台中市,大肚區,23,22825,48.14
14137,2023-02-11,台中市,大肚區,51,22802,49.29
14506,2023-02-10,台中市,大肚區,43,22751,49.57
14878,2023-02-09,台中市,大肚區,50,22708,52.71
15260,2023-02-08,台中市,大肚區,53,22658,53.71
15639,2023-02-07,台中市,大肚區,57,22605,54.71
16019,2023-02-06,台中市,大肚區,60,22548,58.43
16393,2023-02-05,台中市,大肚區,31,22488,61.71
16767,2023-02-04,台中市,大肚區,53,22457,63.57
17147,2023-02-03,台中市,大肚區,65,22404,64.00
17534,2023-02-02,台中市,大肚區,57,22339,62.14
17914,2023-02-01,台中市,大肚區,60,22282,60.00
18296,2023-01-31,台中市,大肚區,83,22222,57.43
18681,2023-01-30,台中市,大肚區,83,22139,49.71
19066,2023-01-29,台中市,大肚區,44,22056,40.00
19444,2023-01-28,台中市,大肚區,56,22012,35.71
19820,2023-01-27,台中市,大肚區,52,21956,33.00
20198,2023-01-26,台中市,大肚區,42,21904,30.71
20569,2023-01-25,台中市,大肚區,42,21862,31.29
20939,2023-01-24,台中市,大肚區,29,21820,30.14
21307,2023-01-23,台中市,大肚區,15,21791,32.29
21677,2023-01-22,台中市,大肚區,14,21776,36.71
22045,2023-01-21,台中市,大肚區,37,21762,39.43
22415,2023-01-20,台中市,大肚區,36,21725,42.29
22782,2023-01-19,台中市,大肚區,46,21689,43.57
23155,2023-01-18,台中市,大肚區,34,21643,44.43
23520,2023-01-17,台中市,大肚區,44,21609,48.00
23890,2023-01-16,台中市,大肚區,46,21565,51.14
24264,2023-01-15,台中市,大肚區,33,21519,54.00
24630,2023-01-14,台中市,大肚區,57,21486,55.57
24998,2023-01-13,台中市,大肚區,45,21429,56.71
25372,2023-01-12,台中市,大肚區,52,21384,61.43
25743,2023-01-11,台中市,大肚區,59,21332,65.00
26120,2023-01-10,台中市,大肚區,66,21273,69.29
26495,2023-01-09,台中市,大肚區,66,21207,74.86
26863,2023-01-08,台中市,大肚區,44,21141,74.14
27226,2023-01-07,台中市,大肚區,65,21097,73.00
27599,2023-01-06,台中市,大肚區,78,21032,74.71
27979,2023-01-05,台中市,大肚區,77,20954,73.43
