UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
7,2023-05-30,台中市,大里區,1,138,0.14
158,2023-04-05,台中市,大里區,1,137,0.14
253,2023-03-29,台中市,大里區,1,136,0.14
669,2023-03-15,台中市,大里區,1,135,0.71
752,2023-03-13,台中市,大里區,1,134,0.57
795,2023-03-12,台中市,大里區,1,133,0.43
840,2023-03-11,台中市,大里區,1,132,0.29
886,2023-03-10,台中市,大里區,1,131,0.29
1183,2023-03-04,台中市,大里區,1,130,0.86
1240,2023-03-03,台中市,大里區,1,129,0.86
1295,2023-03-02,台中市,大里區,1,128,0.71
1394,2023-02-28,台中市,大里區,1,127,0.71
1451,2023-02-27,台中市,大里區,1,126,0.57
1516,2023-02-26,台中市,大里區,1,125,0.57
1571,2023-02-25,台中市,大里區,1,124,0.57
1685,2023-02-23,台中市,大里區,1,123,0.43
1865,2023-02-20,台中市,大里區,1,122,0.29
1920,2023-02-19,台中市,大里區,1,121,0.14
2867,2023-02-04,台中市,大里區,1,120,0.57
3125,2023-01-31,台中市,大里區,2,119,0.86
3238,2023-01-29,台中市,大里區,1,117,0.57
3295,2023-01-28,台中市,大里區,2,116,0.43
3340,2023-01-27,台中市,大里區,1,114,0.14
3799,2023-01-18,台中市,大里區,1,113,0.71
4006,2023-01-14,台中市,大里區,1,112,0.71
4060,2023-01-13,台中市,大里區,2,111,0.86
4095,2023-01-12,台中市,大里區,1,109,0.57
4195,2023-01-10,台中市,大里區,1,108,0.43
4345,2023-01-07,台中市,大里區,2,107,0.29
4710,2022-12-31,台中市,大里區,1,105,0.14
5070,2022-12-22,台中市,大里區,1,104,0.14
5594,2022-12-08,台中市,大里區,1,103,0.57
5639,2022-12-07,台中市,大里區,1,102,0.43
5777,2022-12-03,台中市,大里區,1,101,0.43
5822,2022-12-02,台中市,大里區,1,100,0.29
5936,2022-11-29,台中市,大里區,1,99,0.14
6618,2022-11-14,台中市,大里區,1,98,0.43
6737,2022-11-12,台中市,大里區,1,97,0.29
6980,2022-11-08,台中市,大里區,1,96,0.43
7269,2022-11-03,台中市,大里區,1,95,0.29
7324,2022-11-02,台中市,大里區,1,94,0.14
7855,2022-10-25,台中市,大里區,1,93,0.57
7928,2022-10-24,台中市,大里區,1,92,0.43
8073,2022-10-22,台中市,大里區,1,91,0.43
8141,2022-10-21,台中市,大里區,1,90,0.57
8434,2022-10-17,台中市,大里區,1,89,0.57
8566,2022-10-15,台中市,大里區,2,88,0.71
8781,2022-10-12,台中市,大里區,1,86,0.57
8913,2022-10-10,台中市,大里區,2,85,0.43
9106,2022-10-07,台中市,大里區,1,83,0.14
