UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
93,2023-06-14,台中市,大里區,1,93702,0.14
482,2023-03-21,台中市,大里區,3,93701,57.57
621,2023-03-20,台中市,大里區,18,93698,66.71
905,2023-03-19,台中市,大里區,51,93680,75.00
1233,2023-03-18,台中市,大里區,83,93629,76.00
1573,2023-03-17,台中市,大里區,79,93546,75.14
1925,2023-03-16,台中市,大里區,83,93467,73.86
2278,2023-03-15,台中市,大里區,86,93384,75.86
2629,2023-03-14,台中市,大里區,67,93298,76.86
2986,2023-03-13,台中市,大里區,76,93231,80.71
3345,2023-03-12,台中市,大里區,58,93155,84.14
3690,2023-03-11,台中市,大里區,77,93097,87.00
4043,2023-03-10,台中市,大里區,70,93020,88.00
4398,2023-03-09,台中市,大里區,97,92950,93.71
4757,2023-03-08,台中市,大里區,93,92853,99.00
5111,2023-03-07,台中市,大里區,94,92760,107.14
5470,2023-03-06,台中市,大里區,100,92666,109.14
5835,2023-03-05,台中市,大里區,78,92566,107.86
6174,2023-03-04,台中市,大里區,84,92488,108.00
6526,2023-03-03,台中市,大里區,110,92404,114.14
6885,2023-03-02,台中市,大里區,134,92294,108.86
7249,2023-03-01,台中市,大里區,150,92160,102.57
7620,2023-02-28,台中市,大里區,108,92010,96.14
7983,2023-02-27,台中市,大里區,91,91902,99.14
8342,2023-02-26,台中市,大里區,79,91811,105.86
8687,2023-02-25,台中市,大里區,127,91732,113.71
9057,2023-02-24,台中市,大里區,73,91605,112.86
9418,2023-02-23,台中市,大里區,90,91532,120.57
9788,2023-02-22,台中市,大里區,105,91442,126.71
10163,2023-02-21,台中市,大里區,129,91337,131.14
10532,2023-02-20,台中市,大里區,138,91208,135.57
10912,2023-02-19,台中市,大里區,134,91070,139.43
11270,2023-02-18,台中市,大里區,121,90936,138.86
11637,2023-02-17,台中市,大里區,127,90815,139.00
12009,2023-02-16,台中市,大里區,133,90688,146.29
12384,2023-02-15,台中市,大里區,136,90555,153.86
12757,2023-02-14,台中市,大里區,160,90419,159.57
13129,2023-02-13,台中市,大里區,165,90259,166.43
13508,2023-02-12,台中市,大里區,130,90094,171.14
13865,2023-02-11,台中市,大里區,122,89964,174.57
14237,2023-02-10,台中市,大里區,178,89842,188.14
14611,2023-02-09,台中市,大里區,186,89664,192.86
14987,2023-02-08,台中市,大里區,176,89478,197.57
15366,2023-02-07,台中市,大里區,208,89302,203.14
15745,2023-02-06,台中市,大里區,198,89094,214.14
16127,2023-02-05,台中市,大里區,154,88896,224.86
16495,2023-02-04,台中市,大里區,217,88742,230.00
16874,2023-02-03,台中市,大里區,211,88525,229.86
17260,2023-02-02,台中市,大里區,219,88314,231.86
17643,2023-02-01,台中市,大里區,215,88095,222.43
18020,2023-01-31,台中市,大里區,285,87880,211.43
18405,2023-01-30,台中市,大里區,273,87595,187.00
18794,2023-01-29,台中市,大里區,190,87322,166.14
19170,2023-01-28,台中市,大里區,216,87132,152.14
19549,2023-01-27,台中市,大里區,225,86916,143.71
19927,2023-01-26,台中市,大里區,153,86691,136.00
20304,2023-01-25,台中市,大里區,138,86538,134.43
20669,2023-01-24,台中市,大里區,114,86400,135.29
21044,2023-01-23,台中市,大里區,127,86286,141.86
21411,2023-01-22,台中市,大里區,92,86159,149.00
21775,2023-01-21,台中市,大里區,157,86067,159.00
22147,2023-01-20,台中市,大里區,171,85910,162.29
22514,2023-01-19,台中市,大里區,142,85739,162.86
22885,2023-01-18,台中市,大里區,144,85597,170.57
23257,2023-01-17,台中市,大里區,160,85453,185.71
23621,2023-01-16,台中市,大里區,177,85293,200.14
23997,2023-01-15,台中市,大里區,162,85116,208.14
24364,2023-01-14,台中市,大里區,180,84954,207.57
24732,2023-01-13,台中市,大里區,175,84774,217.00
25100,2023-01-12,台中市,大里區,196,84599,226.00
25475,2023-01-11,台中市,大里區,250,84403,238.29
25851,2023-01-10,台中市,大里區,261,84153,249.29
26223,2023-01-09,台中市,大里區,233,83892,254.29
26602,2023-01-08,台中市,大里區,158,83659,257.57
26959,2023-01-07,台中市,大里區,246,83501,255.00
27330,2023-01-06,台中市,大里區,238,83255,252.29
27706,2023-01-05,台中市,大里區,282,83017,251.00
