UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4390,2023-06-14,台中市,新社區,50-54,392
4391,2023-03-20,台中市,新社區,55-59,396
4392,2023-03-19,台中市,新社區,70+,739
4393,2023-03-19,台中市,新社區,30-34,442
4394,2023-03-19,台中市,新社區,40-44,512
4395,2023-03-19,台中市,新社區,60-64,348
4396,2023-03-18,台中市,新社區,10-14,387
4397,2023-03-18,台中市,新社區,65-69,302
4398,2023-03-18,台中市,新社區,35-39,496
4399,2023-03-17,台中市,新社區,45-49,423
4400,2023-03-17,台中市,新社區,20-24,507
4401,2023-03-17,台中市,新社區,1,70
4402,2023-03-17,台中市,新社區,2,62
4403,2023-03-15,台中市,新社區,15-19,545
4404,2023-03-14,台中市,新社區,25-29,512
4405,2023-03-08,台中市,新社區,5-9,417
4406,2023-03-04,台中市,新社區,0,40
4407,2023-02-24,台中市,新社區,4,56
4408,2023-02-06,台中市,新社區,3,65
