UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
204,2023-06-14,台中市,新社區,1,6711,0.14
777,2023-03-20,台中市,新社區,1,6710,5.43
1079,2023-03-19,台中市,新社區,5,6709,6.14
1410,2023-03-18,台中市,新社區,6,6704,6.43
1754,2023-03-17,台中市,新社區,9,6698,6.43
2108,2023-03-16,台中市,新社區,5,6689,6.14
2460,2023-03-15,台中市,新社區,6,6684,6.71
2810,2023-03-14,台中市,新社區,6,6678,7.43
3168,2023-03-13,台中市,新社區,6,6672,7.43
3523,2023-03-12,台中市,新社區,7,6666,8.86
3873,2023-03-11,台中市,新社區,6,6659,8.29
4223,2023-03-10,台中市,新社區,7,6653,8.29
4581,2023-03-09,台中市,新社區,9,6646,8.71
4937,2023-03-08,台中市,新社區,11,6637,8.43
5293,2023-03-07,台中市,新社區,6,6626,8.00
5655,2023-03-06,台中市,新社區,16,6620,8.29
6013,2023-03-05,台中市,新社區,3,6604,7.71
6355,2023-03-04,台中市,新社區,6,6601,8.00
6708,2023-03-03,台中市,新社區,10,6595,8.43
7069,2023-03-02,台中市,新社區,7,6585,8.29
7432,2023-03-01,台中市,新社區,8,6578,8.43
7804,2023-02-28,台中市,新社區,8,6570,8.57
8170,2023-02-27,台中市,新社區,12,6562,9.14
8521,2023-02-26,台中市,新社區,5,6550,9.00
8872,2023-02-25,台中市,新社區,9,6545,8.86
9240,2023-02-24,台中市,新社區,9,6536,9.29
9603,2023-02-23,台中市,新社區,8,6527,9.29
9974,2023-02-22,台中市,新社區,9,6519,9.43
10348,2023-02-21,台中市,新社區,12,6510,9.86
10718,2023-02-20,台中市,新社區,11,6498,9.00
11094,2023-02-19,台中市,新社區,4,6487,9.86
11455,2023-02-18,台中市,新社區,12,6483,9.71
11821,2023-02-17,台中市,新社區,9,6471,9.43
12196,2023-02-16,台中市,新社區,9,6462,9.43
12570,2023-02-15,台中市,新社區,12,6453,10.00
12943,2023-02-14,台中市,新社區,6,6441,10.57
13315,2023-02-13,台中市,新社區,17,6435,10.43
13693,2023-02-12,台中市,新社區,3,6418,11.43
14051,2023-02-11,台中市,新社區,10,6415,12.29
14421,2023-02-10,台中市,新社區,9,6405,12.71
14796,2023-02-09,台中市,新社區,13,6396,12.71
15174,2023-02-08,台中市,新社區,16,6383,13.71
15552,2023-02-07,台中市,新社區,5,6367,13.57
15931,2023-02-06,台中市,新社區,24,6362,15.86
16309,2023-02-05,台中市,新社區,9,6338,14.43
16681,2023-02-04,台中市,新社區,13,6329,14.71
17061,2023-02-03,台中市,新社區,9,6316,17.00
17446,2023-02-02,台中市,新社區,20,6307,18.14
17828,2023-02-01,台中市,新社區,15,6287,17.00
18207,2023-01-31,台中市,新社區,21,6272,16.14
18592,2023-01-30,台中市,新社區,14,6251,14.14
18978,2023-01-29,台中市,新社區,11,6237,13.43
19356,2023-01-28,台中市,新社區,29,6226,12.71
19732,2023-01-27,台中市,新社區,17,6197,9.43
20113,2023-01-26,台中市,新社區,12,6180,9.43
20486,2023-01-25,台中市,新社區,9,6168,9.00
20854,2023-01-24,台中市,新社區,7,6159,8.86
21227,2023-01-23,台中市,新社區,9,6152,10.57
21595,2023-01-22,台中市,新社區,6,6143,11.29
21961,2023-01-21,台中市,新社區,6,6137,11.71
22334,2023-01-20,台中市,新社區,17,6131,13.71
22700,2023-01-19,台中市,新社區,9,6114,13.71
23072,2023-01-18,台中市,新社區,8,6105,13.57
23441,2023-01-17,台中市,新社區,19,6097,14.00
23806,2023-01-16,台中市,新社區,14,6078,13.57
24183,2023-01-15,台中市,新社區,9,6064,13.14
24548,2023-01-14,台中市,新社區,20,6055,12.86
24914,2023-01-13,台中市,新社區,17,6035,11.43
25284,2023-01-12,台中市,新社區,8,6018,9.43
25659,2023-01-11,台中市,新社區,11,6010,10.14
26034,2023-01-10,台中市,新社區,16,5999,11.57
26408,2023-01-09,台中市,新社區,11,5983,10.71
26782,2023-01-08,台中市,新社區,7,5972,12.29
27143,2023-01-07,台中市,新社區,10,5965,12.43
27515,2023-01-06,台中市,新社區,3,5955,12.86
27892,2023-01-05,台中市,新社區,13,5952,15.14
28271,2023-01-04,台中市,新社區,21,5939,14.86
28652,2023-01-03,台中市,新社區,10,5918,14.00
29033,2023-01-02,台中市,新社區,22,5908,14.57
29406,2023-01-01,台中市,新社區,8,5886,13.57
29767,2022-12-31,台中市,新社區,13,5878,13.57
30133,2022-12-30,台中市,新社區,19,5865,12.86
30507,2022-12-29,台中市,新社區,11,5846,11.86
30879,2022-12-28,台中市,新社區,15,5835,12.86
31248,2022-12-27,台中市,新社區,14,5820,12.43
31623,2022-12-26,台中市,新社區,15,5806,12.86
31991,2022-12-25,台中市,新社區,8,5791,13.71
32350,2022-12-24,台中市,新社區,8,5783,12.86
32708,2022-12-23,台中市,新社區,12,5775,14.00
33075,2022-12-22,台中市,新社區,18,5763,13.57
33441,2022-12-21,台中市,新社區,12,5745,13.57
33809,2022-12-20,台中市,新社區,17,5733,14.29
34174,2022-12-19,台中市,新社區,21,5716,13.14
34543,2022-12-18,台中市,新社區,2,5695,13.57
34892,2022-12-17,台中市,新社區,16,5693,14.14
35254,2022-12-16,台中市,新社區,9,5677,13.43
35617,2022-12-15,台中市,新社區,18,5668,13.43
35986,2022-12-14,台中市,新社區,17,5650,12.43
36346,2022-12-13,台中市,新社區,9,5633,12.00
36724,2022-12-12,台中市,新社區,24,5624,12.14
37089,2022-12-11,台中市,新社區,6,5600,9.57
37446,2022-12-10,台中市,新社區,11,5594,9.00
37814,2022-12-09,台中市,新社區,9,5583,9.14
38180,2022-12-08,台中市,新社區,11,5574,9.86
38553,2022-12-07,台中市,新社區,14,5563,11.29
38923,2022-12-06,台中市,新社區,10,5549,11.43
39296,2022-12-05,台中市,新社區,6,5539,11.86
39675,2022-12-04,台中市,新社區,2,5533,15.14
40039,2022-12-03,台中市,新社區,12,5531,15.71
40410,2022-12-02,台中市,新社區,14,5519,16.43
40775,2022-12-01,台中市,新社區,21,5505,16.14
41147,2022-11-30,台中市,新社區,15,5484,15.00
41520,2022-11-29,台中市,新社區,13,5469,15.00
41900,2022-11-28,台中市,新社區,29,5456,15.43
42277,2022-11-27,台中市,新社區,6,5427,13.71
42633,2022-11-26,台中市,新社區,17,5421,13.57
42995,2022-11-25,台中市,新社區,12,5404,13.29
43364,2022-11-24,台中市,新社區,13,5392,13.29
43733,2022-11-23,台中市,新社區,15,5379,13.14
44107,2022-11-22,台中市,新社區,16,5364,12.57
44482,2022-11-21,台中市,新社區,17,5348,12.29
44862,2022-11-20,台中市,新社區,5,5331,11.86
45228,2022-11-19,台中市,新社區,15,5326,12.14
45599,2022-11-18,台中市,新社區,12,5311,11.14
45973,2022-11-17,台中市,新社區,12,5299,11.00
46346,2022-11-16,台中市,新社區,11,5287,11.57
46728,2022-11-15,台中市,新社區,14,5276,13.29
47106,2022-11-14,台中市,新社區,14,5262,17.29
47485,2022-11-13,台中市,新社區,7,5248,19.43
47856,2022-11-12,台中市,新社區,8,5241,22.00
48234,2022-11-11,台中市,新社區,11,5233,23.71
48612,2022-11-10,台中市,新社區,16,5222,26.29
48996,2022-11-09,台中市,新社區,23,5206,26.57
49382,2022-11-08,台中市,新社區,42,5183,27.86
49767,2022-11-07,台中市,新社區,29,5141,26.71
50147,2022-11-06,台中市,新社區,25,5112,29.86
50517,2022-11-05,台中市,新社區,20,5087,28.14
50896,2022-11-04,台中市,新社區,29,5067,29.57
51281,2022-11-03,台中市,新社區,18,5038,30.14
51660,2022-11-02,台中市,新社區,32,5020,31.86
52048,2022-11-01,台中市,新社區,34,4988,31.29
52431,2022-10-31,台中市,新社區,51,4954,31.71
52815,2022-10-30,台中市,新社區,13,4903,29.57
53192,2022-10-29,台中市,新社區,30,4890,32.14
53574,2022-10-28,台中市,新社區,33,4860,32.57
53961,2022-10-27,台中市,新社區,30,4827,32.00
54344,2022-10-26,台中市,新社區,28,4797,30.57
54730,2022-10-25,台中市,新社區,37,4769,31.43
55121,2022-10-24,台中市,新社區,36,4732,29.29
55509,2022-10-23,台中市,新社區,31,4696,31.14
55887,2022-10-22,台中市,新社區,33,4665,30.57
56273,2022-10-21,台中市,新社區,29,4632,30.71
56662,2022-10-20,台中市,新社區,20,4603,31.00
57047,2022-10-19,台中市,新社區,34,4583,32.71
57434,2022-10-18,台中市,新社區,22,4549,32.43
57824,2022-10-17,台中市,新社區,49,4527,33.57
58213,2022-10-16,台中市,新社區,27,4478,30.57
58598,2022-10-15,台中市,新社區,34,4451,29.86
58984,2022-10-14,台中市,新社區,31,4417,30.00
59373,2022-10-13,台中市,新社區,32,4386,30.43
59764,2022-10-12,台中市,新社區,32,4354,31.14
60154,2022-10-11,台中市,新社區,30,4322,30.71
60544,2022-10-10,台中市,新社區,28,4292,30.71
60928,2022-10-09,台中市,新社區,22,4264,33.86
61316,2022-10-08,台中市,新社區,35,4242,34.29
61705,2022-10-07,台中市,新社區,34,4207,35.00
62092,2022-10-06,台中市,新社區,37,4173,33.29
62483,2022-10-05,台中市,新社區,29,4136,32.86
62871,2022-10-04,台中市,新社區,30,4107,31.14
63259,2022-10-03,台中市,新社區,50,4077,31.57
63650,2022-10-02,台中市,新社區,25,4027,30.86
64031,2022-10-01,台中市,新社區,40,4002,29.14
64417,2022-09-30,台中市,新社區,22,3962,28.29
64802,2022-09-29,台中市,新社區,34,3940,30.14
65190,2022-09-28,台中市,新社區,17,3906,29.43
65577,2022-09-27,台中市,新社區,33,3889,31.00
65964,2022-09-26,台中市,新社區,45,3856,30.71
66351,2022-09-25,台中市,新社區,13,3811,30.14
66736,2022-09-24,台中市,新社區,34,3798,30.14
67120,2022-09-23,台中市,新社區,35,3764,28.86
67508,2022-09-22,台中市,新社區,29,3729,27.43
67896,2022-09-21,台中市,新社區,28,3700,29.57
68285,2022-09-20,台中市,新社區,31,3672,30.86
68675,2022-09-19,台中市,新社區,41,3641,34.14
69065,2022-09-18,台中市,新社區,13,3600,35.14
69448,2022-09-17,台中市,新社區,25,3587,36.29
69835,2022-09-16,台中市,新社區,25,3562,37.86
70220,2022-09-15,台中市,新社區,44,3537,38.86
70607,2022-09-14,台中市,新社區,37,3493,36.71
70993,2022-09-13,台中市,新社區,54,3456,34.00
71382,2022-09-12,台中市,新社區,48,3402,30.86
71771,2022-09-11,台中市,新社區,21,3354,28.29
72153,2022-09-10,台中市,新社區,36,3333,26.14
72535,2022-09-09,台中市,新社區,32,3297,24.14
72917,2022-09-08,台中市,新社區,29,3265,23.00
73304,2022-09-07,台中市,新社區,18,3236,21.29
73688,2022-09-06,台中市,新社區,32,3218,21.71
74074,2022-09-05,台中市,新社區,30,3186,19.00
74460,2022-09-04,台中市,新社區,6,3156,18.57
74842,2022-09-03,台中市,新社區,22,3150,20.29
75230,2022-09-02,台中市,新社區,24,3128,18.71
75616,2022-09-01,台中市,新社區,17,3104,17.14
76005,2022-08-31,台中市,新社區,21,3087,16.71
76392,2022-08-30,台中市,新社區,13,3066,16.43
76780,2022-08-29,台中市,新社區,27,3053,17.43
77168,2022-08-28,台中市,新社區,18,3026,17.29
77552,2022-08-27,台中市,新社區,11,3008,16.00
77938,2022-08-26,台中市,新社區,13,2997,17.14
78322,2022-08-25,台中市,新社區,14,2984,18.57
78709,2022-08-24,台中市,新社區,19,2970,20.43
79095,2022-08-23,台中市,新社區,20,2951,21.29
79479,2022-08-22,台中市,新社區,26,2931,21.14
79867,2022-08-21,台中市,新社區,9,2905,21.43
80244,2022-08-20,台中市,新社區,19,2896,22.14
80628,2022-08-19,台中市,新社區,23,2877,23.14
81013,2022-08-18,台中市,新社區,27,2854,21.29
81402,2022-08-17,台中市,新社區,25,2827,21.00
81787,2022-08-16,台中市,新社區,19,2802,19.00
82174,2022-08-15,台中市,新社區,28,2783,18.86
82559,2022-08-14,台中市,新社區,14,2755,18.43
82935,2022-08-13,台中市,新社區,26,2741,18.00
83316,2022-08-12,台中市,新社區,10,2715,15.71
83703,2022-08-11,台中市,新社區,25,2705,15.86
84089,2022-08-10,台中市,新社區,11,2680,14.29
84474,2022-08-09,台中市,新社區,18,2669,14.43
84856,2022-08-08,台中市,新社區,25,2651,13.57
85239,2022-08-07,台中市,新社區,11,2626,12.14
85612,2022-08-06,台中市,新社區,10,2615,11.86
85994,2022-08-05,台中市,新社區,11,2605,11.29
86381,2022-08-04,台中市,新社區,14,2594,10.86
86765,2022-08-03,台中市,新社區,12,2580,11.29
87148,2022-08-02,台中市,新社區,12,2568,11.57
87534,2022-08-01,台中市,新社區,15,2556,11.57
87920,2022-07-31,台中市,新社區,9,2541,12.29
88297,2022-07-30,台中市,新社區,6,2532,11.71
88675,2022-07-29,台中市,新社區,8,2526,12.14
89061,2022-07-28,台中市,新社區,17,2518,12.71
89448,2022-07-27,台中市,新社區,14,2501,12.29
89838,2022-07-26,台中市,新社區,12,2487,12.71
90225,2022-07-25,台中市,新社區,20,2475,14.00
90607,2022-07-24,台中市,新社區,5,2455,14.86
90986,2022-07-23,台中市,新社區,9,2450,15.43
91371,2022-07-22,台中市,新社區,12,2441,16.29
91757,2022-07-21,台中市,新社區,14,2429,17.29
92141,2022-07-20,台中市,新社區,17,2415,16.57
92528,2022-07-19,台中市,新社區,21,2398,16.00
92917,2022-07-18,台中市,新社區,26,2377,15.71
93303,2022-07-17,台中市,新社區,9,2351,15.86
93683,2022-07-16,台中市,新社區,15,2342,18.14
94070,2022-07-15,台中市,新社區,19,2327,18.29
94457,2022-07-14,台中市,新社區,9,2308,20.29
94846,2022-07-13,台中市,新社區,13,2299,22.00
95234,2022-07-12,台中市,新社區,19,2286,22.71
95622,2022-07-11,台中市,新社區,27,2267,23.14
96009,2022-07-10,台中市,新社區,25,2240,22.43
