UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
194,2023-06-14,台中市,梧棲區,6,28181,0.86
550,2023-03-21,台中市,梧棲區,1,28175,17.29
760,2023-03-20,台中市,梧棲區,8,28174,21.00
1061,2023-03-19,台中市,梧棲區,13,28166,22.71
1389,2023-03-18,台中市,梧棲區,13,28153,23.43
1732,2023-03-17,台中市,梧棲區,30,28140,26.57
2086,2023-03-16,台中市,梧棲區,34,28110,25.14
2439,2023-03-15,台中市,梧棲區,22,28076,24.57
2787,2023-03-14,台中市,梧棲區,27,28054,23.86
3145,2023-03-13,台中市,梧棲區,20,28027,24.57
3500,2023-03-12,台中市,梧棲區,18,28007,25.57
3850,2023-03-11,台中市,梧棲區,35,27989,25.43
4201,2023-03-10,台中市,梧棲區,20,27954,24.43
4558,2023-03-09,台中市,梧棲區,30,27934,26.29
4914,2023-03-08,台中市,梧棲區,17,27904,27.71
5270,2023-03-07,台中市,梧棲區,32,27887,30.14
5633,2023-03-06,台中市,梧棲區,27,27855,30.71
5992,2023-03-05,台中市,梧棲區,17,27828,30.86
6332,2023-03-04,台中市,梧棲區,28,27811,32.14
6687,2023-03-03,台中市,梧棲區,33,27783,32.86
7046,2023-03-02,台中市,梧棲區,40,27750,31.86
7411,2023-03-01,台中市,梧棲區,34,27710,30.14
7781,2023-02-28,台中市,梧棲區,36,27676,31.71
8147,2023-02-27,台中市,梧棲區,28,27640,31.57
8499,2023-02-26,台中市,梧棲區,26,27612,34.00
8849,2023-02-25,台中市,梧棲區,33,27586,37.14
9217,2023-02-24,台中市,梧棲區,26,27553,37.86
9580,2023-02-23,台中市,梧棲區,28,27527,40.43
9951,2023-02-22,台中市,梧棲區,45,27499,43.86
10325,2023-02-21,台中市,梧棲區,35,27454,43.29
10695,2023-02-20,台中市,梧棲區,45,27419,45.71
11072,2023-02-19,台中市,梧棲區,48,27374,47.29
11433,2023-02-18,台中市,梧棲區,38,27326,44.57
11800,2023-02-17,台中市,梧棲區,44,27288,45.86
12173,2023-02-16,台中市,梧棲區,52,27244,47.43
12547,2023-02-15,台中市,梧棲區,41,27192,48.29
12920,2023-02-14,台中市,梧棲區,52,27151,52.14
13292,2023-02-13,台中市,梧棲區,56,27099,55.43
13670,2023-02-12,台中市,梧棲區,29,27043,59.29
14028,2023-02-11,台中市,梧棲區,47,27014,62.00
14399,2023-02-10,台中市,梧棲區,55,26967,66.43
14773,2023-02-09,台中市,梧棲區,58,26912,67.29
15151,2023-02-08,台中市,梧棲區,68,26854,67.43
15529,2023-02-07,台中市,梧棲區,75,26786,67.14
15909,2023-02-06,台中市,梧棲區,83,26711,67.57
16286,2023-02-05,台中市,梧棲區,48,26628,69.86
16658,2023-02-04,台中市,梧棲區,78,26580,69.86
17038,2023-02-03,台中市,梧棲區,61,26502,70.57
17423,2023-02-02,台中市,梧棲區,59,26441,72.43
17805,2023-02-01,台中市,梧棲區,66,26382,71.29
18184,2023-01-31,台中市,梧棲區,78,26316,69.86
18569,2023-01-30,台中市,梧棲區,99,26238,65.86
18955,2023-01-29,台中市,梧棲區,48,26139,56.86
19333,2023-01-28,台中市,梧棲區,83,26091,52.71
19709,2023-01-27,台中市,梧棲區,74,26008,45.14
20090,2023-01-26,台中市,梧棲區,51,25934,39.86
20463,2023-01-25,台中市,梧棲區,56,25883,36.00
20831,2023-01-24,台中市,梧棲區,50,25827,34.43
21204,2023-01-23,台中市,梧棲區,36,25777,34.43
21572,2023-01-22,台中市,梧棲區,19,25741,34.57
21938,2023-01-21,台中市,梧棲區,30,25722,37.00
22311,2023-01-20,台中市,梧棲區,37,25692,38.29
22677,2023-01-19,台中市,梧棲區,24,25655,40.29
23049,2023-01-18,台中市,梧棲區,45,25631,43.86
23418,2023-01-17,台中市,梧棲區,50,25586,43.29
23783,2023-01-16,台中市,梧棲區,37,25536,42.14
24160,2023-01-15,台中市,梧棲區,36,25499,45.00
24525,2023-01-14,台中市,梧棲區,39,25463,46.71
24891,2023-01-13,台中市,梧棲區,51,25424,49.29
25261,2023-01-12,台中市,梧棲區,49,25373,49.43
25636,2023-01-11,台中市,梧棲區,41,25324,51.00
26012,2023-01-10,台中市,梧棲區,42,25283,57.00
26385,2023-01-09,台中市,梧棲區,57,25241,65.29
