UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
147,2023-04-06,台中市,沙鹿區,1,54,0.14
324,2023-03-25,台中市,沙鹿區,1,53,0.14
714,2023-03-14,台中市,沙鹿區,1,52,0.14
1578,2023-02-25,台中市,沙鹿區,1,51,0.29
1818,2023-02-21,台中市,沙鹿區,1,50,0.29
2162,2023-02-15,台中市,沙鹿區,1,49,0.29
2550,2023-02-09,台中市,沙鹿區,1,48,0.57
2618,2023-02-08,台中市,沙鹿區,1,47,0.43
2819,2023-02-05,台中市,沙鹿區,1,46,0.29
2870,2023-02-04,台中市,沙鹿區,1,45,0.14
3564,2023-01-23,台中市,沙鹿區,1,44,0.29
3802,2023-01-18,台中市,沙鹿區,1,43,0.14
4259,2023-01-09,台中市,沙鹿區,1,42,0.29
4497,2023-01-04,台中市,沙鹿區,1,41,0.29
4767,2022-12-30,台中市,沙鹿區,1,40,0.14
6146,2022-11-24,台中市,沙鹿區,1,39,0.29
6192,2022-11-23,台中市,沙鹿區,1,38,0.14
6741,2022-11-12,台中市,沙鹿區,1,37,0.14
7275,2022-11-03,台中市,沙鹿區,1,36,0.43
7397,2022-11-01,台中市,沙鹿區,1,35,0.29
7579,2022-10-29,台中市,沙鹿區,1,34,0.29
8007,2022-10-23,台中市,沙鹿區,1,33,0.14
8511,2022-10-16,台中市,沙鹿區,1,32,0.43
8720,2022-10-13,台中市,沙鹿區,1,31,0.43
8924,2022-10-10,台中市,沙鹿區,1,30,0.29
9115,2022-10-07,台中市,沙鹿區,1,29,0.14
9584,2022-09-30,台中市,沙鹿區,1,28,0.29
9650,2022-09-29,台中市,沙鹿區,1,27,0.14
10323,2022-09-17,台中市,沙鹿區,1,26,0.14
11058,2022-09-02,台中市,沙鹿區,1,25,0.14
12173,2022-08-04,台中市,沙鹿區,1,24,0.14
12584,2022-07-27,台中市,沙鹿區,1,23,0.14
13167,2022-07-17,台中市,沙鹿區,1,22,0.14
13662,2022-07-10,台中市,沙鹿區,1,21,0.71
13737,2022-07-09,台中市,沙鹿區,1,20,0.57
13870,2022-07-07,台中市,沙鹿區,1,19,0.57
13957,2022-07-06,台中市,沙鹿區,1,18,0.43
14133,2022-07-04,台中市,沙鹿區,1,17,0.29
14406,2022-07-01,台中市,沙鹿區,1,16,0.29
14790,2022-06-27,台中市,沙鹿區,1,15,0.29
15416,2022-06-21,台中市,沙鹿區,1,14,0.57
15886,2022-06-17,台中市,沙鹿區,2,13,0.71
16139,2022-06-15,台中市,沙鹿區,1,11,0.57
16396,2022-06-13,台中市,沙鹿區,2,10,0.43
16768,2022-06-10,台中市,沙鹿區,1,8,0.14
17988,2022-05-31,台中市,沙鹿區,1,7,0.71
18110,2022-05-30,台中市,沙鹿區,2,6,0.57
18336,2022-05-28,台中市,沙鹿區,1,4,0.43
18534,2022-05-26,台中市,沙鹿區,1,3,0.29
18910,2022-05-22,台中市,沙鹿區,1,2,0.14
19463,2022-05-14,台中市,沙鹿區,1,1,0.14
