UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4314,2023-06-14,台中市,清水區,65-69,1610
4315,2023-06-14,台中市,清水區,40-44,3599
4316,2023-06-14,台中市,清水區,70+,2764
4317,2023-03-21,台中市,清水區,45-49,2718
4318,2023-03-20,台中市,清水區,25-29,3024
4319,2023-03-20,台中市,清水區,20-24,2394
4320,2023-03-20,台中市,清水區,30-34,3319
4321,2023-03-20,台中市,清水區,35-39,3667
4322,2023-03-20,台中市,清水區,15-19,2244
4323,2023-03-19,台中市,清水區,60-64,1820
4324,2023-03-19,台中市,清水區,5-9,2617
4325,2023-03-19,台中市,清水區,10-14,2247
4326,2023-03-18,台中市,清水區,50-54,2007
4327,2023-03-17,台中市,清水區,0,283
4328,2023-03-17,台中市,清水區,2,432
4329,2023-03-16,台中市,清水區,55-59,2080
4330,2023-03-13,台中市,清水區,3,434
4331,2023-03-12,台中市,清水區,4,446
4332,2023-03-11,台中市,清水區,1,394
