UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4295,2023-06-14,台中市,潭子區,5-9,2998
4296,2023-03-20,台中市,潭子區,70+,2620
4297,2023-03-20,台中市,潭子區,60-64,2428
4298,2023-03-20,台中市,潭子區,50-54,2878
4299,2023-03-20,台中市,潭子區,30-34,4538
4300,2023-03-20,台中市,潭子區,20-24,3478
4301,2023-03-20,台中市,潭子區,15-19,2747
4302,2023-03-19,台中市,潭子區,45-49,3482
4303,2023-03-19,台中市,潭子區,55-59,2801
4304,2023-03-19,台中市,潭子區,65-69,1784
4305,2023-03-19,台中市,潭子區,25-29,4600
4306,2023-03-18,台中市,潭子區,40-44,4449
4307,2023-03-18,台中市,潭子區,35-39,4393
4308,2023-03-18,台中市,潭子區,10-14,2728
4309,2023-03-18,台中市,潭子區,2,430
4310,2023-03-18,台中市,潭子區,1,447
4311,2023-03-16,台中市,潭子區,4,500
4312,2023-03-16,台中市,潭子區,0,322
4313,2023-03-13,台中市,潭子區,3,502
