UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
672,2023-03-15,台中市,潭子區,1,75,0.57
715,2023-03-14,台中市,潭子區,1,74,0.43
759,2023-03-13,台中市,潭子區,1,73,0.29
892,2023-03-10,台中市,潭子區,1,72,0.29
1080,2023-03-06,台中市,潭子區,1,71,0.43
1250,2023-03-03,台中市,潭子區,1,70,0.29
1400,2023-02-28,台中市,潭子區,1,69,0.14
2165,2023-02-15,台中市,潭子區,1,68,0.14
2761,2023-02-06,台中市,潭子區,2,67,0.57
2822,2023-02-05,台中市,潭子區,1,65,0.29
3003,2023-02-02,台中市,潭子區,1,64,0.14
3399,2023-01-26,台中市,潭子區,1,63,0.29
3705,2023-01-20,台中市,潭子區,1,62,0.14
4298,2023-01-08,台中市,潭子區,1,61,0.29
4352,2023-01-07,台中市,潭子區,1,60,0.14
5299,2022-12-16,台中市,潭子區,1,59,0.14
6233,2022-11-22,台中市,潭子區,1,58,0.14
6681,2022-11-13,台中市,潭子區,1,57,0.14
7584,2022-10-29,台中市,潭子區,1,56,0.57
7655,2022-10-28,台中市,潭子區,2,55,0.43
7802,2022-10-26,台中市,潭子區,1,53,0.29
8233,2022-10-20,台中市,潭子區,1,52,0.86
8368,2022-10-18,台中市,潭子區,2,51,0.86
8445,2022-10-17,台中市,潭子區,1,49,0.71
8579,2022-10-15,台中市,潭子區,1,48,0.71
8649,2022-10-14,台中市,潭子區,1,47,0.57
8793,2022-10-12,台中市,潭子區,1,46,0.57
8864,2022-10-11,台中市,潭子區,1,45,0.43
8926,2022-10-10,台中市,潭子區,1,44,0.29
9117,2022-10-07,台中市,潭子區,1,43,0.43
9399,2022-10-03,台中市,潭子區,1,42,0.43
9470,2022-10-02,台中市,潭子區,1,41,0.29
9710,2022-09-28,台中市,潭子區,1,40,0.14
10443,2022-09-15,台中市,潭子區,1,39,0.57
10501,2022-09-14,台中市,潭子區,1,38,0.43
10609,2022-09-12,台中市,潭子區,1,37,0.29
10654,2022-09-11,台中市,潭子區,1,36,0.14
11532,2022-08-21,台中市,潭子區,1,35,0.29
11567,2022-08-20,台中市,潭子區,1,34,0.14
11858,2022-08-12,台中市,潭子區,1,33,0.29
11927,2022-08-10,台中市,潭子區,1,32,0.14
12223,2022-08-03,台中市,潭子區,2,31,0.57
12375,2022-07-31,台中市,潭子區,1,29,0.43
12420,2022-07-30,台中市,潭子區,1,28,0.29
12701,2022-07-25,台中市,潭子區,1,27,0.29
12980,2022-07-20,台中市,潭子區,1,26,0.29
13382,2022-07-14,台中市,潭子區,1,25,0.43
13666,2022-07-10,台中市,潭子區,1,24,0.29
13800,2022-07-08,台中市,潭子區,1,23,0.14
14408,2022-07-01,台中市,潭子區,1,22,0.14
15088,2022-06-24,台中市,潭子區,1,21,0.43
15189,2022-06-23,台中市,潭子區,1,20,0.43
15639,2022-06-19,台中市,潭子區,1,19,0.43
15890,2022-06-17,台中市,潭子區,1,18,0.43
16278,2022-06-14,台中市,潭子區,1,17,0.57
16647,2022-06-11,台中市,潭子區,1,16,0.71
16771,2022-06-10,台中市,潭子區,2,15,0.57
17271,2022-06-06,台中市,潭子區,2,13,0.71
17740,2022-06-02,台中市,潭子區,1,11,0.71
17858,2022-06-01,台中市,潭子區,1,10,0.57
17990,2022-05-31,台中市,潭子區,1,9,0.57
18441,2022-05-27,台中市,潭子區,2,8,0.86
18638,2022-05-25,台中市,潭子區,1,6,0.71
18821,2022-05-23,台中市,潭子區,1,5,0.57
19003,2022-05-21,台中市,潭子區,2,4,0.57
19149,2022-05-19,台中市,潭子區,1,2,0.29
19410,2022-05-15,台中市,潭子區,1,1,0.14
