UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
140,2023-06-14,台中市,潭子區,1,48125,0.14
676,2023-03-20,台中市,潭子區,7,48124,34.00
965,2023-03-19,台中市,潭子區,23,48117,40.14
1294,2023-03-18,台中市,潭子區,43,48094,42.71
1633,2023-03-17,台中市,潭子區,41,48051,43.29
1986,2023-03-16,台中市,潭子區,48,48010,43.00
2338,2023-03-15,台中市,潭子區,39,47962,42.14
2689,2023-03-14,台中市,潭子區,37,47923,44.86
3047,2023-03-13,台中市,潭子區,50,47886,45.43
3405,2023-03-12,台中市,潭子區,41,47836,47.29
3751,2023-03-11,台中市,潭子區,47,47795,47.14
4103,2023-03-10,台中市,潭子區,39,47748,48.57
4459,2023-03-09,台中市,潭子區,42,47709,51.43
4818,2023-03-08,台中市,潭子區,58,47667,56.43
5171,2023-03-07,台中市,潭子區,41,47609,57.43
5531,2023-03-06,台中市,潭子區,63,47568,61.86
5895,2023-03-05,台中市,潭子區,40,47505,58.00
6234,2023-03-04,台中市,潭子區,57,47465,57.57
6587,2023-03-03,台中市,潭子區,59,47408,54.86
6946,2023-03-02,台中市,潭子區,77,47349,55.29
7310,2023-03-01,台中市,潭子區,65,47272,52.43
7681,2023-02-28,台中市,潭子區,72,47207,55.14
8044,2023-02-27,台中市,潭子區,36,47135,57.00
8403,2023-02-26,台中市,潭子區,37,47099,67.57
8747,2023-02-25,台中市,潭子區,38,47062,70.29
9117,2023-02-24,台中市,潭子區,62,47024,77.86
9478,2023-02-23,台中市,潭子區,57,46962,78.00
9849,2023-02-22,台中市,潭子區,84,46905,80.86
10223,2023-02-21,台中市,潭子區,85,46821,78.43
10593,2023-02-20,台中市,潭子區,110,46736,79.43
10972,2023-02-19,台中市,潭子區,56,46626,77.43
11331,2023-02-18,台中市,潭子區,91,46570,77.43
11697,2023-02-17,台中市,潭子區,63,46479,77.00
12070,2023-02-16,台中市,潭子區,77,46416,78.00
12445,2023-02-15,台中市,潭子區,67,46339,77.43
12818,2023-02-14,台中市,潭子區,92,46272,81.14
13190,2023-02-13,台中市,潭子區,96,46180,82.00
13568,2023-02-12,台中市,潭子區,56,46084,89.57
13926,2023-02-11,台中市,潭子區,88,46028,91.57
14298,2023-02-10,台中市,潭子區,70,45940,92.14
14671,2023-02-09,台中市,潭子區,73,45870,100.14
15048,2023-02-08,台中市,潭子區,93,45797,109.86
15427,2023-02-07,台中市,潭子區,98,45704,117.57
15806,2023-02-06,台中市,潭子區,149,45606,123.14
16187,2023-02-05,台中市,潭子區,70,45457,126.14
16556,2023-02-04,台中市,潭子區,92,45387,130.00
16935,2023-02-03,台中市,潭子區,126,45295,132.43
17321,2023-02-02,台中市,潭子區,141,45169,134.86
17704,2023-02-01,台中市,潭子區,147,45028,124.00
18081,2023-01-31,台中市,潭子區,137,44881,116.14
18466,2023-01-30,台中市,潭子區,170,44744,106.43
18855,2023-01-29,台中市,潭子區,97,44574,92.57
19231,2023-01-28,台中市,潭子區,109,44477,84.86
19610,2023-01-27,台中市,潭子區,143,44368,79.71
19988,2023-01-26,台中市,潭子區,65,44225,69.57
20365,2023-01-25,台中市,潭子區,92,44160,72.43
20730,2023-01-24,台中市,潭子區,69,44068,68.86
21105,2023-01-23,台中市,潭子區,73,43999,71.43
21472,2023-01-22,台中市,潭子區,43,43926,72.43
21836,2023-01-21,台中市,潭子區,73,43883,76.43
22208,2023-01-20,台中市,潭子區,72,43810,79.14
22575,2023-01-19,台中市,潭子區,85,43738,80.57
22946,2023-01-18,台中市,潭子區,67,43653,83.00
23317,2023-01-17,台中市,潭子區,87,43586,87.43
23682,2023-01-16,台中市,潭子區,80,43499,92.86
24058,2023-01-15,台中市,潭子區,71,43419,102.71
24424,2023-01-14,台中市,潭子區,92,43348,101.71
24793,2023-01-13,台中市,潭子區,82,43256,103.57
25161,2023-01-12,台中市,潭子區,102,43174,107.71
25536,2023-01-11,台中市,潭子區,98,43072,114.71
25912,2023-01-10,台中市,潭子區,125,42974,122.43
26284,2023-01-09,台中市,潭子區,149,42849,126.29
26662,2023-01-08,台中市,潭子區,64,42700,125.86
27019,2023-01-07,台中市,潭子區,105,42636,126.00
27391,2023-01-06,台中市,潭子區,111,42531,133.43
27767,2023-01-05,台中市,潭子區,151,42420,132.43
28147,2023-01-04,台中市,潭子區,152,42269,131.14
28528,2023-01-03,台中市,潭子區,152,42117,132.43
28909,2023-01-02,台中市,潭子區,146,41965,132.71
29281,2023-01-01,台中市,潭子區,65,41819,129.57
29643,2022-12-31,台中市,潭子區,157,41754,128.57
30009,2022-12-30,台中市,潭子區,104,41597,120.86
30381,2022-12-29,台中市,潭子區,142,41493,120.57
30753,2022-12-28,台中市,潭子區,161,41351,112.43
31124,2022-12-27,台中市,潭子區,154,41190,102.86
31501,2022-12-26,台中市,潭子區,124,41036,92.71
31873,2022-12-25,台中市,潭子區,58,40912,87.00
32227,2022-12-24,台中市,潭子區,103,40854,84.14
32587,2022-12-23,台中市,潭子區,102,40751,79.00
32951,2022-12-22,台中市,潭子區,85,40649,75.00
33318,2022-12-21,台中市,潭子區,94,40564,72.86
33688,2022-12-20,台中市,潭子區,83,40470,69.57
34051,2022-12-19,台中市,潭子區,84,40387,71.57
34422,2022-12-18,台中市,潭子區,38,40303,74.43
34770,2022-12-17,台中市,潭子區,67,40265,78.57
35130,2022-12-16,台中市,潭子區,74,40198,81.86
35495,2022-12-15,台中市,潭子區,70,40124,81.43
35866,2022-12-14,台中市,潭子區,71,40054,83.00
36225,2022-12-13,台中市,潭子區,97,39983,83.71
36599,2022-12-12,台中市,潭子區,104,39886,80.29
36970,2022-12-11,台中市,潭子區,67,39782,77.86
37322,2022-12-10,台中市,潭子區,90,39715,74.43
37691,2022-12-09,台中市,潭子區,71,39625,72.29
38056,2022-12-08,台中市,潭子區,81,39554,71.43
