UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4276,2023-06-14,台中市,烏日區,25-29,3202
4277,2023-06-14,台中市,烏日區,35-39,3518
4278,2023-06-14,台中市,烏日區,4,428
4279,2023-06-14,台中市,烏日區,40-44,3354
4280,2023-06-14,台中市,烏日區,55-59,1770
4281,2023-03-20,台中市,烏日區,30-34,3455
4282,2023-03-19,台中市,烏日區,20-24,2303
4283,2023-03-19,台中市,烏日區,70+,2344
4284,2023-03-19,台中市,烏日區,60-64,1583
4285,2023-03-19,台中市,烏日區,1,377
4286,2023-03-19,台中市,烏日區,45-49,2448
4287,2023-03-18,台中市,烏日區,10-14,1919
4288,2023-03-18,台中市,烏日區,15-19,1943
4289,2023-03-18,台中市,烏日區,50-54,1921
4290,2023-03-18,台中市,烏日區,5-9,2376
4291,2023-03-17,台中市,烏日區,65-69,1249
4292,2023-03-16,台中市,烏日區,2,369
4293,2023-03-15,台中市,烏日區,0,300
4294,2023-03-08,台中市,烏日區,3,395
