UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
111,2023-04-10,台中市,烏日區,1,64,0.14
642,2023-03-16,台中市,烏日區,1,63,0.14
997,2023-03-08,台中市,烏日區,1,62,0.29
1042,2023-03-07,台中市,烏日區,1,61,0.14
1414,2023-02-28,台中市,烏日區,1,60,0.14
1933,2023-02-19,台中市,烏日區,1,59,0.14
2367,2023-02-12,台中市,烏日區,1,58,0.14
3575,2023-01-23,台中市,烏日區,1,57,0.14
4025,2023-01-14,台中市,烏日區,1,56,0.29
4214,2023-01-10,台中市,烏日區,1,55,0.29
4407,2023-01-06,台中市,烏日區,1,54,0.14
4844,2022-12-28,台中市,烏日區,1,53,0.14
5233,2022-12-18,台中市,烏日區,1,52,0.29
5430,2022-12-13,台中市,烏日區,1,51,0.57
5481,2022-12-11,台中市,烏日區,1,50,0.43
5612,2022-12-08,台中市,烏日區,1,49,0.29
5652,2022-12-07,台中市,烏日區,1,48,0.14
6062,2022-11-26,台中市,烏日區,1,47,0.14
6441,2022-11-18,台中市,烏日區,1,46,0.14
6938,2022-11-09,台中市,烏日區,1,45,0.14
7667,2022-10-28,台中市,烏日區,1,44,0.29
7884,2022-10-25,台中市,烏日區,1,43,0.14
8733,2022-10-13,台中市,烏日區,1,42,0.29
8807,2022-10-12,台中市,烏日區,1,41,0.14
9663,2022-09-29,台中市,烏日區,1,40,0.14
10398,2022-09-16,台中市,烏日區,1,39,0.29
10559,2022-09-13,台中市,烏日區,1,38,0.14
11027,2022-09-03,台中市,烏日區,1,37,0.14
11345,2022-08-26,台中市,烏日區,1,36,0.14
12386,2022-07-31,台中市,烏日區,1,35,0.43
12539,2022-07-28,台中市,烏日區,1,34,0.43
12657,2022-07-26,台中市,烏日區,1,33,0.43
12767,2022-07-24,台中市,烏日區,1,32,0.29
12994,2022-07-20,台中市,烏日區,1,31,0.14
13745,2022-07-09,台中市,烏日區,1,30,0.43
13819,2022-07-08,台中市,烏日區,1,29,0.29
14164,2022-07-04,台中市,烏日區,1,28,0.71
14432,2022-07-01,台中市,烏日區,1,27,0.71
14623,2022-06-29,台中市,烏日區,2,26,0.86
14720,2022-06-28,台中市,烏日區,1,24,0.57
14823,2022-06-27,台中市,烏日區,1,23,0.43
15112,2022-06-24,台中市,烏日區,1,22,0.43
15219,2022-06-23,台中市,烏日區,1,21,0.43
15785,2022-06-18,台中市,烏日區,1,20,1.29
15924,2022-06-17,台中市,烏日區,1,19,1.43
16041,2022-06-16,台中市,烏日區,1,18,1.29
16171,2022-06-15,台中市,烏日區,2,17,1.14
16303,2022-06-14,台中市,烏日區,2,15,0.86
16430,2022-06-13,台中市,烏日區,1,13,0.71
16544,2022-06-12,台中市,烏日區,1,12,0.57
16672,2022-06-11,台中市,烏日區,2,11,0.43
17158,2022-06-07,台中市,烏日區,1,9,0.57
17521,2022-06-04,台中市,烏日區,1,8,0.86
17655,2022-06-03,台中市,烏日區,1,7,0.86
17759,2022-06-02,台中市,烏日區,1,6,0.71
18012,2022-05-31,台中市,烏日區,2,5,0.71
18140,2022-05-30,台中市,烏日區,1,3,0.43
18357,2022-05-28,台中市,烏日區,1,2,0.29
18664,2022-05-25,台中市,烏日區,1,1,0.14
