UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4713,2023-03-19,台中市,石岡區,30-34,354
4714,2023-03-19,台中市,石岡區,40-44,374
4715,2023-03-19,台中市,石岡區,65-69,253
4716,2023-03-19,台中市,石岡區,70+,487
4717,2023-03-18,台中市,石岡區,0,30
4718,2023-03-18,台中市,石岡區,25-29,332
4719,2023-03-18,台中市,石岡區,15-19,258
4720,2023-03-17,台中市,石岡區,35-39,342
4721,2023-03-17,台中市,石岡區,55-59,307
4722,2023-03-17,台中市,石岡區,60-64,292
4723,2023-03-17,台中市,石岡區,10-14,220
4724,2023-03-14,台中市,石岡區,45-49,284
4725,2023-03-13,台中市,石岡區,20-24,322
4726,2023-03-11,台中市,石岡區,3,51
4727,2023-03-02,台中市,石岡區,50-54,303
4728,2023-03-01,台中市,石岡區,5-9,254
4729,2023-02-15,台中市,石岡區,1,44
4730,2023-02-15,台中市,石岡區,4,44
4731,2023-02-05,台中市,石岡區,2,39
