UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4257,2023-06-14,台中市,神岡區,55-59,1443
4258,2023-06-14,台中市,神岡區,35-39,2533
4259,2023-06-14,台中市,神岡區,30-34,2453
4260,2023-06-14,台中市,神岡區,25-29,2517
4261,2023-03-21,台中市,神岡區,15-19,1664
4262,2023-03-21,台中市,神岡區,50-54,1422
4263,2023-03-20,台中市,神岡區,70+,1749
4264,2023-03-20,台中市,神岡區,40-44,2480
4265,2023-03-20,台中市,神岡區,20-24,1993
4266,2023-03-18,台中市,神岡區,65-69,1087
4267,2023-03-18,台中市,神岡區,5-9,1744
4268,2023-03-18,台中市,神岡區,45-49,1750
4269,2023-03-17,台中市,神岡區,60-64,1416
4270,2023-03-17,台中市,神岡區,10-14,1707
4271,2023-03-17,台中市,神岡區,3,279
4272,2023-03-16,台中市,神岡區,2,281
4273,2023-03-14,台中市,神岡區,1,274
4274,2023-03-08,台中市,神岡區,4,323
4275,2023-03-07,台中市,神岡區,0,188
