UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
473,2023-03-20,台中市,西區,1,80,0.14
764,2023-03-13,台中市,西區,1,79,0.14
1462,2023-02-27,台中市,西區,1,78,0.43
1771,2023-02-22,台中市,西區,1,77,0.57
1825,2023-02-21,台中市,西區,1,76,0.57
1930,2023-02-19,台中市,西區,1,75,0.71
2046,2023-02-17,台中市,西區,1,74,0.71
2170,2023-02-15,台中市,西區,1,73,0.71
2236,2023-02-14,台中市,西區,1,72,0.71
2300,2023-02-13,台中市,西區,1,71,0.57
2362,2023-02-12,台中市,西區,1,70,0.57
2557,2023-02-09,台中市,西區,1,69,0.71
2631,2023-02-08,台中市,西區,1,68,0.57
2767,2023-02-06,台中市,西區,1,67,0.43
2828,2023-02-05,台中市,西區,1,66,0.29
2939,2023-02-03,台中市,西區,1,65,0.14
3758,2023-01-19,台中市,西區,1,64,0.43
4021,2023-01-14,台中市,西區,1,63,0.43
4070,2023-01-13,台中市,西區,1,62,0.29
4306,2023-01-08,台中市,西區,1,61,0.14
4886,2022-12-27,台中市,西區,1,60,0.29
4936,2022-12-26,台中市,西區,1,59,0.29
5151,2022-12-20,台中市,西區,1,58,0.29
5230,2022-12-18,台中市,西區,1,57,0.14
5647,2022-12-07,台中市,西區,1,56,0.29
5787,2022-12-03,台中市,西區,1,55,0.14
6200,2022-11-23,台中市,西區,1,54,0.14
7279,2022-11-03,台中市,西區,1,53,0.57
7340,2022-11-02,台中市,西區,1,52,0.57
7405,2022-11-01,台中市,西區,1,51,0.43
7662,2022-10-28,台中市,西區,1,50,0.71
7735,2022-10-27,台中市,西區,1,49,0.57
7876,2022-10-25,台中市,西區,1,48,0.43
7947,2022-10-24,台中市,西區,1,47,0.43
8091,2022-10-22,台中市,西區,1,46,0.29
8375,2022-10-18,台中市,西區,1,45,0.29
8725,2022-10-13,台中市,西區,1,44,0.43
8869,2022-10-11,台中市,西區,1,43,0.29
8934,2022-10-10,台中市,西區,1,42,0.14
9404,2022-10-03,台中市,西區,1,41,0.14
10391,2022-09-16,台中市,西區,1,40,0.29
10447,2022-09-15,台中市,西區,1,39,0.14
10810,2022-09-08,台中市,西區,1,38,0.43
10972,2022-09-04,台中市,西區,1,37,0.71
11062,2022-09-02,台中市,西區,1,36,0.57
11096,2022-09-01,台中市,西區,2,35,0.43
11130,2022-08-31,台中市,西區,1,33,0.14
11418,2022-08-24,台中市,西區,1,32,0.14
11668,2022-08-17,台中市,西區,1,31,0.29
11894,2022-08-11,台中市,西區,1,30,0.29
12057,2022-08-07,台中市,西區,1,29,0.14
12477,2022-07-29,台中市,西區,1,28,0.14
13453,2022-07-13,台中市,西區,1,27,0.43
13810,2022-07-08,台中市,西區,2,26,0.57
14054,2022-07-05,台中市,西區,1,24,0.29
14321,2022-07-02,台中市,西區,1,23,0.57
14710,2022-06-28,台中市,西區,1,22,0.86
14805,2022-06-27,台中市,西區,1,21,0.86
14915,2022-06-26,台中市,西區,1,20,0.71
15100,2022-06-24,台中市,西區,1,19,0.71
15204,2022-06-23,台中市,西區,1,18,0.86
15320,2022-06-22,台中市,西區,1,17,0.86
15432,2022-06-21,台中市,西區,1,16,0.86
15767,2022-06-18,台中市,西區,1,15,0.86
15906,2022-06-17,台中市,西區,2,14,1.00
16034,2022-06-16,台中市,西區,1,12,0.86
16155,2022-06-15,台中市,西區,1,11,0.71
16536,2022-06-12,台中市,西區,1,10,0.86
16664,2022-06-11,台中市,西區,2,9,0.71
16787,2022-06-10,台中市,西區,1,7,0.57
17023,2022-06-08,台中市,西區,1,6,0.43
17281,2022-06-06,台中市,西區,1,5,0.29
17512,2022-06-04,台中市,西區,1,4,0.29
18127,2022-05-30,台中市,西區,1,3,0.14
18920,2022-05-22,台中市,西區,1,2,0.29
19088,2022-05-20,台中市,西區,1,1,0.14
