UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
543,2023-03-21,台中市,西區,1,48335,30.43
748,2023-03-20,台中市,西區,17,48334,37.71
1047,2023-03-19,台中市,西區,18,48317,41.86
1375,2023-03-18,台中市,西區,55,48299,41.86
1716,2023-03-17,台中市,西區,36,48244,39.43
2069,2023-03-16,台中市,西區,47,48208,40.86
2423,2023-03-15,台中市,西區,39,48161,40.86
2772,2023-03-14,台中市,西區,52,48122,41.43
3131,2023-03-13,台中市,西區,46,48070,40.29
3485,2023-03-12,台中市,西區,18,48024,42.29
3835,2023-03-11,台中市,西區,38,48006,44.00
4185,2023-03-10,台中市,西區,46,47968,43.86
4542,2023-03-09,台中市,西區,47,47922,44.00
4899,2023-03-08,台中市,西區,43,47875,48.29
5254,2023-03-07,台中市,西區,44,47832,51.00
5616,2023-03-06,台中市,西區,60,47788,53.86
5977,2023-03-05,台中市,西區,30,47728,53.86
6316,2023-03-04,台中市,西區,37,47698,53.14
6670,2023-03-03,台中市,西區,47,47661,56.00
7030,2023-03-02,台中市,西區,77,47614,59.14
7394,2023-03-01,台中市,西區,62,47537,55.14
7766,2023-02-28,台中市,西區,64,47475,53.71
8130,2023-02-27,台中市,西區,60,47411,54.71
8485,2023-02-26,台中市,西區,25,47351,58.00
8833,2023-02-25,台中市,西區,57,47326,61.86
9202,2023-02-24,台中市,西區,69,47269,62.43
9564,2023-02-23,台中市,西區,49,47200,63.29
9934,2023-02-22,台中市,西區,52,47151,65.14
10309,2023-02-21,台中市,西區,71,47099,67.71
10679,2023-02-20,台中市,西區,83,47028,72.86
11056,2023-02-19,台中市,西區,52,46945,77.00
11416,2023-02-18,台中市,西區,61,46893,78.71
11783,2023-02-17,台中市,西區,75,46832,81.14
12156,2023-02-16,台中市,西區,62,46757,83.14
12530,2023-02-15,台中市,西區,70,46695,88.57
12903,2023-02-14,台中市,西區,107,46625,94.00
13275,2023-02-13,台中市,西區,112,46518,96.57
13654,2023-02-12,台中市,西區,64,46406,97.14
14011,2023-02-11,台中市,西區,78,46342,101.43
14383,2023-02-10,台中市,西區,89,46264,105.14
14756,2023-02-09,台中市,西區,100,46175,110.43
15134,2023-02-08,台中市,西區,108,46075,117.71
15514,2023-02-07,台中市,西區,125,45967,122.86
15892,2023-02-06,台中市,西區,116,45842,128.86
16271,2023-02-05,台中市,西區,94,45726,137.14
16642,2023-02-04,台中市,西區,104,45632,140.71
17022,2023-02-03,台中市,西區,126,45528,146.00
17407,2023-02-02,台中市,西區,151,45402,149.29
17790,2023-02-01,台中市,西區,144,45251,147.14
18168,2023-01-31,台中市,西區,167,45107,141.86
18552,2023-01-30,台中市,西區,174,44940,129.71
18939,2023-01-29,台中市,西區,119,44766,114.43
19317,2023-01-28,台中市,西區,141,44647,107.00
19694,2023-01-27,台中市,西區,149,44506,99.29
20074,2023-01-26,台中市,西區,136,44357,96.29
20447,2023-01-25,台中市,西區,107,44221,93.43
20814,2023-01-24,台中市,西區,82,44114,92.57
21188,2023-01-23,台中市,西區,67,44032,97.71
21556,2023-01-22,台中市,西區,67,43965,104.14
21921,2023-01-21,台中市,西區,87,43898,106.57
22294,2023-01-20,台中市,西區,128,43811,111.57
22660,2023-01-19,台中市,西區,116,43683,108.57
23033,2023-01-18,台中市,西區,101,43567,107.29
23401,2023-01-17,台中市,西區,118,43466,110.86
23768,2023-01-16,台中市,西區,112,43348,112.86
24143,2023-01-15,台中市,西區,84,43236,115.14
24509,2023-01-14,台中市,西區,122,43152,116.43
24876,2023-01-13,台中市,西區,107,43030,115.57
25245,2023-01-12,台中市,西區,107,42923,120.71
25620,2023-01-11,台中市,西區,126,42816,127.14
25996,2023-01-10,台中市,西區,132,42690,131.29
26369,2023-01-09,台中市,西區,128,42558,139.14
26744,2023-01-08,台中市,西區,93,42430,137.29
27105,2023-01-07,台中市,西區,116,42337,138.71
27476,2023-01-06,台中市,西區,143,42221,139.14
27853,2023-01-05,台中市,西區,152,42078,137.71
28232,2023-01-04,台中市,西區,155,41926,136.14
28613,2023-01-03,台中市,西區,187,41771,136.57
28993,2023-01-02,台中市,西區,115,41584,129.14
29367,2023-01-01,台中市,西區,103,41469,130.57
29728,2022-12-31,台中市,西區,119,41366,125.14
30093,2022-12-30,台中市,西區,133,41247,118.71
30468,2022-12-29,台中市,西區,141,41114,114.14
30839,2022-12-28,台中市,西區,158,40973,109.86
31209,2022-12-27,台中市,西區,135,40815,102.00
31585,2022-12-26,台中市,西區,125,40680,96.86
31954,2022-12-25,台中市,西區,65,40555,94.29
32311,2022-12-24,台中市,西區,74,40490,96.00
32670,2022-12-23,台中市,西區,101,40416,97.00
33036,2022-12-22,台中市,西區,111,40315,97.29
33402,2022-12-21,台中市,西區,103,40204,94.57
33771,2022-12-20,台中市,西區,99,40101,95.29
34136,2022-12-19,台中市,西區,107,40002,96.00
34505,2022-12-18,台中市,西區,77,39895,97.43
34853,2022-12-17,台中市,西區,81,39818,95.86
35215,2022-12-16,台中市,西區,103,39737,97.43
35579,2022-12-15,台中市,西區,92,39634,95.14
35948,2022-12-14,台中市,西區,108,39542,94.86
36307,2022-12-13,台中市,西區,104,39434,91.57
36685,2022-12-12,台中市,西區,117,39330,88.71
37051,2022-12-11,台中市,西區,66,39213,84.86
37407,2022-12-10,台中市,西區,92,39147,81.29
37776,2022-12-09,台中市,西區,87,39055,77.14
38140,2022-12-08,台中市,西區,90,38968,75.29
38513,2022-12-07,台中市,西區,85,38878,73.00
38884,2022-12-06,台中市,西區,84,38793,73.43
39258,2022-12-05,台中市,西區,90,38709,76.00
39635,2022-12-04,台中市,西區,41,38619,77.00
40000,2022-12-03,台中市,西區,63,38578,79.71
40371,2022-12-02,台中市,西區,74,38515,80.86
40736,2022-12-01,台中市,西區,74,38441,79.71
41109,2022-11-30,台中市,西區,88,38367,80.14
41481,2022-11-29,台中市,西區,102,38279,79.71
41861,2022-11-28,台中市,西區,97,38177,81.43
42238,2022-11-27,台中市,西區,60,38080,82.86
42596,2022-11-26,台中市,西區,71,38020,85.71
42956,2022-11-25,台中市,西區,66,37949,86.00
43325,2022-11-24,台中市,西區,77,37883,88.71
43694,2022-11-23,台中市,西區,85,37806,89.43
44068,2022-11-22,台中市,西區,114,37721,91.71
44443,2022-11-21,台中市,西區,107,37607,94.00
44823,2022-11-20,台中市,西區,80,37500,91.43
45188,2022-11-19,台中市,西區,73,37420,91.43
45561,2022-11-18,台中市,西區,85,37347,92.71
45934,2022-11-17,台中市,西區,82,37262,95.29
46306,2022-11-16,台中市,西區,101,37180,97.00
46688,2022-11-15,台中市,西區,130,37079,99.71
