UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4238,2023-06-14,台中市,西屯區,25-29,14372
4239,2023-06-14,台中市,西屯區,35-39,10841
4240,2023-06-14,台中市,西屯區,55-59,5413
4241,2023-06-14,台中市,西屯區,10-14,5817
4242,2023-06-14,台中市,西屯區,50-54,6564
4243,2023-03-21,台中市,西屯區,45-49,7991
4244,2023-03-21,台中市,西屯區,70+,5182
4245,2023-03-21,台中市,西屯區,15-19,6217
4246,2023-03-21,台中市,西屯區,20-24,12103
4247,2023-03-21,台中市,西屯區,30-34,12548
4248,2023-03-20,台中市,西屯區,60-64,4488
4249,2023-03-20,台中市,西屯區,65-69,3422
4250,2023-03-20,台中市,西屯區,40-44,10852
4251,2023-03-19,台中市,西屯區,2,936
4252,2023-03-19,台中市,西屯區,1,939
4253,2023-03-19,台中市,西屯區,5-9,6532
4254,2023-03-18,台中市,西屯區,3,984
4255,2023-03-17,台中市,西屯區,4,1099
4256,2023-03-15,台中市,西屯區,0,681
