UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
35,2023-05-11,台中市,西屯區,1,134,0.14
424,2023-03-21,台中市,西屯區,2,133,0.57
498,2023-03-19,台中市,西屯區,1,131,0.29
579,2023-03-17,台中市,西屯區,1,130,0.14
873,2023-03-10,台中市,西屯區,1,129,0.29
1169,2023-03-04,台中市,西屯區,1,128,0.29
1332,2023-03-01,台中市,西屯區,1,127,0.43
1562,2023-02-25,台中市,西屯區,2,126,0.43
1911,2023-02-19,台中市,西屯區,1,124,0.29
1960,2023-02-18,台中市,西屯區,1,123,0.14
2396,2023-02-11,台中市,西屯區,1,122,0.71
2527,2023-02-09,台中市,西屯區,1,121,0.71
2592,2023-02-08,台中市,西屯區,1,120,0.57
2737,2023-02-06,台中市,西屯區,2,119,0.43
2912,2023-02-03,台中市,西屯區,1,117,0.29
3167,2023-01-30,台中市,西屯區,1,116,0.57
3382,2023-01-26,台中市,西屯區,1,115,0.43
3437,2023-01-25,台中市,西屯區,1,114,0.29
3496,2023-01-24,台中市,西屯區,1,113,0.29
3785,2023-01-18,台中市,西屯區,1,112,0.43
3879,2023-01-16,台中市,西屯區,1,111,0.29
3931,2023-01-15,台中市,西屯區,1,110,0.29
4240,2023-01-09,台中市,西屯區,1,109,0.14
4699,2022-12-31,台中市,西屯區,1,108,0.43
4830,2022-12-28,台中市,西屯區,1,107,0.43
4918,2022-12-26,台中市,西屯區,1,106,0.29
5061,2022-12-22,台中市,西屯區,1,105,0.29
5177,2022-12-19,台中市,西屯區,1,104,0.14
5442,2022-12-12,台中市,西屯區,1,103,0.14
5705,2022-12-05,台中市,西屯區,1,102,0.43
5812,2022-12-02,台中市,西屯區,1,101,0.29
5930,2022-11-29,台中市,西屯區,1,100,0.14
6265,2022-11-21,台中市,西屯區,1,99,0.43
6367,2022-11-19,台中市,西屯區,1,98,0.57
6559,2022-11-15,台中市,西屯區,1,97,0.86
6664,2022-11-13,台中市,西屯區,2,96,0.71
6786,2022-11-11,台中市,西屯區,1,94,0.57
6842,2022-11-10,台中市,西屯區,2,93,0.43
7141,2022-11-05,台中市,西屯區,1,91,0.71
7259,2022-11-03,台中市,西屯區,1,90,0.57
7447,2022-10-31,台中市,西屯區,2,89,0.57
7509,2022-10-30,台中市,西屯區,1,87,0.43
7773,2022-10-26,台中市,西屯區,1,86,0.57
7914,2022-10-24,台中市,西屯區,1,85,0.43
7984,2022-10-23,台中市,西屯區,1,84,0.43
8126,2022-10-21,台中市,西屯區,1,83,0.29
8417,2022-10-17,台中市,西屯區,1,82,0.43
8621,2022-10-14,台中市,西屯區,1,81,0.57
8837,2022-10-11,台中市,西屯區,1,80,0.86
8976,2022-10-09,台中市,西屯區,1,79,0.86
9036,2022-10-08,台中市,西屯區,1,78,0.86
9095,2022-10-07,台中市,西屯區,2,77,0.71
9225,2022-10-05,台中市,西屯區,1,75,0.57
9373,2022-10-03,台中市,西屯區,1,74,0.57
9447,2022-10-02,台中市,西屯區,1,73,0.43
9630,2022-09-29,台中市,西屯區,1,72,0.29
9743,2022-09-27,台中市,西屯區,1,71,0.43
10041,2022-09-22,台中市,西屯區,1,70,0.71
10109,2022-09-21,台中市,西屯區,1,69,0.57
10204,2022-09-19,台中市,西屯區,1,68,0.43
10302,2022-09-17,台中市,西屯區,1,67,0.29
10363,2022-09-16,台中市,西屯區,1,66,0.14
11083,2022-09-01,台中市,西屯區,1,65,0.29
11253,2022-08-28,台中市,西屯區,1,64,0.14
11915,2022-08-10,台中市,西屯區,1,63,0.57
12048,2022-08-07,台中市,西屯區,1,62,0.43
12120,2022-08-05,台中市,西屯區,1,61,0.43
12158,2022-08-04,台中市,西屯區,1,60,0.29
12409,2022-07-30,台中市,西屯區,1,59,0.57
12563,2022-07-27,台中市,西屯區,2,58,0.57
12620,2022-07-26,台中市,西屯區,1,56,0.57
12850,2022-07-22,台中市,西屯區,1,55,1.00
12963,2022-07-20,台中市,西屯區,2,54,0.86
13092,2022-07-18,台中市,西屯區,2,52,0.86
13216,2022-07-16,台中市,西屯區,2,50,0.71
13423,2022-07-13,台中市,西屯區,1,48,0.86
13494,2022-07-12,台中市,西屯區,1,47,0.71
13641,2022-07-10,台中市,西屯區,1,46,0.57
13706,2022-07-09,台中市,西屯區,1,45,0.57
13776,2022-07-08,台中市,西屯區,1,44,0.43
13844,2022-07-07,台中市,西屯區,1,43,0.29
14201,2022-07-03,台中市,西屯區,1,42,0.57
14467,2022-06-30,台中市,西屯區,1,41,0.71
14666,2022-06-28,台中市,西屯區,1,40,1.00
14759,2022-06-27,台中市,西屯區,1,39,0.86
14868,2022-06-26,台中市,西屯區,1,38,0.71
15058,2022-06-24,台中市,西屯區,1,37,1.00
15148,2022-06-23,台中市,西屯區,2,36,1.00
15272,2022-06-22,台中市,西屯區,1,34,0.86
15721,2022-06-18,台中市,西屯區,3,33,1.43
15841,2022-06-17,台中市,西屯區,1,30,1.00
15978,2022-06-16,台中市,西屯區,1,29,1.00
16094,2022-06-15,台中市,西屯區,1,28,0.86
16230,2022-06-14,台中市,西屯區,2,27,0.86
16362,2022-06-13,台中市,西屯區,1,25,0.86
16480,2022-06-12,台中市,西屯區,1,24,1.14
16734,2022-06-10,台中市,西屯區,1,23,1.14
16963,2022-06-08,台中市,西屯區,1,22,1.14
17095,2022-06-07,台中市,西屯區,2,21,1.29
17222,2022-06-06,台中市,西屯區,3,19,1.14
17456,2022-06-04,台中市,西屯區,1,16,1.00
17585,2022-06-03,台中市,西屯區,1,15,0.86
17812,2022-06-01,台中市,西屯區,2,14,1.14
17946,2022-05-31,台中市,西屯區,1,12,1.00
18071,2022-05-30,台中市,西屯區,2,11,1.00
18410,2022-05-27,台中市,西屯區,1,9,0.86
18504,2022-05-26,台中市,西屯區,2,8,0.86
18608,2022-05-25,台中市,西屯區,1,6,0.57
18702,2022-05-24,台中市,西屯區,1,5,0.57
18788,2022-05-23,台中市,西屯區,1,4,0.43
19053,2022-05-20,台中市,西屯區,1,3,0.29
19194,2022-05-18,台中市,西屯區,1,2,0.14
20503,2021-06-09,台中市,西屯區,1,1,0.14
