UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
127,2023-06-14,台中市,西屯區,5,116981,0.71
339,2023-04-19,台中市,西屯區,1,116976,0.14
507,2023-03-21,台中市,西屯區,7,116975,69.57
660,2023-03-20,台中市,西屯區,35,116968,85.57
947,2023-03-19,台中市,西屯區,61,116933,96.86
1275,2023-03-18,台中市,西屯區,85,116872,100.14
1615,2023-03-17,台中市,西屯區,98,116787,101.57
1967,2023-03-16,台中市,西屯區,105,116689,101.43
2320,2023-03-15,台中市,西屯區,96,116584,101.00
2671,2023-03-14,台中市,西屯區,119,116488,105.43
3028,2023-03-13,台中市,西屯區,114,116369,107.57
3387,2023-03-12,台中市,西屯區,84,116255,110.57
3732,2023-03-11,台中市,西屯區,95,116171,110.43
4085,2023-03-10,台中市,西屯區,97,116076,117.86
4440,2023-03-09,台中市,西屯區,102,115979,123.00
4799,2023-03-08,台中市,西屯區,127,115877,128.43
5153,2023-03-07,台中市,西屯區,134,115750,137.00
5512,2023-03-06,台中市,西屯區,135,115616,141.00
5877,2023-03-05,台中市,西屯區,83,115481,139.29
6216,2023-03-04,台中市,西屯區,147,115398,139.14
6568,2023-03-03,台中市,西屯區,133,115251,136.00
6927,2023-03-02,台中市,西屯區,140,115118,137.71
7291,2023-03-01,台中市,西屯區,187,114978,135.29
7662,2023-02-28,台中市,西屯區,162,114791,133.00
8025,2023-02-27,台中市,西屯區,123,114629,134.29
8384,2023-02-26,台中市,西屯區,82,114506,145.71
8729,2023-02-25,台中市,西屯區,125,114424,155.71
9099,2023-02-24,台中市,西屯區,145,114299,164.86
9460,2023-02-23,台中市,西屯區,123,114154,171.43
9830,2023-02-22,台中市,西屯區,171,114031,180.14
10205,2023-02-21,台中市,西屯區,171,113860,183.43
10574,2023-02-20,台中市,西屯區,203,113689,190.43
10954,2023-02-19,台中市,西屯區,152,113486,195.71
11312,2023-02-18,台中市,西屯區,189,113334,192.14
11679,2023-02-17,台中市,西屯區,191,113145,194.86
12051,2023-02-16,台中市,西屯區,184,112954,199.57
12426,2023-02-15,台中市,西屯區,194,112770,199.29
12799,2023-02-14,台中市,西屯區,220,112576,207.43
13171,2023-02-13,台中市,西屯區,240,112356,216.29
13550,2023-02-12,台中市,西屯區,127,112116,221.86
13907,2023-02-11,台中市,西屯區,208,111989,229.86
14279,2023-02-10,台中市,西屯區,224,111781,234.57
14653,2023-02-09,台中市,西屯區,182,111557,243.00
15029,2023-02-08,台中市,西屯區,251,111375,255.14
15408,2023-02-07,台中市,西屯區,282,111124,265.14
15787,2023-02-06,台中市,西屯區,279,110842,274.71
16169,2023-02-05,台中市,西屯區,183,110563,297.57
16537,2023-02-04,台中市,西屯區,241,110380,307.43
16916,2023-02-03,台中市,西屯區,283,110139,316.14
17302,2023-02-02,台中市,西屯區,267,109856,323.43
17685,2023-02-01,台中市,西屯區,321,109589,323.86
18062,2023-01-31,台中市,西屯區,349,109268,306.00
18447,2023-01-30,台中市,西屯區,439,108919,281.57
18836,2023-01-29,台中市,西屯區,252,108480,238.00
19212,2023-01-28,台中市,西屯區,302,108228,216.86
19591,2023-01-27,台中市,西屯區,334,107926,205.00
19969,2023-01-26,台中市,西屯區,270,107592,193.57
20346,2023-01-25,台中市,西屯區,196,107322,185.86
20711,2023-01-24,台中市,西屯區,178,107126,194.00
21086,2023-01-23,台中市,西屯區,134,106948,205.57
21453,2023-01-22,台中市,西屯區,104,106814,222.14
21817,2023-01-21,台中市,西屯區,219,106710,235.57
22189,2023-01-20,台中市,西屯區,254,106491,242.43
22556,2023-01-19,台中市,西屯區,216,106237,242.14
22927,2023-01-18,台中市,西屯區,253,106021,249.00
23299,2023-01-17,台中市,西屯區,259,105768,258.29
23663,2023-01-16,台中市,西屯區,250,105509,262.43
24039,2023-01-15,台中市,西屯區,198,105259,278.43
24406,2023-01-14,台中市,西屯區,267,105061,280.57
24774,2023-01-13,台中市,西屯區,252,104794,281.29
25142,2023-01-12,台中市,西屯區,264,104542,291.43
25517,2023-01-11,台中市,西屯區,318,104278,308.86
25893,2023-01-10,台中市,西屯區,288,103960,330.00
26265,2023-01-09,台中市,西屯區,362,103672,352.71
26644,2023-01-08,台中市,西屯區,213,103310,349.86
27001,2023-01-07,台中市,西屯區,272,103097,348.43
27372,2023-01-06,台中市,西屯區,323,102825,352.71
27748,2023-01-05,台中市,西屯區,386,102502,357.71
28128,2023-01-04,台中市,西屯區,466,102116,354.29
28509,2023-01-03,台中市,西屯區,447,101650,351.43
28891,2023-01-02,台中市,西屯區,342,101203,342.29
29262,2023-01-01,台中市,西屯區,203,100861,342.57
29624,2022-12-31,台中市,西屯區,302,100658,342.71
29990,2022-12-30,台中市,西屯區,358,100356,329.29
30362,2022-12-29,台中市,西屯區,362,99998,316.29
30735,2022-12-28,台中市,西屯區,446,99636,299.57
31105,2022-12-27,台中市,西屯區,383,99190,281.00
31482,2022-12-26,台中市,西屯區,344,98807,263.00
31854,2022-12-25,台中市,西屯區,204,98463,248.29
32208,2022-12-24,台中市,西屯區,208,98259,241.29
32568,2022-12-23,台中市,西屯區,267,98051,236.57
32932,2022-12-22,台中市,西屯區,245,97784,230.71
33299,2022-12-21,台中市,西屯區,316,97539,220.86
33669,2022-12-20,台中市,西屯區,257,97223,208.00
34032,2022-12-19,台中市,西屯區,241,96966,204.57
34403,2022-12-18,台中市,西屯區,155,96725,203.71
34751,2022-12-17,台中市,西屯區,175,96570,203.00
35111,2022-12-16,台中市,西屯區,226,96395,203.29
35476,2022-12-15,台中市,西屯區,176,96169,202.57
35847,2022-12-14,台中市,西屯區,226,95993,205.57
36206,2022-12-13,台中市,西屯區,233,95767,205.00
36580,2022-12-12,台中市,西屯區,235,95534,203.00
36951,2022-12-11,台中市,西屯區,150,95299,204.43
37303,2022-12-10,台中市,西屯區,177,95149,201.71
