UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
348,2023-03-24,台中市,豐原區,1,141,0.43
513,2023-03-19,台中市,豐原區,1,140,0.57
554,2023-03-18,台中市,豐原區,1,139,0.43
595,2023-03-17,台中市,豐原區,1,138,0.29
638,2023-03-16,台中市,豐原區,1,137,0.14
1143,2023-03-05,台中市,豐原區,1,136,0.43
1354,2023-03-01,台中市,豐原區,1,135,0.43
1460,2023-02-27,台中市,豐原區,1,134,0.43
1585,2023-02-25,台中市,豐原區,1,133,0.43
1823,2023-02-21,台中市,豐原區,1,132,0.57
1880,2023-02-20,台中市,豐原區,1,131,0.43
1989,2023-02-18,台中市,豐原區,2,130,0.43
2299,2023-02-13,台中市,豐原區,1,128,0.43
2426,2023-02-11,台中市,豐原區,2,127,0.43
2765,2023-02-06,台中市,豐原區,1,125,0.29
3137,2023-01-31,台中市,豐原區,1,124,0.43
3188,2023-01-30,台中市,豐原區,1,123,0.29
3404,2023-01-26,台中市,豐原區,1,122,0.57
3569,2023-01-23,台中市,豐原區,1,121,0.43
3709,2023-01-20,台中市,豐原區,2,120,0.43
3954,2023-01-15,台中市,豐原區,1,118,0.57
4068,2023-01-13,台中市,豐原區,1,117,0.43
4154,2023-01-11,台中市,豐原區,1,116,0.29
4208,2023-01-10,台中市,豐原區,1,115,0.14
4840,2022-12-28,台中市,豐原區,1,114,0.29
5035,2022-12-23,台中市,豐原區,1,113,0.29
5265,2022-12-17,台中市,豐原區,1,112,0.14
5517,2022-12-10,台中市,豐原區,1,111,0.14
5911,2022-11-30,台中市,豐原區,1,110,0.43
5988,2022-11-28,台中市,豐原區,1,109,0.29
6098,2022-11-25,台中市,豐原區,1,108,0.29
6393,2022-11-19,台中市,豐原區,1,107,0.57
6437,2022-11-18,台中市,豐原區,1,106,0.43
6488,2022-11-17,台中市,豐原區,1,105,0.29
6689,2022-11-13,台中市,豐原區,1,104,0.29
6871,2022-11-10,台中市,豐原區,1,103,0.14
7336,2022-11-02,台中市,豐原區,1,102,0.14
7809,2022-10-26,台中市,豐原區,2,101,0.57
8014,2022-10-23,台中市,豐原區,1,99,0.71
8155,2022-10-21,台中市,豐原區,1,98,0.71
8297,2022-10-19,台中市,豐原區,1,97,0.57
8372,2022-10-18,台中市,豐原區,1,96,0.57
8449,2022-10-17,台中市,豐原區,1,95,0.43
8583,2022-10-15,台中市,豐原區,1,94,0.29
8798,2022-10-12,台中市,豐原區,1,93,0.57
9123,2022-10-07,台中市,豐原區,2,92,0.43
9186,2022-10-06,台中市,豐原區,1,90,0.29
9590,2022-09-30,台中市,豐原區,1,89,0.43
9715,2022-09-28,台中市,豐原區,1,88,0.71
9776,2022-09-27,台中市,豐原區,1,87,0.57
10001,2022-09-23,台中市,豐原區,1,86,0.57
10075,2022-09-22,台中市,豐原區,2,85,0.43
10178,2022-09-20,台中市,豐原區,1,83,0.14
10551,2022-09-13,台中市,豐原區,1,82,0.43
10707,2022-09-10,台中市,豐原區,1,81,0.29
10755,2022-09-09,台中市,豐原區,1,80,0.14
11095,2022-09-01,台中市,豐原區,1,79,0.43
11180,2022-08-30,台中市,豐原區,1,78,0.43
11305,2022-08-27,台中市,豐原區,1,77,0.43
11383,2022-08-25,台中市,豐原區,1,76,0.29
11497,2022-08-22,台中市,豐原區,1,75,0.29
11640,2022-08-18,台中市,豐原區,1,74,0.57
11742,2022-08-15,台中市,豐原區,1,73,0.57
11784,2022-08-14,台中市,豐原區,1,72,0.43
11820,2022-08-13,台中市,豐原區,1,71,0.29
11932,2022-08-10,台中市,豐原區,1,70,0.29
12177,2022-08-04,台中市,豐原區,1,69,0.57
12227,2022-08-03,台中市,豐原區,1,68,0.43
12380,2022-07-31,台中市,豐原區,1,67,0.86
12423,2022-07-30,台中市,豐原區,1,66,0.86
12592,2022-07-27,台中市,豐原區,1,65,1.00
12650,2022-07-26,台中市,豐原區,3,64,0.86
12759,2022-07-24,台中市,豐原區,1,61,0.57
12817,2022-07-23,台中市,豐原區,2,60,0.43
13119,2022-07-18,台中市,豐原區,1,58,0.43
13385,2022-07-14,台中市,豐原區,2,57,0.57
13603,2022-07-11,台中市,豐原區,2,55,0.43
13883,2022-07-07,台中市,豐原區,1,53,0.43
14148,2022-07-04,台中市,豐原區,1,52,0.86
14320,2022-07-02,台中市,豐原區,1,51,1.14
14506,2022-06-30,台中市,豐原區,1,50,1.43
14612,2022-06-29,台中市,豐原區,1,49,1.43
14707,2022-06-28,台中市,豐原區,2,48,1.57
14803,2022-06-27,台中市,豐原區,1,46,1.43
14913,2022-06-26,台中市,豐原區,2,45,1.43
15003,2022-06-25,台中市,豐原區,2,43,1.71
15097,2022-06-24,台中市,豐原區,1,41,1.57
15201,2022-06-23,台中市,豐原區,1,40,1.71
15318,2022-06-22,台中市,豐原區,2,39,1.71
15429,2022-06-21,台中市,豐原區,1,37,1.57
15546,2022-06-20,台中市,豐原區,1,36,1.43
15652,2022-06-19,台中市,豐原區,4,35,1.71
15766,2022-06-18,台中市,豐原區,1,31,1.43
15903,2022-06-17,台中市,豐原區,2,30,1.57
16030,2022-06-16,台中市,豐原區,1,28,1.57
16154,2022-06-15,台中市,豐原區,1,27,1.71
16413,2022-06-13,台中市,豐原區,3,26,1.86
16533,2022-06-12,台中市,豐原區,2,23,1.71
16659,2022-06-11,台中市,豐原區,2,21,1.43
16783,2022-06-10,台中市,豐原區,2,19,1.43
16894,2022-06-09,台中市,豐原區,2,17,1.43
17020,2022-06-08,台中市,豐原區,2,15,1.14
17280,2022-06-06,台中市,豐原區,2,13,1.00
17510,2022-06-04,台中市,豐原區,2,11,1.00
17641,2022-06-03,台中市,豐原區,2,9,0.71
17871,2022-06-01,台中市,豐原區,1,7,0.57
18126,2022-05-30,台中市,豐原區,2,6,0.43
18448,2022-05-27,台中市,豐原區,1,4,0.43
18919,2022-05-22,台中市,豐原區,2,3,0.43
19158,2022-05-19,台中市,豐原區,1,1,0.14
