UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
175,2023-06-14,台中市,豐原區,5,65562,0.71
540,2023-03-21,台中市,豐原區,1,65557,34.43
734,2023-03-20,台中市,豐原區,26,65556,42.00
1030,2023-03-19,台中市,豐原區,30,65530,44.86
1360,2023-03-18,台中市,豐原區,47,65500,48.00
1699,2023-03-17,台中市,豐原區,41,65453,48.43
2053,2023-03-16,台中市,豐原區,53,65412,51.71
2406,2023-03-15,台中市,豐原區,43,65359,51.86
2755,2023-03-14,台中市,豐原區,54,65316,52.43
3113,2023-03-13,台中市,豐原區,46,65262,53.57
3470,2023-03-12,台中市,豐原區,52,65216,56.29
3819,2023-03-11,台中市,豐原區,50,65164,57.43
4170,2023-03-10,台中市,豐原區,64,65114,59.00
4525,2023-03-09,台中市,豐原區,54,65050,61.57
4884,2023-03-08,台中市,豐原區,47,64996,65.29
5238,2023-03-07,台中市,豐原區,62,64949,71.57
5599,2023-03-06,台中市,豐原區,65,64887,75.57
5960,2023-03-05,台中市,豐原區,60,64822,73.86
6299,2023-03-04,台中市,豐原區,61,64762,70.86
6653,2023-03-03,台中市,豐原區,82,64701,73.57
7013,2023-03-02,台中市,豐原區,80,64619,75.00
7376,2023-03-01,台中市,豐原區,91,64539,74.14
7748,2023-02-28,台中市,豐原區,90,64448,73.57
8112,2023-02-27,台中市,豐原區,53,64358,73.57
8469,2023-02-26,台中市,豐原區,39,64305,78.57
8814,2023-02-25,台中市,豐原區,80,64266,83.29
9185,2023-02-24,台中市,豐原區,92,64186,86.00
9546,2023-02-23,台中市,豐原區,74,64094,87.57
9916,2023-02-22,台中市,豐原區,87,64020,90.57
10291,2023-02-21,台中市,豐原區,90,63933,91.00
10661,2023-02-20,台中市,豐原區,88,63843,97.00
11038,2023-02-19,台中市,豐原區,72,63755,104.14
11399,2023-02-18,台中市,豐原區,99,63683,106.86
11765,2023-02-17,台中市,豐原區,103,63584,107.14
12138,2023-02-16,台中市,豐原區,95,63481,110.00
12512,2023-02-15,台中市,豐原區,90,63386,113.57
12886,2023-02-14,台中市,豐原區,132,63296,121.14
13258,2023-02-13,台中市,豐原區,138,63164,123.71
13636,2023-02-12,台中市,豐原區,91,63026,125.57
13993,2023-02-11,台中市,豐原區,101,62935,131.14
14366,2023-02-10,台中市,豐原區,123,62834,135.29
14739,2023-02-09,台中市,豐原區,120,62711,139.14
15116,2023-02-08,台中市,豐原區,143,62591,150.43
15495,2023-02-07,台中市,豐原區,150,62448,149.43
15874,2023-02-06,台中市,豐原區,151,62298,160.57
16254,2023-02-05,台中市,豐原區,130,62147,167.00
16624,2023-02-04,台中市,豐原區,130,62017,171.14
17003,2023-02-03,台中市,豐原區,150,61887,179.00
17389,2023-02-02,台中市,豐原區,199,61737,174.71
17772,2023-02-01,台中市,豐原區,136,61538,166.86
18149,2023-01-31,台中市,豐原區,228,61402,170.57
18534,2023-01-30,台中市,豐原區,196,61174,144.86
18921,2023-01-29,台中市,豐原區,159,60978,133.00
19299,2023-01-28,台中市,豐原區,185,60819,119.86
19677,2023-01-27,台中市,豐原區,120,60634,109.71
20056,2023-01-26,台中市,豐原區,144,60514,111.29
20432,2023-01-25,台中市,豐原區,162,60370,101.14
20798,2023-01-24,台中市,豐原區,48,60208,92.86
21170,2023-01-23,台中市,豐原區,113,60160,105.14
21539,2023-01-22,台中市,豐原區,67,60047,102.14
21903,2023-01-21,台中市,豐原區,114,59980,105.86
22276,2023-01-20,台中市,豐原區,131,59866,103.29
22642,2023-01-19,台中市,豐原區,73,59735,103.71
23014,2023-01-18,台中市,豐原區,104,59662,112.86
23384,2023-01-17,台中市,豐原區,134,59558,117.14
23750,2023-01-16,台中市,豐原區,92,59424,118.00
24126,2023-01-15,台中市,豐原區,93,59332,123.86
24491,2023-01-14,台中市,豐原區,96,59239,129.43
24860,2023-01-13,台中市,豐原區,134,59143,133.14
25229,2023-01-12,台中市,豐原區,137,59009,136.43
25603,2023-01-11,台中市,豐原區,134,58872,136.86
25978,2023-01-10,台中市,豐原區,140,58738,145.57
26351,2023-01-09,台中市,豐原區,133,58598,151.86
26728,2023-01-08,台中市,豐原區,132,58465,151.57
27087,2023-01-07,台中市,豐原區,122,58333,147.57
27458,2023-01-06,台中市,豐原區,157,58211,157.86
27835,2023-01-05,台中市,豐原區,140,58054,154.29
28214,2023-01-04,台中市,豐原區,195,57914,158.57
28595,2023-01-03,台中市,豐原區,184,57719,154.71
28976,2023-01-02,台中市,豐原區,131,57535,150.71
29348,2023-01-01,台中市,豐原區,104,57404,152.29
29710,2022-12-31,台中市,豐原區,194,57300,151.14
30075,2022-12-30,台中市,豐原區,132,57106,137.14
30449,2022-12-29,台中市,豐原區,170,56974,131.14
30821,2022-12-28,台中市,豐原區,168,56804,121.00
31191,2022-12-27,台中市,豐原區,156,56636,115.00
31568,2022-12-26,台中市,豐原區,142,56480,110.57
31938,2022-12-25,台中市,豐原區,96,56338,104.71
32294,2022-12-24,台中市,豐原區,96,56242,98.71
32653,2022-12-23,台中市,豐原區,90,56146,98.71
33018,2022-12-22,台中市,豐原區,99,56056,101.29
33384,2022-12-21,台中市,豐原區,126,55957,104.43
33755,2022-12-20,台中市,豐原區,125,55831,101.57
34119,2022-12-19,台中市,豐原區,101,55706,96.86
34488,2022-12-18,台中市,豐原區,54,55605,99.00
34837,2022-12-17,台中市,豐原區,96,55551,103.14
35198,2022-12-16,台中市,豐原區,108,55455,102.14
35562,2022-12-15,台中市,豐原區,121,55347,102.86
35932,2022-12-14,台中市,豐原區,106,55226,101.14
36290,2022-12-13,台中市,豐原區,92,55120,104.43
36667,2022-12-12,台中市,豐原區,116,55028,109.14
37035,2022-12-11,台中市,豐原區,83,54912,106.71
37389,2022-12-10,台中市,豐原區,89,54829,108.00
37758,2022-12-09,台中市,豐原區,113,54740,108.29
38123,2022-12-08,台中市,豐原區,109,54627,106.43
