UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4181,2023-06-14,台中市,霧峰區,20-24,3452
4182,2023-03-24,台中市,霧峰區,15-19,2017
4183,2023-03-20,台中市,霧峰區,10-14,1429
4184,2023-03-19,台中市,霧峰區,70+,1918
4185,2023-03-19,台中市,霧峰區,25-29,2535
4186,2023-03-19,台中市,霧峰區,30-34,2356
4187,2023-03-19,台中市,霧峰區,40-44,2196
4188,2023-03-19,台中市,霧峰區,45-49,1555
4189,2023-03-19,台中市,霧峰區,50-54,1500
4190,2023-03-19,台中市,霧峰區,65-69,1069
4191,2023-03-18,台中市,霧峰區,5-9,1674
4192,2023-03-18,台中市,霧峰區,55-59,1490
4193,2023-03-18,台中市,霧峰區,60-64,1393
4194,2023-03-17,台中市,霧峰區,35-39,2344
4195,2023-03-15,台中市,霧峰區,1,266
4196,2023-03-13,台中市,霧峰區,2,275
4197,2023-03-10,台中市,霧峰區,0,195
4198,2023-03-07,台中市,霧峰區,4,313
4199,2023-03-07,台中市,霧峰區,3,269
