UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
139,2023-06-14,台中市,霧峰區,1,28246,0.14
368,2023-03-24,台中市,霧峰區,1,28245,5.71
675,2023-03-20,台中市,霧峰區,3,28244,16.71
964,2023-03-19,台中市,霧峰區,16,28241,19.29
1293,2023-03-18,台中市,霧峰區,20,28225,18.71
1632,2023-03-17,台中市,霧峰區,22,28205,18.29
1985,2023-03-16,台中市,霧峰區,15,28183,19.43
2337,2023-03-15,台中市,霧峰區,24,28168,20.00
2688,2023-03-14,台中市,霧峰區,17,28144,19.29
3046,2023-03-13,台中市,霧峰區,21,28127,19.86
3404,2023-03-12,台中市,霧峰區,12,28106,19.71
3750,2023-03-11,台中市,霧峰區,17,28094,20.29
4102,2023-03-10,台中市,霧峰區,30,28077,21.86
4458,2023-03-09,台中市,霧峰區,19,28047,22.00
4817,2023-03-08,台中市,霧峰區,19,28028,24.71
5170,2023-03-07,台中市,霧峰區,21,28009,26.00
5530,2023-03-06,台中市,霧峰區,20,27988,26.43
5894,2023-03-05,台中市,霧峰區,16,27968,27.00
6233,2023-03-04,台中市,霧峰區,28,27952,26.29
6586,2023-03-03,台中市,霧峰區,31,27924,28.71
6945,2023-03-02,台中市,霧峰區,38,27893,29.00
7309,2023-03-01,台中市,霧峰區,28,27855,29.00
7680,2023-02-28,台中市,霧峰區,24,27827,30.00
8043,2023-02-27,台中市,霧峰區,24,27803,31.00
8402,2023-02-26,台中市,霧峰區,11,27779,32.57
8746,2023-02-25,台中市,霧峰區,45,27768,33.57
9116,2023-02-24,台中市,霧峰區,33,27723,32.29
9477,2023-02-23,台中市,霧峰區,38,27690,31.43
9848,2023-02-22,台中市,霧峰區,35,27652,32.57
10222,2023-02-21,台中市,霧峰區,31,27617,32.86
10592,2023-02-20,台中市,霧峰區,35,27586,34.71
10971,2023-02-19,台中市,霧峰區,18,27551,35.71
11330,2023-02-18,台中市,霧峰區,36,27533,39.29
11696,2023-02-17,台中市,霧峰區,27,27497,39.86
12069,2023-02-16,台中市,霧峰區,46,27470,44.14
12444,2023-02-15,台中市,霧峰區,37,27424,43.57
12817,2023-02-14,台中市,霧峰區,44,27387,46.43
