UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
443,2023-03-21,台中市,龍井區,1,46,0.14
720,2023-03-14,台中市,龍井區,1,45,0.14
1091,2023-03-06,台中市,龍井區,1,44,0.29
1312,2023-03-02,台中市,龍井區,1,43,0.14
1776,2023-02-22,台中市,龍井區,1,42,0.43
1934,2023-02-19,台中市,龍井區,1,41,0.29
1998,2023-02-18,台中市,龍井區,1,40,0.14
2944,2023-02-03,台中市,龍井區,1,39,0.29
3311,2023-01-28,台中市,龍井區,1,38,0.14
4112,2023-01-12,台中市,龍井區,1,37,0.29
4408,2023-01-06,台中市,龍井區,1,36,0.43
4670,2023-01-01,台中市,龍井區,1,35,0.29
4726,2022-12-31,台中市,龍井區,1,34,0.14
5343,2022-12-15,台中市,龍井區,1,33,0.14
5836,2022-12-02,台中市,龍井區,1,32,0.14
6399,2022-11-19,台中市,龍井區,1,31,0.29
6496,2022-11-17,台中市,龍井區,1,30,0.14
7003,2022-11-08,台中市,龍井區,1,29,0.29
7287,2022-11-03,台中市,龍井區,1,28,0.14
8245,2022-10-20,台中市,龍井區,1,27,0.14
8734,2022-10-13,台中市,龍井區,1,26,0.43
9011,2022-10-09,台中市,龍井區,1,25,0.43
9132,2022-10-07,台中市,龍井區,1,24,0.29
9264,2022-10-05,台中市,龍井區,1,23,0.14
9783,2022-09-27,台中市,龍井區,1,22,0.29
10136,2022-09-21,台中市,龍井區,1,21,0.14
10813,2022-09-08,台中市,龍井區,1,20,0.14
12770,2022-07-24,台中市,龍井區,1,19,0.14
13325,2022-07-15,台中市,龍井區,1,18,0.71
13461,2022-07-13,台中市,龍井區,1,17,0.57
13537,2022-07-12,台中市,龍井區,2,16,0.43
13617,2022-07-11,台中市,龍井區,1,14,0.29
14065,2022-07-05,台中市,龍井區,1,13,0.43
14336,2022-07-02,台中市,龍井區,1,12,0.29
14626,2022-06-29,台中市,龍井區,1,11,0.14
15790,2022-06-18,台中市,龍井區,1,10,0.14
17040,2022-06-08,台中市,龍井區,1,9,0.57
17162,2022-06-07,台中市,龍井區,1,8,0.57
17404,2022-06-05,台中市,龍井區,1,7,0.57
17528,2022-06-04,台中市,龍井區,1,6,0.43
17887,2022-06-01,台中市,龍井區,1,5,0.71
18145,2022-05-30,台中市,龍井區,1,4,0.57
18361,2022-05-28,台中市,龍井區,1,3,0.43
18467,2022-05-27,台中市,龍井區,2,2,0.29
