UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1017,2023-03-07,台北市,中正區,1,110,0.14
1727,2023-02-22,台北市,中正區,2,109,0.29
2267,2023-02-13,台北市,中正區,1,107,0.71
2328,2023-02-12,台北市,中正區,1,106,0.57
2450,2023-02-10,台北市,中正區,1,105,0.57
2579,2023-02-08,台北市,中正區,1,104,0.71
2665,2023-02-07,台北市,中正區,1,103,0.57
2850,2023-02-04,台北市,中正區,1,102,0.86
2900,2023-02-03,台北市,中正區,1,101,0.71
2968,2023-02-02,台北市,中正區,1,100,0.57
3104,2023-01-31,台北市,中正區,2,99,0.43
3157,2023-01-30,台北市,中正區,1,97,0.14
3594,2023-01-22,台北市,中正區,1,96,0.43
3643,2023-01-21,台北市,中正區,1,95,0.29
3680,2023-01-20,台北市,中正區,1,94,0.29
3980,2023-01-14,台北市,中正區,1,93,0.43
4172,2023-01-10,台北市,中正區,1,92,0.43
4229,2023-01-09,台北市,中正區,1,91,0.29
4326,2023-01-07,台北市,中正區,1,90,0.29
4578,2023-01-02,台北市,中正區,1,89,0.14
4955,2022-12-25,台北市,中正區,1,88,0.43
5052,2022-12-22,台北市,中正區,1,87,0.57
5126,2022-12-20,台北市,中正區,1,86,0.43
5208,2022-12-18,台北市,中正區,2,85,0.29
5575,2022-12-08,台北市,中正區,1,83,0.14
5925,2022-11-29,台北市,中正區,1,82,0.14
6213,2022-11-22,台北市,中正區,1,81,0.29
6456,2022-11-17,台北市,中正區,1,80,0.14
7133,2022-11-05,台北市,中正區,1,79,0.43
7191,2022-11-04,台北市,中正區,1,78,0.29
7500,2022-10-30,台北市,中正區,1,77,0.43
7624,2022-10-28,台北市,中正區,1,76,0.29
7687,2022-10-27,台北市,中正區,1,75,0.14
8190,2022-10-20,台北市,中正區,1,74,0.71
8400,2022-10-17,台北市,中正區,2,73,0.71
8547,2022-10-15,台北市,中正區,1,71,0.43
8606,2022-10-14,台北市,中正區,1,70,0.43
8754,2022-10-12,台北市,中正區,1,69,0.29
9029,2022-10-08,台北市,中正區,1,68,0.14
9680,2022-09-28,台北市,中正區,1,67,0.71
9736,2022-09-27,台北市,中正區,1,66,0.57
9799,2022-09-26,台北市,中正區,1,65,0.43
9916,2022-09-24,台北市,中正區,1,64,0.29
9967,2022-09-23,台北市,中正區,1,63,0.14
10524,2022-09-13,台北市,中正區,2,62,0.71
10638,2022-09-11,台北市,中正區,1,60,0.43
10732,2022-09-09,台北市,中正區,1,59,0.43
10776,2022-09-08,台北市,中正區,1,58,0.29
10948,2022-09-04,台北市,中正區,1,57,0.14
11284,2022-08-27,台北市,中正區,1,56,0.29
11433,2022-08-23,台北市,中正區,1,55,0.29
11581,2022-08-19,台北市,中正區,1,54,0.29
11760,2022-08-14,台北市,中正區,1,53,0.43
11909,2022-08-10,台北市,中正區,1,52,0.43
11987,2022-08-08,台北市,中正區,1,51,0.43
12070,2022-08-06,台北市,中正區,1,50,0.43
12244,2022-08-02,台北市,中正區,1,49,0.29
12295,2022-08-01,台北市,中正區,1,48,0.14
12674,2022-07-25,台北市,中正區,1,47,0.29
12786,2022-07-23,台北市,中正區,1,46,0.29
13142,2022-07-17,台北市,中正區,1,45,0.43
13347,2022-07-14,台北市,中正區,1,44,0.29
13562,2022-07-11,台北市,中正區,1,43,0.43
13915,2022-07-06,台北市,中正區,1,42,0.43
14006,2022-07-05,台北市,中正區,1,41,0.29
14271,2022-07-02,台北市,中正區,1,40,0.14
16077,2022-06-15,台北市,中正區,1,39,0.57
16342,2022-06-13,台北市,中正區,2,38,0.71
16713,2022-06-10,台北市,中正區,1,36,0.71
16945,2022-06-08,台北市,中正區,2,35,0.86
17326,2022-06-05,台北市,中正區,1,33,0.86
17434,2022-06-04,台北市,中正區,1,32,0.71
17563,2022-06-03,台北市,中正區,1,31,0.71
17692,2022-06-02,台北市,中正區,1,30,0.57
17795,2022-06-01,台北市,中正區,1,29,0.57
17925,2022-05-31,台北市,中正區,1,28,0.43
18287,2022-05-28,台北市,中正區,1,27,0.43
18486,2022-05-26,台北市,中正區,1,26,0.29
18768,2022-05-23,台北市,中正區,1,25,0.71
19109,2022-05-19,台北市,中正區,2,24,0.71
19179,2022-05-18,台北市,中正區,1,22,0.43
19246,2022-05-17,台北市,中正區,1,21,0.43
19310,2022-05-16,台北市,中正區,1,20,0.43
19562,2022-05-11,台北市,中正區,1,19,0.29
19605,2022-05-10,台北市,中正區,1,18,0.14
19841,2022-04-27,台北市,中正區,1,17,0.14
19979,2021-08-04,台北市,中正區,1,16,0.14
20107,2021-07-10,台北市,中正區,1,15,0.14
20174,2021-07-03,台北市,中正區,1,14,0.14
20496,2021-06-09,台北市,中正區,1,13,0.71
20537,2021-06-07,台北市,中正區,1,12,1.14
20557,2021-06-06,台北市,中正區,1,11,1.14
20581,2021-06-05,台北市,中正區,1,10,1.00
20597,2021-06-04,台北市,中正區,1,9,0.86
20645,2021-06-02,台北市,中正區,2,8,0.71
20665,2021-06-01,台北市,中正區,2,6,0.57
20683,2021-05-31,台北市,中正區,1,4,0.43
20771,2021-05-26,台北市,中正區,1,3,0.43
20786,2021-05-25,台北市,中正區,1,2,0.29
20810,2021-05-23,台北市,中正區,1,1,0.14
