UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
282,2023-03-27,台北市,內湖區,1,139,0.43
316,2023-03-25,台北市,內湖區,1,138,0.29
338,2023-03-24,台北市,內湖區,1,137,0.29
530,2023-03-18,台北市,內湖區,1,136,0.14
1279,2023-03-02,台北市,內湖區,1,135,0.29
1611,2023-02-24,台北市,內湖區,1,134,0.43
1736,2023-02-22,台北市,內湖區,1,133,0.29
1852,2023-02-20,台北市,內湖區,1,132,0.29
2135,2023-02-15,台北市,內湖區,1,131,0.43
2275,2023-02-13,台北市,內湖區,1,130,0.29
2331,2023-02-12,台北市,內湖區,1,129,0.29
2733,2023-02-06,台北市,內湖區,1,128,0.57
2855,2023-02-04,台北市,內湖區,2,127,0.71
2907,2023-02-03,台北市,內湖區,1,125,0.57
3221,2023-01-29,台北市,內湖區,2,124,0.43
3282,2023-01-28,台北市,內湖區,1,122,0.14
3646,2023-01-21,台北市,內湖區,2,121,1.00
3686,2023-01-20,台北市,內湖區,1,119,0.86
3783,2023-01-18,台北市,內湖區,1,118,0.71
3823,2023-01-17,台北市,內湖區,1,117,0.71
3876,2023-01-16,台北市,內湖區,1,116,0.57
3925,2023-01-15,台北市,內湖區,1,115,0.43
3988,2023-01-14,台北市,內湖區,1,114,0.29
4132,2023-01-11,台北市,內湖區,1,113,0.29
4430,2023-01-05,台北市,內湖區,1,112,0.14
4789,2022-12-29,台北市,內湖區,1,111,0.57
4826,2022-12-28,台北市,內湖區,2,110,0.43
4991,2022-12-24,台北市,內湖區,1,108,0.29
5097,2022-12-21,台北市,內湖區,1,107,0.14
5405,2022-12-13,台北市,內湖區,1,106,0.14
6169,2022-11-23,台北市,內湖區,1,105,0.29
6313,2022-11-20,台北市,內湖區,1,104,0.43
6518,2022-11-16,台北市,內湖區,1,103,0.43
6601,2022-11-14,台北市,內湖區,1,102,0.43
6660,2022-11-13,台北市,內湖區,1,101,0.43
6907,2022-11-09,台北市,內湖區,1,100,0.43
7023,2022-11-07,台北市,內湖區,1,99,0.57
7138,2022-11-05,台北市,內湖區,1,98,0.43
7310,2022-11-02,台北市,內湖區,2,97,0.57
7560,2022-10-29,台北市,內湖區,2,95,0.57
7980,2022-10-23,台北市,內湖區,2,93,0.86
8120,2022-10-21,台北市,內湖區,1,91,0.86
8201,2022-10-20,台北市,內湖區,1,90,0.86
8337,2022-10-18,台北市,內湖區,1,89,0.71
8412,2022-10-17,台北市,內湖區,1,88,0.71
8552,2022-10-15,台北市,內湖區,2,87,0.86
8615,2022-10-14,台北市,內湖區,1,85,0.57
8831,2022-10-11,台北市,內湖區,1,84,0.71
8971,2022-10-09,台北市,內湖區,2,83,0.86
9091,2022-10-07,台北市,內湖區,1,81,0.57
9161,2022-10-06,台北市,內湖區,1,80,0.43
9300,2022-10-04,台北市,內湖區,1,79,0.29
9369,2022-10-03,台北市,內湖區,1,78,0.29
9740,2022-09-27,台北市,內湖區,1,77,0.29
10107,2022-09-21,台北市,內湖區,1,76,0.14
11046,2022-09-02,台北市,內湖區,1,75,0.29
11112,2022-08-31,台北市,內湖區,1,74,0.14
11404,2022-08-24,台北市,內湖區,1,73,0.43
11517,2022-08-21,台北市,內湖區,1,72,0.29
11584,2022-08-19,台北市,內湖區,1,71,0.14
11874,2022-08-11,台北市,內湖區,1,70,0.29
11912,2022-08-10,台北市,內湖區,1,69,0.14
12450,2022-07-29,台北市,內湖區,1,68,0.43
12789,2022-07-23,台北市,內湖區,2,67,0.43
13088,2022-07-18,台北市,內湖區,1,65,0.43
13210,2022-07-16,台北市,內湖區,1,64,0.43
13418,2022-07-13,台北市,內湖區,1,63,0.29
13635,2022-07-10,台北市,內湖區,1,62,0.43
13923,2022-07-06,台北市,內湖區,2,61,0.57
14278,2022-07-02,台北市,內湖區,2,59,0.71
14565,2022-06-29,台北市,內湖區,1,57,1.00
14754,2022-06-27,台北市,內湖區,2,56,0.86
14965,2022-06-25,台北市,內湖區,1,54,1.00
