UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
84,2023-06-14,台北市,內湖區,8,115867,1.14
381,2023-03-23,台北市,內湖區,1,115859,33.57
474,2023-03-21,台北市,內湖區,2,115858,61.14
612,2023-03-20,台北市,內湖區,23,115856,74.71
896,2023-03-19,台北市,內湖區,61,115833,85.57
1224,2023-03-18,台北市,內湖區,83,115772,88.86
1564,2023-03-17,台北市,內湖區,65,115689,90.14
1916,2023-03-16,台北市,內湖區,104,115624,95.29
2269,2023-03-15,台北市,內湖區,90,115520,90.43
2620,2023-03-14,台北市,內湖區,97,115430,89.14
2977,2023-03-13,台北市,內湖區,99,115333,88.86
3336,2023-03-12,台北市,內湖區,84,115234,89.14
3681,2023-03-11,台北市,內湖區,92,115150,85.86
4034,2023-03-10,台北市,內湖區,101,115058,83.86
4389,2023-03-09,台北市,內湖區,70,114957,84.14
4748,2023-03-08,台北市,內湖區,81,114887,98.00
5102,2023-03-07,台北市,內湖區,95,114806,107.14
5461,2023-03-06,台北市,內湖區,101,114711,111.29
5826,2023-03-05,台北市,內湖區,61,114610,110.71
6165,2023-03-04,台北市,內湖區,78,114549,115.29
6517,2023-03-03,台北市,內湖區,103,114471,121.57
6876,2023-03-02,台北市,內湖區,167,114368,123.43
7240,2023-03-01,台北市,內湖區,145,114201,119.00
7611,2023-02-28,台北市,內湖區,124,114056,119.43
7974,2023-02-27,台北市,內湖區,97,113932,126.43
8333,2023-02-26,台北市,內湖區,93,113835,137.00
8678,2023-02-25,台北市,內湖區,122,113742,140.71
9048,2023-02-24,台北市,內湖區,116,113620,148.14
9409,2023-02-23,台北市,內湖區,136,113504,153.71
9779,2023-02-22,台北市,內湖區,148,113368,154.29
10154,2023-02-21,台北市,內湖區,173,113220,156.00
10523,2023-02-20,台北市,內湖區,171,113047,166.86
10903,2023-02-19,台北市,內湖區,119,112876,172.71
11261,2023-02-18,台北市,內湖區,174,112757,172.57
11628,2023-02-17,台北市,內湖區,155,112583,174.86
12000,2023-02-16,台北市,內湖區,140,112428,185.57
12375,2023-02-15,台北市,內湖區,160,112288,203.14
12748,2023-02-14,台北市,內湖區,249,112128,209.86
13120,2023-02-13,台北市,內湖區,212,111879,212.14
13499,2023-02-12,台北市,內湖區,118,111667,213.00
13856,2023-02-11,台北市,內湖區,190,111549,221.57
14228,2023-02-10,台北市,內湖區,230,111359,236.43
14602,2023-02-09,台北市,內湖區,263,111129,241.71
14978,2023-02-08,台北市,內湖區,207,110866,235.29
15357,2023-02-07,台北市,內湖區,265,110659,251.14
15736,2023-02-06,台北市,內湖區,218,110394,265.43
16118,2023-02-05,台北市,內湖區,178,110176,285.86
16486,2023-02-04,台北市,內湖區,294,109998,299.00
16865,2023-02-03,台北市,內湖區,267,109704,297.00
17251,2023-02-02,台北市,內湖區,218,109437,311.29
17634,2023-02-01,台北市,內湖區,318,109219,324.86
18011,2023-01-31,台北市,內湖區,365,108901,312.14
18396,2023-01-30,台北市,內湖區,361,108536,282.57
18785,2023-01-29,台北市,內湖區,270,108175,255.29
19161,2023-01-28,台北市,內湖區,280,107905,228.86
19540,2023-01-27,台北市,內湖區,367,107625,220.29
19918,2023-01-26,台北市,內湖區,313,107258,204.71
20295,2023-01-25,台北市,內湖區,229,106945,193.00
20660,2023-01-24,台北市,內湖區,158,106716,195.14
21035,2023-01-23,台北市,內湖區,170,106558,213.43
21402,2023-01-22,台北市,內湖區,85,106388,218.14
21766,2023-01-21,台北市,內湖區,220,106303,235.29
22138,2023-01-20,台北市,內湖區,258,106083,245.29
22505,2023-01-19,台北市,內湖區,231,105825,243.43
22876,2023-01-18,台北市,內湖區,244,105594,248.43
23248,2023-01-17,台北市,內湖區,286,105350,251.57
23612,2023-01-16,台北市,內湖區,203,105064,258.14
23988,2023-01-15,台北市,內湖區,205,104861,274.71
24355,2023-01-14,台北市,內湖區,290,104656,277.71
24723,2023-01-13,台北市,內湖區,245,104366,276.86
25091,2023-01-12,台北市,內湖區,266,104121,284.43
25466,2023-01-11,台北市,內湖區,266,103855,292.00
25842,2023-01-10,台北市,內湖區,332,103589,317.86
26214,2023-01-09,台北市,內湖區,319,103257,331.00
26593,2023-01-08,台北市,內湖區,226,102938,325.86
26950,2023-01-07,台北市,內湖區,284,102712,318.71
27321,2023-01-06,台北市,內湖區,298,102428,321.71
27697,2023-01-05,台北市,內湖區,319,102130,326.29
28077,2023-01-04,台北市,內湖區,447,101811,332.14
28458,2023-01-03,台北市,內湖區,424,101364,315.00
28840,2023-01-02,台北市,內湖區,283,100940,306.00
29211,2023-01-01,台北市,內湖區,176,100657,309.14
29573,2022-12-31,台北市,內湖區,305,100481,307.43
29939,2022-12-30,台北市,內湖區,330,100176,298.00
30311,2022-12-29,台北市,內湖區,360,99846,282.57
30684,2022-12-28,台北市,內湖區,327,99486,264.86
31054,2022-12-27,台北市,內湖區,361,99159,251.57
31431,2022-12-26,台北市,內湖區,305,98798,231.71
31803,2022-12-25,台北市,內湖區,164,98493,216.29
32157,2022-12-24,台北市,內湖區,239,98329,212.71
32517,2022-12-23,台北市,內湖區,222,98090,204.57
32881,2022-12-22,台北市,內湖區,236,97868,198.29
33248,2022-12-21,台北市,內湖區,234,97632,187.86
33618,2022-12-20,台北市,內湖區,222,97398,178.14
33981,2022-12-19,台北市,內湖區,197,97176,179.00
34352,2022-12-18,台北市,內湖區,139,96979,176.00
34700,2022-12-17,台北市,內湖區,182,96840,176.29
35060,2022-12-16,台北市,內湖區,178,96658,172.43
35425,2022-12-15,台北市,內湖區,163,96480,172.00
35796,2022-12-14,台北市,內湖區,166,96317,173.14
36155,2022-12-13,台北市,內湖區,228,96151,173.14
36529,2022-12-12,台北市,內湖區,176,95923,167.71
36901,2022-12-11,台北市,內湖區,141,95747,163.00
37252,2022-12-10,台北市,內湖區,155,95606,155.86
37621,2022-12-09,台北市,內湖區,175,95451,149.43
37986,2022-12-08,台北市,內湖區,171,95276,147.14
38359,2022-12-07,台北市,內湖區,166,95105,143.00
38731,2022-12-06,台北市,內湖區,190,94939,142.57
39102,2022-12-05,台北市,內湖區,143,94749,143.71
39480,2022-12-04,台北市,內湖區,91,94606,146.71
39846,2022-12-03,台北市,內湖區,110,94515,152.14
40215,2022-12-02,台北市,內湖區,159,94405,158.43
40585,2022-12-01,台北市,內湖區,142,94246,154.71
40954,2022-11-30,台北市,內湖區,163,94104,156.00
41325,2022-11-29,台北市,內湖區,198,93941,156.43
41705,2022-11-28,台北市,內湖區,164,93743,154.71
42083,2022-11-27,台北市,內湖區,129,93579,160.43
42444,2022-11-26,台北市,內湖區,154,93450,162.57
42800,2022-11-25,台北市,內湖區,133,93296,166.14
43171,2022-11-24,台北市,內湖區,151,93163,170.00
43541,2022-11-23,台北市,內湖區,166,93012,176.14
43913,2022-11-22,台北市,內湖區,186,92846,183.71
44286,2022-11-21,台北市,內湖區,204,92660,196.29
44669,2022-11-20,台北市,內湖區,144,92456,193.43
45032,2022-11-19,台北市,內湖區,179,92312,192.57
45406,2022-11-18,台北市,內湖區,160,92133,195.14
45778,2022-11-17,台北市,內湖區,194,91973,197.86
46151,2022-11-16,台北市,內湖區,219,91779,197.57
46531,2022-11-15,台北市,內湖區,274,91560,205.86
46912,2022-11-14,台北市,內湖區,184,91286,201.14
47293,2022-11-13,台北市,內湖區,138,91102,205.14
47663,2022-11-12,台北市,內湖區,197,90964,207.29
48040,2022-11-11,台北市,內湖區,179,90767,216.43
48419,2022-11-10,台北市,內湖區,192,90588,226.00
48802,2022-11-09,台北市,內湖區,277,90396,244.71
49185,2022-11-08,台北市,內湖區,241,90119,251.14
49570,2022-11-07,台北市,內湖區,212,89878,268.00
49955,2022-11-06,台北市,內湖區,153,89666,283.57
50324,2022-11-05,台北市,內湖區,261,89513,290.14
50699,2022-11-04,台北市,內湖區,246,89252,303.43
51085,2022-11-03,台北市,內湖區,323,89006,319.43
51465,2022-11-02,台北市,內湖區,322,88683,320.43
51851,2022-11-01,台北市,內湖區,359,88361,332.71
52236,2022-10-31,台北市,內湖區,321,88002,350.00
52619,2022-10-30,台北市,內湖區,199,87681,362.29
52998,2022-10-29,台北市,內湖區,354,87482,373.43
53377,2022-10-28,台北市,內湖區,358,87128,391.14
53764,2022-10-27,台北市,內湖區,330,86770,395.86
54151,2022-10-26,台北市,內湖區,408,86440,412.00
54535,2022-10-25,台北市,內湖區,480,86032,424.71
54924,2022-10-24,台北市,內湖區,407,85552,433.71
55314,2022-10-23,台北市,內湖區,277,85145,448.71
55691,2022-10-22,台北市,內湖區,478,84868,461.43
56076,2022-10-21,台北市,內湖區,391,84390,470.00
56466,2022-10-20,台北市,內湖區,443,83999,493.57
56851,2022-10-19,台北市,內湖區,497,83556,513.43
57238,2022-10-18,台北市,內湖區,543,83059,537.43
57628,2022-10-17,台北市,內湖區,512,82516,543.43
58018,2022-10-16,台北市,內湖區,366,82004,532.57
58402,2022-10-15,台北市,內湖區,538,81638,531.00
58787,2022-10-14,台北市,內湖區,556,81100,534.57
