UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2148,2023-07-24,台北市,全區,70+,94492
2149,2023-07-24,台北市,全區,60-64,53264
2150,2023-07-13,台北市,全區,1,6640
2151,2023-06-14,台北市,全區,25-29,95877
2152,2023-06-14,台北市,全區,15-19,45146
2153,2023-06-14,台北市,全區,50-54,65684
2154,2023-06-14,台北市,全區,55-59,57936
2155,2023-06-14,台北市,全區,35-39,88108
2156,2023-06-14,台北市,全區,20-24,69791
2157,2023-06-14,台北市,全區,45-49,77276
2158,2023-06-14,台北市,全區,10-14,46611
2159,2023-06-14,台北市,全區,0,4794
2160,2023-06-14,台北市,全區,4,8155
2161,2023-06-14,台北市,全區,65-69,50076
2162,2023-06-14,台北市,全區,30-34,89887
2163,2023-06-14,台北市,全區,40-44,94084
2164,2023-06-14,台北市,全區,5-9,50624
2165,2023-06-14,台北市,全區,3,7401
2166,2023-06-14,台北市,全區,2,7057
