UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
15,2023-05-27,台北市,全區,1,1856,0.14
26,2023-05-14,台北市,全區,1,1855,0.14
42,2023-05-05,台北市,全區,1,1854,0.14
72,2023-04-18,台北市,全區,1,1853,0.14
122,2023-04-08,台北市,全區,1,1852,0.71
139,2023-04-06,台北市,全區,1,1851,0.71
176,2023-04-03,台北市,全區,1,1850,1.00
187,2023-04-02,台北市,全區,2,1849,1.29
217,2023-03-31,台北市,全區,1,1847,1.14
240,2023-03-29,台北市,全區,2,1846,1.86
262,2023-03-28,台北市,全區,1,1844,1.86
276,2023-03-27,台北市,全區,3,1843,1.71
311,2023-03-25,台北市,全區,1,1840,1.57
331,2023-03-24,台北市,全區,5,1839,1.86
358,2023-03-23,台北市,全區,1,1834,1.86
391,2023-03-22,台北市,全區,2,1833,1.71
490,2023-03-19,台北市,全區,2,1831,2.29
523,2023-03-18,台北市,全區,3,1829,2.00
569,2023-03-17,台北市,全區,5,1826,2.14
657,2023-03-15,台北市,全區,1,1821,2.29
690,2023-03-14,台北市,全區,2,1820,3.00
731,2023-03-13,台北市,全區,3,1818,3.71
820,2023-03-11,台北市,全區,4,1815,3.71
860,2023-03-10,台北市,全區,4,1811,3.43
910,2023-03-09,台北市,全區,2,1807,3.14
958,2023-03-08,台北市,全區,6,1805,4.00
1012,2023-03-07,台北市,全區,7,1799,3.57
1050,2023-03-06,台北市,全區,1,1792,3.29
1101,2023-03-05,台北市,全區,2,1791,3.71
1158,2023-03-04,台北市,全區,2,1789,4.57
1215,2023-03-03,台北市,全區,2,1787,4.86
1266,2023-03-02,台北市,全區,8,1785,4.86
1321,2023-03-01,台北市,全區,3,1777,3.86
1377,2023-02-28,台北市,全區,5,1774,4.43
1426,2023-02-27,台北市,全區,4,1769,4.00
1483,2023-02-26,台北市,全區,8,1765,4.14
1549,2023-02-25,台北市,全區,4,1757,3.71
1605,2023-02-24,台北市,全區,2,1753,3.86
1659,2023-02-23,台北市,全區,1,1751,4.14
1721,2023-02-22,台北市,全區,7,1750,4.29
1788,2023-02-21,台北市,全區,2,1743,4.00
1841,2023-02-20,台北市,全區,5,1741,4.43
