UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
43,2023-05-05,台北市,北投區,1,169,0.14
492,2023-03-19,台北市,北投區,1,168,0.14
865,2023-03-10,台北市,北投區,1,167,0.29
1016,2023-03-07,台北市,北投區,1,166,0.14
1379,2023-02-28,台北市,北投區,1,165,0.57
1431,2023-02-27,台北市,北投區,1,164,0.43
1555,2023-02-25,台北市,北投區,1,163,0.43
1726,2023-02-22,台北市,北投區,1,162,0.29
1901,2023-02-19,台北市,北投區,1,161,0.29
2127,2023-02-15,台北市,北投區,1,160,0.43
2327,2023-02-12,台北市,北投區,1,159,0.43
2382,2023-02-11,台北市,北投區,1,158,0.29
2664,2023-02-07,台北市,北投區,1,157,0.57
2849,2023-02-04,台北市,北投區,2,156,0.57
2899,2023-02-03,台北市,北投區,1,154,0.29
3214,2023-01-29,台北市,北投區,1,153,0.57
3368,2023-01-26,台北市,北投區,1,152,0.57
3536,2023-01-23,台北市,北投區,2,151,0.86
3642,2023-01-21,台北市,北投區,1,149,1.00
3779,2023-01-18,台北市,北投區,1,148,1.14
3820,2023-01-17,台北市,北投區,2,147,1.14
3872,2023-01-16,台北市,北投區,2,145,1.00
3922,2023-01-15,台北市,北投區,1,143,0.71
3979,2023-01-14,台北市,北投區,1,142,0.57
4042,2023-01-13,台北市,北投區,1,141,0.43
4126,2023-01-11,台北市,北投區,1,140,0.29
4171,2023-01-10,台北市,北投區,1,139,0.29
4467,2023-01-04,台北市,北投區,1,138,0.43
4642,2023-01-01,台北市,北投區,1,137,0.29
4744,2022-12-30,台北市,北投區,1,136,0.14
5125,2022-12-20,台北市,北投區,1,135,0.29
5283,2022-12-16,台北市,北投區,1,134,0.29
5402,2022-12-13,台北市,北投區,1,133,0.14
6000,2022-11-27,台北市,北投區,1,132,0.29
6256,2022-11-21,台北市,北投區,1,131,0.29
6359,2022-11-19,台北市,北投區,1,130,0.14
6716,2022-11-12,台北市,北投區,2,129,0.43
6900,2022-11-09,台北市,北投區,1,127,0.29
7132,2022-11-05,台北市,北投區,1,126,0.29
7499,2022-10-30,台北市,北投區,1,125,0.57
7552,2022-10-29,台北市,北投區,1,124,0.43
7686,2022-10-27,台北市,北投區,1,123,0.29
7760,2022-10-26,台北市,北投區,1,122,0.29
8189,2022-10-20,台北市,北投區,1,121,0.14
8687,2022-10-13,台北市,北投區,2,120,1.14
8825,2022-10-11,台北市,北投區,1,118,0.86
8891,2022-10-10,台北市,北投區,2,117,0.71
8964,2022-10-09,台北市,北投區,1,115,0.43
9028,2022-10-08,台北市,北投區,1,114,0.29
9082,2022-10-07,台北市,北投區,1,113,0.29
9499,2022-10-01,台北市,北投區,1,112,0.14
9915,2022-09-24,台北市,北投區,1,111,0.57
10026,2022-09-22,台北市,北投區,1,110,0.43
10102,2022-09-21,台北市,北投區,1,109,0.43
10153,2022-09-20,台北市,北投區,1,108,0.43
10416,2022-09-15,台北市,北投區,1,107,0.71
10475,2022-09-14,台北市,北投區,1,106,0.57
10523,2022-09-13,台北市,北投區,1,105,0.43
10576,2022-09-12,台北市,北投區,1,104,0.29
10731,2022-09-09,台北市,北投區,1,103,0.43
10947,2022-09-04,台北市,北投區,1,102,0.57
10998,2022-09-03,台北市,北投區,1,101,0.43
11043,2022-09-02,台北市,北投區,1,100,0.29
11153,2022-08-30,台北市,北投區,1,99,0.57
11316,2022-08-26,台北市,北投區,2,98,0.43
11402,2022-08-24,台北市,北投區,1,96,0.14
11717,2022-08-15,台北市,北投區,1,95,0.14
12294,2022-08-01,台北市,北投區,1,94,0.57
12403,2022-07-30,台北市,北投區,1,93,0.57
12446,2022-07-29,台北市,北投區,1,92,0.43
12612,2022-07-26,台北市,北投區,1,91,0.57
12673,2022-07-25,台北市,北投區,1,90,0.43
12840,2022-07-22,台北市,北投區,1,89,0.29
12897,2022-07-21,台北市,北投區,1,88,0.14
13485,2022-07-12,台北市,北投區,2,87,0.57
13765,2022-07-08,台北市,北投區,1,85,0.57
13835,2022-07-07,台北市,北投區,1,84,0.43
14087,2022-07-04,台北市,北投區,1,83,0.57
14270,2022-07-02,台北市,北投區,1,82,0.57
14456,2022-06-30,台北市,北投區,1,81,0.71
14554,2022-06-29,台北市,北投區,1,80,0.71
14856,2022-06-26,台北市,北投區,1,79,0.86
