UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
73,2023-04-18,台北市,南港區,1,94,0.14
141,2023-04-06,台北市,南港區,1,93,0.14
243,2023-03-29,台北市,南港區,1,92,0.14
868,2023-03-10,台北市,南港區,1,91,0.14
1905,2023-02-19,台北市,南港區,1,90,0.71
1956,2023-02-18,台北市,南港區,2,89,0.57
2014,2023-02-17,台北市,南港區,1,87,0.29
2073,2023-02-16,台北市,南港區,1,86,0.14
2730,2023-02-06,台北市,南港區,1,85,0.29
2854,2023-02-04,台北市,南港區,1,84,0.14
3278,2023-01-28,台北市,南港區,1,83,0.29
3373,2023-01-26,台北市,南港區,1,82,0.14
3822,2023-01-17,台北市,南港區,3,81,0.57
3984,2023-01-14,台北市,南港區,1,78,0.29
4177,2023-01-10,台北市,南港區,1,77,0.57
4330,2023-01-07,台北市,南港區,2,76,0.43
4382,2023-01-06,台北市,南港區,1,74,0.14
4749,2022-12-30,台北市,南港區,1,73,0.14
5322,2022-12-15,台北市,南港區,1,72,0.29
5497,2022-12-10,台北市,南港區,1,71,0.14
6001,2022-11-27,台北市,南港區,1,70,0.14
6516,2022-11-16,台北市,南港區,1,69,0.43
6659,2022-11-13,台北市,南港區,1,68,0.57
6719,2022-11-12,台北市,南港區,1,67,0.43
6960,2022-11-08,台北市,南港區,1,66,0.29
7022,2022-11-07,台北市,南港區,1,65,0.14
7442,2022-10-31,台北市,南港區,1,64,0.57
7557,2022-10-29,台北市,南港區,1,63,0.43
7693,2022-10-27,台北市,南港區,1,62,0.57
7765,2022-10-26,台北市,南港區,1,61,0.43
8054,2022-10-22,台北市,南港區,1,60,0.43
8118,2022-10-21,台北市,南港區,1,59,0.29
8484,2022-10-16,台北市,南港區,1,58,0.29
8691,2022-10-13,台北市,南港區,1,57,0.29
9087,2022-10-07,台北市,南港區,1,56,0.43
9157,2022-10-06,台北市,南港區,1,55,0.29
9297,2022-10-04,台北市,南港區,1,54,0.43
9626,2022-09-29,台北市,南港區,1,53,0.43
9688,2022-09-28,台北市,南港區,1,52,0.29
9803,2022-09-26,台北市,南港區,1,51,0.14
10249,2022-09-18,台北市,南港區,1,50,0.43
10478,2022-09-14,台北市,南港區,1,49,0.43
10528,2022-09-13,台北市,南港區,1,48,0.29
10681,2022-09-10,台北市,南港區,1,47,0.14
11002,2022-09-03,台北市,南港區,1,46,0.14
11360,2022-08-25,台北市,南港區,1,45,0.14
11683,2022-08-16,台北市,南港區,1,44,0.29
11839,2022-08-12,台北市,南港區,1,43,0.14
12200,2022-08-03,台北市,南港區,1,42,0.14
12846,2022-07-22,台北市,南港區,1,41,0.29
13086,2022-07-18,台北市,南港區,1,40,0.29
13352,2022-07-14,台北市,南港區,1,39,0.29
13700,2022-07-09,台北市,南港區,1,38,0.14
14368,2022-07-01,台北市,南港區,1,37,0.29
14655,2022-06-28,台北市,南港區,1,36,0.29
15141,2022-06-23,台北市,南港區,1,35,0.14
16084,2022-06-15,台北市,南港區,1,34,0.29
16833,2022-06-09,台北市,南港區,1,33,0.29
17210,2022-06-06,台北市,南港區,1,32,0.29
17699,2022-06-02,台北市,南港區,1,31,1.14
18060,2022-05-30,台北市,南港區,2,30,1.29
18188,2022-05-29,台北市,南港區,2,28,1.00
18295,2022-05-28,台北市,南港區,1,26,0.86
18399,2022-05-27,台北市,南港區,2,25,0.86
18494,2022-05-26,台北市,南港區,1,23,0.57
18598,2022-05-25,台北市,南港區,1,22,0.43
18870,2022-05-22,台北市,南港區,1,21,0.57
18957,2022-05-21,台北市,南港區,1,20,0.57
19187,2022-05-18,台北市,南港區,1,19,0.57
19253,2022-05-17,台北市,南港區,1,18,0.43
19374,2022-05-15,台北市,南港區,1,17,0.43
19527,2022-05-12,台北市,南港區,1,16,0.29
19609,2022-05-10,台北市,南港區,1,15,0.14
20195,2021-07-01,台北市,南港區,1,14,0.29
20216,2021-06-29,台北市,南港區,1,13,0.14
20324,2021-06-20,台北市,南港區,1,12,0.29
20339,2021-06-19,台北市,南港區,1,11,0.14
20452,2021-06-12,台北市,南港區,1,10,0.71
20499,2021-06-09,台北市,南港區,1,9,0.71
20519,2021-06-08,台北市,南港區,1,8,0.71
20542,2021-06-07,台北市,南港區,2,7,0.57
20604,2021-06-04,台北市,南港區,1,5,0.57
20647,2021-06-02,台北市,南港區,1,4,0.57
20688,2021-05-31,台北市,南港區,1,3,0.43
20724,2021-05-29,台北市,南港區,1,2,0.29
20746,2021-05-28,台北市,南港區,1,1,0.14
