UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
189,2023-04-02,台北市,士林區,1,195,0.14
576,2023-03-17,台北市,士林區,2,194,0.43
826,2023-03-11,台北市,士林區,1,192,0.71
968,2023-03-08,台北市,士林區,1,191,0.57
1020,2023-03-07,台北市,士林區,2,190,0.71
1107,2023-03-05,台北市,士林區,1,188,0.71
1324,2023-03-01,台北市,士林區,2,187,1.00
1383,2023-02-28,台北市,士林區,1,185,0.86
1432,2023-02-27,台北市,士林區,1,184,0.71
1491,2023-02-26,台北市,士林區,2,183,0.57
1558,2023-02-25,台北市,士林區,1,181,0.29
1730,2023-02-22,台北市,士林區,1,180,0.29
1952,2023-02-18,台北市,士林區,1,179,0.71
2128,2023-02-15,台北市,士林區,1,178,0.86
2203,2023-02-14,台北市,士林區,1,177,1.00
2269,2023-02-13,台北市,士林區,1,176,0.86
2330,2023-02-12,台北市,士林區,1,175,0.71
2384,2023-02-11,台北市,士林區,1,174,0.57
2518,2023-02-09,台北市,士林區,1,173,0.57
2582,2023-02-08,台北市,士林區,2,172,0.43
2853,2023-02-04,台北市,士林區,1,170,0.57
3042,2023-02-01,台北市,士林區,1,169,0.43
3160,2023-01-30,台北市,士林區,1,168,0.71
3217,2023-01-29,台北市,士林區,1,167,0.71
3432,2023-01-25,台北市,士林區,1,166,0.57
3489,2023-01-24,台北市,士林區,2,165,0.57
3539,2023-01-23,台北市,士林區,1,163,0.29
3782,2023-01-18,台北市,士林區,1,162,0.43
3874,2023-01-16,台北市,士林區,1,161,0.43
3983,2023-01-14,台北市,士林區,1,160,0.43
4127,2023-01-11,台北市,士林區,1,159,0.57
4233,2023-01-09,台北市,士林區,1,158,0.57
4427,2023-01-05,台北市,士林區,2,157,0.57
4468,2023-01-04,台北市,士林區,1,155,0.29
4581,2023-01-02,台北市,士林區,1,154,0.29
4862,2022-12-27,台北市,士林區,1,153,0.43
4911,2022-12-26,台北市,士林區,1,152,0.29
4988,2022-12-24,台北市,士林區,1,151,0.14
5284,2022-12-16,台北市,士林區,1,150,0.71
5318,2022-12-15,台北市,士林區,2,149,0.71
5360,2022-12-14,台北市,士林區,1,147,0.57
5403,2022-12-13,台北市,士林區,1,146,0.43
5536,2022-12-09,台北市,士林區,1,145,0.43
5578,2022-12-08,台北市,士林區,1,144,0.43
5699,2022-12-05,台北市,士林區,1,143,0.29
5804,2022-12-02,台北市,士林區,1,142,0.29
5961,2022-11-28,台北市,士林區,1,141,0.29
6075,2022-11-25,台北市,士林區,1,140,0.43
6258,2022-11-21,台北市,士林區,1,139,0.57
6362,2022-11-19,台北市,士林區,1,138,0.43
6459,2022-11-17,台北市,士林區,2,137,0.57
6717,2022-11-12,台北市,士林區,1,135,0.71
6777,2022-11-11,台北市,士林區,1,134,0.71
6835,2022-11-10,台北市,士林區,2,133,0.57
7019,2022-11-07,台北市,士林區,1,131,0.57
7135,2022-11-05,台北市,士林區,1,130,0.57
7251,2022-11-03,台北市,士林區,1,129,0.57
7366,2022-11-01,台北市,士林區,1,128,0.57
7439,2022-10-31,台北市,士林區,1,127,0.43
7626,2022-10-28,台北市,士林區,1,126,0.71
7761,2022-10-26,台北市,士林區,1,125,0.86
7907,2022-10-24,台北市,士林區,2,124,0.86
8050,2022-10-22,台北市,士林區,1,122,0.86
8116,2022-10-21,台北市,士林區,1,121,0.86
8193,2022-10-20,台北市,士林區,1,120,0.71
8271,2022-10-19,台北市,士林區,1,119,0.86
8404,2022-10-17,台北市,士林區,1,118,0.71
8481,2022-10-16,台北市,士林區,1,117,0.86
8549,2022-10-15,台北市,士林區,1,116,0.86
8690,2022-10-13,台北市,士林區,2,115,0.86
8895,2022-10-10,台北市,士林區,2,113,1.14
8966,2022-10-09,台北市,士林區,1,111,0.86
9031,2022-10-08,台北市,士林區,1,110,0.71
9153,2022-10-06,台北市,士林區,1,109,0.57
9215,2022-10-05,台北市,士林區,2,108,0.57
